Date,Adj Close_IPL.NS,Close_IPL.NS,High_IPL.NS,Low_IPL.NS,Open_IPL.NS,Volume_IPL.NS,Date
2021-07-05,341.0343322753906,344.3500061035156,368.0,330.04998779296875,350.0,33887716,2021-07-05
2021-07-12,337.9642028808594,341.25,349.75,335.5,348.8999938964844,5280287,2021-07-12
2021-07-19,343.807373046875,347.1499938964844,364.70001220703125,336.5,339.0,10292513,2021-07-19
2021-07-26,334.34930419921875,337.6000061035156,347.8999938964844,331.04998779296875,343.29998779296875,3259701,2021-07-26
2021-08-02,324.0989990234375,327.25,341.0,323.25,339.79998779296875,4328838,2021-08-02
2021-08-09,322.7619934082031,325.8999938964844,338.95001220703125,301.0,329.29998779296875,3111083,2021-08-09
2021-08-16,311.7193603515625,314.75,331.70001220703125,312.6000061035156,326.45001220703125,1609688,2021-08-16
2021-08-23,306.07421875,309.04998779296875,318.20001220703125,301.0,317.20001220703125,2476881,2021-08-23
2021-08-30,314.9875793457031,318.04998779296875,327.29998779296875,310.45001220703125,312.0,2478758,2021-08-30
2021-09-06,327.07012939453125,330.25,334.0,316.0,319.45001220703125,1776004,2021-09-06
2021-09-13,320.13751220703125,323.25,331.6499938964844,316.6000061035156,330.1499938964844,1763263,2021-09-13
2021-09-20,306.4208679199219,309.3999938964844,321.6000061035156,306.5,320.0,1261321,2021-09-20
2021-09-27,305.6285705566406,308.6000061035156,318.0,306.0,314.25,1129996,2021-09-27
2021-10-04,306.6189270019531,309.6000061035156,315.79998779296875,308.6000061035156,311.6499938964844,1093466,2021-10-04
2021-10-11,340.0439453125,343.3500061035156,344.79998779296875,307.1000061035156,311.75,3734729,2021-10-11
2021-10-18,332.36859130859375,335.6000061035156,353.95001220703125,318.54998779296875,348.0,3206781,2021-10-18
2021-10-25,332.51715087890625,335.75,348.0,317.1000061035156,339.0,1722814,2021-10-25
2021-11-01,338.3603210449219,341.6499938964844,345.3999938964844,315.0,319.8999938964844,2396696,2021-11-01
2021-11-08,319.4442138671875,322.54998779296875,342.04998779296875,321.0,342.0,945945,2021-11-08
2021-11-15,305.5790100097656,308.54998779296875,328.0,307.5,328.0,770392,2021-11-15
2021-11-22,305.6781005859375,308.6499938964844,319.5,296.6000061035156,309.0,789792,2021-11-22
2021-11-29,297.55706787109375,300.45001220703125,306.0,289.0,305.0,1648348,2021-11-29
2021-12-06,310.431884765625,313.45001220703125,318.0,297.0,306.0,2266070,2021-12-06
2021-12-13,311.1251220703125,314.1499938964844,324.25,310.0,316.5,1352941,2021-12-13
2021-12-20,317.3149719238281,320.3999938964844,327.6000061035156,300.0,310.0,1223808,2021-12-20
2021-12-27,310.9765625,314.0,321.70001220703125,310.1000061035156,319.6499938964844,697706,2021-12-27
2022-01-03,317.6120910644531,320.70001220703125,330.0,314.0,314.0,967292,2022-01-03
2022-01-10,327.416748046875,330.6000061035156,336.0,319.5,320.70001220703125,1428032,2022-01-10
2022-01-17,307.0151062011719,310.0,330.0,307.0,330.0,921110,2022-01-17
2022-01-24,296.0715026855469,298.95001220703125,308.6499938964844,290.0,307.04998779296875,664675,2022-01-24
2022-01-31,320.58319091796875,323.70001220703125,336.20001220703125,297.8999938964844,304.6000061035156,1570555,2022-01-31
2022-02-07,320.97930908203125,324.1000061035156,331.0,315.0,324.0,1418397,2022-02-07
2022-02-14,302.3108215332031,305.25,320.0,297.5,311.0,766034,2022-02-14
2022-02-21,279.4827575683594,282.20001220703125,305.70001220703125,260.0,305.0,994825,2022-02-21
2022-02-28,278.2448425292969,280.95001220703125,291.04998779296875,275.0,278.20001220703125,757694,2022-02-28
2022-03-07,273.29296875,275.95001220703125,281.0,267.04998779296875,278.0,778302,2022-03-07
2022-03-14,281.81011962890625,284.54998779296875,287.3999938964844,270.0,276.0,1283685,2022-03-14
2022-03-21,279.53228759765625,282.25,292.3999938964844,277.3999938964844,292.3999938964844,2293334,2022-03-21
2022-03-28,280.47314453125,283.20001220703125,284.95001220703125,268.0,284.5,2507448,2022-03-28
2022-04-04,298.49786376953125,301.3999938964844,306.95001220703125,285.54998779296875,299.0,1206381,2022-04-04
2022-04-11,305.3314208984375,308.29998779296875,311.0,298.20001220703125,300.0,434700,2022-04-11
2022-04-18,292.2090148925781,295.04998779296875,316.0,285.3500061035156,310.0,1011102,2022-04-18
2022-04-25,281.85968017578125,284.6000061035156,296.79998779296875,276.75,295.0,1024536,2022-04-25
2022-05-02,270.7674865722656,273.3999938964844,285.3500061035156,267.25,281.0,630605,2022-05-02
2022-05-09,244.62168884277344,247.0,273.3999938964844,239.25,273.3999938964844,555401,2022-05-09
2022-05-16,249.1278839111328,251.5500030517578,253.89999389648438,240.85000610351562,251.89999389648438,908759,2022-05-16
2022-05-23,241.0563507080078,243.39999389648438,257.45001220703125,231.9499969482422,256.45001220703125,295982,2022-05-23
2022-05-30,236.401611328125,238.6999969482422,245.39999389648438,229.85000610351562,241.0,756245,2022-05-30
2022-06-06,227.0921173095703,229.3000030517578,239.0,228.5500030517578,239.0,389261,2022-06-06
2022-06-13,203.9669647216797,205.9499969482422,229.35000610351562,203.75,228.89999389648438,441617,2022-06-13
2022-06-20,234.61895751953125,236.89999389648438,250.89999389648438,200.75,208.0,919054,2022-06-20
2022-06-27,242.8390350341797,245.1999969482422,254.9499969482422,240.0,241.0,370207,2022-06-27
2022-07-04,273.243408203125,275.8999938964844,281.79998779296875,245.1999969482422,245.1999969482422,979255,2022-07-04
2022-07-11,262.1512756347656,264.70001220703125,275.6000061035156,256.0,274.8999938964844,317227,2022-07-11
2022-07-18,273.7881164550781,276.45001220703125,279.5,261.1000061035156,265.1000061035156,332698,2022-07-18
2022-07-25,293.1003723144531,295.95001220703125,306.8999938964844,262.0,276.5,913277,2022-07-25
2022-08-01,276.1650390625,278.8500061035156,304.95001220703125,278.0,301.0,724935,2022-08-01
2022-08-08,277.7001037597656,280.3999938964844,286.5,279.0,280.0,553367,2022-08-08
2022-08-15,282.9612731933594,284.95001220703125,291.1000061035156,275.8500061035156,280.3999938964844,455780,2022-08-15
2022-08-22,283.2591552734375,285.25,288.79998779296875,278.3500061035156,283.95001220703125,385286,2022-08-22
2022-08-29,277.99615478515625,279.95001220703125,293.70001220703125,274.1000061035156,275.0,559899,2022-08-29
2022-09-05,274.8184814453125,276.75,285.0,274.0,283.0,384994,2022-09-05
2022-09-12,304.31121826171875,306.45001220703125,321.0,275.0,280.8999938964844,5747870,2022-09-12
2022-09-19,304.85736083984375,307.0,329.79998779296875,301.54998779296875,308.5,3934302,2022-09-19
2022-09-26,283.4081115722656,285.3999938964844,306.70001220703125,276.0,304.79998779296875,1261001,2022-09-26
2022-10-03,297.01251220703125,299.1000061035156,302.54998779296875,275.04998779296875,285.0,656279,2022-10-03
2022-10-10,279.0884704589844,281.04998779296875,304.70001220703125,279.5,297.0,805496,2022-10-10
2022-10-17,269.257568359375,271.1499938964844,284.6000061035156,270.0,280.0,401874,2022-10-17
2022-10-24,264.2427978515625,266.1000061035156,278.25,264.70001220703125,275.0,306494,2022-10-24
2022-10-31,263.100830078125,264.95001220703125,271.6000061035156,260.54998779296875,268.79998779296875,631108,2022-10-31
2022-11-07,269.55548095703125,271.45001220703125,273.70001220703125,265.5,266.0,491077,2022-11-07
2022-11-14,253.56784057617188,255.35000610351562,268.45001220703125,254.0500030517578,265.0,470779,2022-11-14
2022-11-21,248.4537811279297,250.1999969482422,257.0,241.0,257.0,549624,2022-11-21
2022-11-28,256.1993408203125,258.0,259.3999938964844,248.9499969482422,250.0,474182,2022-11-28
2022-12-05,256.89447021484375,258.70001220703125,267.0,256.1000061035156,260.0,474975,2022-12-05
2022-12-12,254.46156311035156,256.25,268.0,253.6999969482422,258.70001220703125,471029,2022-12-12
2022-12-19,228.79196166992188,230.39999389648438,259.0,229.0,258.3999938964844,316900,2022-12-19
2022-12-26,250.09226989746094,251.85000610351562,269.3999938964844,229.6999969482422,233.39999389648438,2527400,2022-12-26
2023-01-02,240.1620635986328,241.85000610351562,253.89999389648438,240.0,252.75,601860,2023-01-02
2023-01-09,238.97042846679688,240.64999389648438,246.10000610351562,239.60000610351562,244.8000030517578,274842,2023-01-09
2023-01-16,241.3040313720703,243.0,249.0,241.4499969482422,243.9499969482422,256289,2023-01-16
2023-01-23,230.03323364257812,231.64999389648438,247.1999969482422,225.4499969482422,244.75,314777,2023-01-23
2023-01-30,222.53594970703125,224.10000610351562,239.60000610351562,223.0,232.9499969482422,332364,2023-01-30
