Date,Adj Close_HEROMOTOCO.NS,Close_HEROMOTOCO.NS,High_HEROMOTOCO.NS,Low_HEROMOTOCO.NS,Open_HEROMOTOCO.NS,Volume_HEROMOTOCO.NS,Date
2020-07-13,2408.79541015625,2764.050048828125,2775.0,2606.14990234375,2606.14990234375,3764846,2020-07-13
2020-07-20,2388.446044921875,2740.699951171875,2885.699951171875,2728.10009765625,2764.050048828125,6132724,2020-07-20
2020-07-27,2332.49755859375,2676.5,2880.449951171875,2646.449951171875,2759.0,6350012,2020-07-27
2020-08-03,2379.78125,2706.199951171875,2769.800048828125,2620.75,2700.0,7026495,2020-08-03
2020-08-10,2465.60888671875,2803.800048828125,2843.5,2674.14990234375,2718.0,7558430,2020-08-10
2020-08-17,2667.55859375,3033.449951171875,3049.75,2810.0,2812.800048828125,9469542,2020-08-17
2020-08-24,2690.29052734375,3059.300048828125,3181.35009765625,2957.85009765625,3037.0,10950244,2020-08-24
2020-08-31,2563.572021484375,2915.199951171875,3088.89990234375,2867.60009765625,3070.0,8996877,2020-08-31
2020-09-07,2631.328125,2992.25,3007.699951171875,2830.199951171875,2930.0,7889935,2020-09-07
2020-09-14,2737.20556640625,3112.64990234375,3121.85009765625,2956.0,3014.949951171875,6333026,2020-09-14
2020-09-21,2639.90185546875,3002.0,3124.449951171875,2900.0,3122.0,5466290,2020-09-21
2020-09-28,2771.325439453125,3151.449951171875,3222.050048828125,2992.5,3047.0,7450687,2020-09-28
2020-10-05,2926.052978515625,3327.39990234375,3340.0,3094.199951171875,3225.0,7067415,2020-10-05
2020-10-12,2942.804931640625,3346.449951171875,3394.89990234375,3256.199951171875,3350.800048828125,6753945,2020-10-12
2020-10-19,2735.798583984375,3111.050048828125,3358.5,3062.39990234375,3352.050048828125,7648800,2020-10-19
2020-10-26,2462.09130859375,2799.800048828125,3120.0,2787.0,3120.0,18049766,2020-10-26
2020-11-02,2590.173095703125,2945.449951171875,2995.89990234375,2812.0,2888.0,9269245,2020-11-02
2020-11-09,2739.887939453125,3115.699951171875,3156.949951171875,2922.949951171875,2970.0,8925837,2020-11-09
2020-11-16,2636.9560546875,2998.64990234375,3148.0,2943.699951171875,3128.89990234375,9704364,2020-11-16
2020-11-23,2733.864013671875,3108.85009765625,3118.550048828125,2976.10009765625,3024.60009765625,8407830,2020-11-23
2020-11-30,2796.827392578125,3180.449951171875,3202.0,3075.050048828125,3108.85009765625,5316285,2020-11-30
2020-12-07,2801.093017578125,3185.300048828125,3239.5,3135.60009765625,3179.89990234375,4142314,2020-12-07
2020-12-14,2757.123779296875,3135.300048828125,3214.0,3081.10009765625,3214.0,5584376,2020-12-14
2020-12-21,2702.42626953125,3073.10009765625,3152.85009765625,2900.60009765625,3148.0,3822994,2020-12-21
2020-12-28,2728.41162109375,3102.64990234375,3124.0,3061.0,3096.0,2741509,2020-12-28
2021-01-04,2779.811767578125,3161.10009765625,3165.949951171875,3031.0,3112.0,6577279,2021-01-04
2021-01-11,2816.657470703125,3203.0,3318.0,3147.050048828125,3161.0,6608964,2021-01-11
2021-01-18,2967.823486328125,3374.89990234375,3483.949951171875,3082.25,3200.0,8005948,2021-01-18
2021-01-25,2863.30908203125,3256.050048828125,3520.14990234375,3226.39990234375,3417.949951171875,7305842,2021-01-25
2021-02-01,3015.573486328125,3429.199951171875,3560.0,3217.25,3300.0,9259559,2021-02-01
2021-02-08,3091.684326171875,3515.75,3580.0,3415.39990234375,3478.0,5348339,2021-02-08
2021-02-15,2980.838134765625,3389.699951171875,3629.050048828125,3370.0,3488.949951171875,6211879,2021-02-15
2021-02-22,2835.12451171875,3224.0,3500.0,3199.800048828125,3400.0,5592545,2021-02-22
2021-03-01,3044.153076171875,3461.699951171875,3510.89990234375,3250.0,3255.0,5497089,2021-03-01
2021-03-08,2946.41064453125,3350.550048828125,3490.0,3310.0,3461.64990234375,3200014,2021-03-08
2021-03-15,2742.921630859375,3119.14990234375,3369.39990234375,3036.0,3360.0,5323589,2021-03-15
2021-03-22,2583.44580078125,2937.800048828125,3143.949951171875,2927.10009765625,3131.60009765625,4226168,2021-03-22
2021-03-29,2599.538818359375,2956.10009765625,3004.949951171875,2902.0,2937.800048828125,3179836,2021-03-29
2021-04-05,2561.54931640625,2912.89990234375,2990.35009765625,2866.60009765625,2961.0,4101283,2021-04-05
2021-04-12,2545.67626953125,2894.85009765625,2924.949951171875,2741.10009765625,2874.0,2967315,2021-04-12
2021-04-19,2518.59130859375,2864.050048828125,2882.550048828125,2743.10009765625,2761.35009765625,3600031,2021-04-19
2021-04-26,2479.107177734375,2819.14990234375,3009.0,2805.0,2860.050048828125,4711735,2021-04-26
2021-05-03,2515.7333984375,2860.800048828125,2995.0,2766.64990234375,2779.949951171875,6213157,2021-05-03
2021-05-10,2473.12744140625,2812.35009765625,2879.0,2801.10009765625,2860.800048828125,2470518,2021-05-10
2021-05-17,2536.48681640625,2884.39990234375,2943.949951171875,2813.0,2835.0,5228404,2021-05-17
2021-05-24,2630.713134765625,2991.550048828125,3033.39990234375,2892.0,2920.0,6081002,2021-05-24
2021-05-31,2680.70556640625,3048.39990234375,3055.0,2942.10009765625,2989.0,4301718,2021-05-31
2021-06-07,2641.968994140625,3004.35009765625,3090.0,2995.0,3065.25,3048805,2021-06-07
2021-06-14,2542.5986328125,2891.35009765625,3025.0,2852.0,3010.0,3075869,2021-06-14
2021-06-21,2584.677001953125,2939.199951171875,2995.0,2865.0,2870.0,4487680,2021-06-21
2021-06-28,2567.660888671875,2919.85009765625,2968.949951171875,2897.39990234375,2957.0,3198991,2021-06-28
2021-07-05,2547.3916015625,2896.800048828125,2954.0,2876.050048828125,2936.89990234375,2456016,2021-07-05
2021-07-12,2554.338134765625,2904.699951171875,2926.0,2880.0,2914.0,1947909,2021-07-12
2021-07-19,2493.04541015625,2835.0,2899.0,2806.199951171875,2886.0,1864025,2021-07-19
2021-07-26,2451.582275390625,2763.300048828125,2833.85009765625,2740.0,2830.0,2513472,2021-07-26
2021-08-02,2514.129638671875,2833.800048828125,2851.050048828125,2765.25,2770.10009765625,2065363,2021-08-02
2021-08-09,2459.478271484375,2772.199951171875,2865.89990234375,2751.25,2850.0,3043089,2021-08-09
2021-08-16,2393.205322265625,2697.5,2795.0,2681.199951171875,2775.0,2697198,2021-08-16
2021-08-23,2372.400634765625,2674.050048828125,2710.89990234375,2636.0,2701.0,2696836,2021-08-23
2021-08-30,2483.654052734375,2799.449951171875,2813.949951171875,2680.0,2680.0,3072987,2021-08-30
2021-09-06,2481.21435546875,2796.699951171875,2830.0,2763.0,2824.800048828125,1636833,2021-09-06
2021-09-13,2601.3408203125,2932.10009765625,2954.449951171875,2770.0,2770.0,3984495,2021-09-13
2021-09-20,2513.819091796875,2833.449951171875,2920.0,2814.39990234375,2920.0,2636142,2021-09-20
2021-09-27,2526.682861328125,2847.949951171875,2939.0,2802.25,2841.0,3840311,2021-09-27
2021-10-04,2521.4931640625,2842.10009765625,2872.0,2781.0,2861.550048828125,2024985,2021-10-04
2021-10-11,2597.525634765625,2927.800048828125,2946.85009765625,2843.199951171875,2845.0,2942843,2021-10-11
2021-10-18,2434.592529296875,2744.14990234375,2950.0,2725.0,2939.0,2438042,2021-10-18
2021-10-25,2357.3623046875,2657.10009765625,2754.85009765625,2639.0,2743.949951171875,2034457,2021-10-25
2021-11-01,2375.4609375,2677.5,2701.550048828125,2640.0,2675.0,1913055,2021-11-01
2021-11-08,2380.385009765625,2683.050048828125,2750.0,2670.5,2707.699951171875,2375767,2021-11-08
2021-11-15,2381.982177734375,2684.85009765625,2784.800048828125,2667.14990234375,2735.0,4400276,2021-11-15
2021-11-22,2244.0673828125,2529.39990234375,2698.199951171875,2505.14990234375,2685.0,3137441,2021-11-22
2021-11-29,2184.669921875,2462.449951171875,2528.949951171875,2408.89990234375,2525.0,4312495,2021-11-29
2021-12-06,2241.805419921875,2526.85009765625,2544.800048828125,2411.64990234375,2474.75,1732859,2021-12-06
2021-12-13,2168.878173828125,2444.64990234375,2552.0,2421.0,2550.0,2156172,2021-12-13
2021-12-20,2122.56640625,2392.449951171875,2435.0,2310.0,2435.0,2273796,2021-12-20
2021-12-27,2184.359619140625,2462.10009765625,2483.60009765625,2371.0,2390.0,1379361,2021-12-27
2022-01-03,2217.185791015625,2499.10009765625,2515.5,2463.0,2463.0,1425523,2022-01-03
2022-01-10,2279.821533203125,2569.699951171875,2600.0,2489.300048828125,2489.300048828125,2076870,2022-01-10
2022-01-17,2439.871337890625,2750.10009765625,2777.0,2591.449951171875,2599.0,6397251,2022-01-17
2022-01-24,2370.71435546875,2672.14990234375,2789.0,2652.85009765625,2740.0,2590487,2022-01-24
2022-01-31,2414.719482421875,2721.75,2817.949951171875,2678.0,2680.14990234375,3161893,2022-01-31
2022-02-07,2411.9248046875,2718.60009765625,2751.0,2625.0,2721.75,3359045,2022-02-07
2022-02-14,2461.11962890625,2774.050048828125,2872.300048828125,2630.0,2681.0,4665707,2022-02-14
2022-02-21,2269.796142578125,2558.39990234375,2762.449951171875,2440.0,2719.949951171875,4448198,2022-02-21
2022-02-28,2095.9033203125,2311.300048828125,2546.949951171875,2301.10009765625,2527.0,3962583,2022-02-28
2022-03-07,2113.948486328125,2331.199951171875,2410.449951171875,2146.85009765625,2289.800048828125,4221347,2022-03-07
2022-03-14,2194.382080078125,2419.89990234375,2429.25,2282.300048828125,2330.0,2269698,2022-03-14
2022-03-21,2156.749755859375,2378.39990234375,2447.949951171875,2327.199951171875,2434.75,3284551,2022-03-21
2022-03-28,2031.3836669921875,2240.14990234375,2401.0,2150.0,2370.0,10964555,2022-03-28
2022-04-04,2142.28662109375,2362.449951171875,2380.0,2250.0,2250.0,4493817,2022-04-04
2022-04-11,2062.441650390625,2274.39990234375,2361.75,2268.89990234375,2357.949951171875,1338027,2022-04-11
2022-04-18,2080.44189453125,2294.25,2327.5,2242.39990234375,2269.89990234375,2271860,2022-04-18
2022-04-25,2273.047607421875,2506.64990234375,2552.0,2266.0,2268.300048828125,6013092,2022-04-25
2022-05-02,2324.4638671875,2563.35009765625,2599.0,2398.800048828125,2460.199951171875,6097111,2022-05-02
2022-05-09,2220.90625,2449.14990234375,2560.0,2371.0,2555.0,3874687,2022-05-09
2022-05-16,2348.766357421875,2590.14990234375,2613.39990234375,2440.0,2450.050048828125,2631138,2022-05-16
2022-05-23,2466.333740234375,2719.800048828125,2726.89990234375,2575.0,2615.050048828125,2905100,2022-05-23
2022-05-30,2342.962890625,2583.75,2809.949951171875,2575.14990234375,2724.0,5061485,2022-05-30
2022-06-06,2359.466552734375,2601.949951171875,2617.050048828125,2500.0,2565.0,2707345,2022-06-06
2022-06-13,2237.455810546875,2467.39990234375,2628.0,2455.64990234375,2560.0,3028358,2022-06-13
2022-06-20,2502.741943359375,2759.949951171875,2767.699951171875,2433.89990234375,2455.10009765625,4833241,2022-06-20
2022-06-27,2506.2333984375,2763.800048828125,2809.0,2683.35009765625,2787.550048828125,3410223,2022-06-27
2022-07-04,2583.765380859375,2849.300048828125,2879.949951171875,2730.0,2750.0,2555010,2022-07-04
2022-07-11,2539.105224609375,2800.050048828125,2891.800048828125,2772.050048828125,2815.0,2829120,2022-07-11
2022-07-18,2603.9873046875,2871.60009765625,2883.39990234375,2783.449951171875,2829.949951171875,2122280,2022-07-18
2022-07-25,2555.427734375,2818.050048828125,2875.800048828125,2730.35009765625,2875.0,1962258,2022-07-25
2022-08-01,2544.28515625,2770.699951171875,2908.0,2742.050048828125,2834.949951171875,3608129,2022-08-01
2022-08-08,2536.2041015625,2761.89990234375,2818.0,2730.0,2770.0,2428276,2022-08-08
2022-08-15,2606.6826171875,2838.64990234375,2938.60009765625,2761.89990234375,2761.89990234375,5041091,2022-08-15
2022-08-22,2595.755126953125,2826.75,2840.89990234375,2756.14990234375,2835.0,2130504,2022-08-22
2022-08-29,2594.285888671875,2825.14990234375,2889.0,2761.10009765625,2788.89990234375,2872598,2022-08-29
2022-09-05,2606.4990234375,2838.449951171875,2878.25,2808.050048828125,2828.0,3005619,2022-09-05
2022-09-12,2465.772216796875,2685.199951171875,2903.0,2670.0,2847.0,4517479,2022-09-12
2022-09-19,2536.34228515625,2762.050048828125,2823.25,2664.85009765625,2698.64990234375,2729826,2022-09-19
2022-09-26,2340.885498046875,2549.199951171875,2754.85009765625,2510.0,2740.0,4038599,2022-09-26
2022-10-03,2410.4453125,2624.949951171875,2734.89990234375,2520.449951171875,2538.5,2578407,2022-10-03
2022-10-10,2328.672607421875,2535.89990234375,2599.800048828125,2516.10009765625,2599.800048828125,2375378,2022-10-10
2022-10-17,2359.848388671875,2569.85009765625,2596.75,2502.75,2524.0,1812093,2022-10-17
2022-10-24,2433.31103515625,2649.85009765625,2674.35009765625,2566.050048828125,2586.0,1636332,2022-10-24
