Date,Adj Close_SBCL.NS,Close_SBCL.NS,High_SBCL.NS,Low_SBCL.NS,Open_SBCL.NS,Volume_SBCL.NS,Date
2021-06-21,81.76919555664062,82.69999694824219,88.43333435058594,76.86666870117188,87.66666412353516,279991,2021-06-21
2021-06-28,79.1325454711914,80.03333282470703,93.86666870117188,76.73332977294922,85.13333129882812,796944,2021-06-28
2021-07-05,78.96775817871094,79.86666870117188,84.0,77.73332977294922,79.0999984741211,206748,2021-07-05
2021-07-12,84.0762710571289,85.03333282470703,85.66666412353516,78.80000305175781,80.06666564941406,184052,2021-07-12
2021-07-19,88.459716796875,89.46666717529297,93.33333587646484,82.80000305175781,85.26666259765625,468064,2021-07-19
2021-07-26,87.66870880126953,88.66666412353516,90.0,78.4000015258789,89.46666717529297,304190,2021-07-26
2021-08-02,117.92431640625,119.26666259765625,129.0,88.69999694824219,89.5,2609010,2021-08-02
2021-08-09,113.63973999023438,114.93333435058594,123.33333587646484,98.66666412353516,122.53333282470703,817565,2021-08-09
2021-08-16,104.34554290771484,105.53333282470703,116.03333282470703,102.66666412353516,115.33333587646484,227594,2021-08-16
2021-08-23,114.72737121582031,116.03333282470703,123.26666259765625,98.69999694824219,107.16666412353516,456368,2021-08-23
2021-08-30,123.19761657714844,124.5999984741211,127.33333587646484,110.93333435058594,118.66666412353516,608619,2021-08-30
2021-09-06,128.04248046875,129.5,145.8000030517578,127.19999694824219,129.3333282470703,709380,2021-09-06
2021-09-13,158.76321411132812,160.3333282470703,170.63333129882812,134.13333129882812,136.6666717529297,1040461,2021-09-13
2021-09-20,182.46218872070312,184.26666259765625,193.93333435058594,150.6999969482422,160.0,1129121,2021-09-20
2021-09-27,180.7128143310547,182.5,192.53334045410156,175.06666564941406,182.6666717529297,307540,2021-09-27
2021-10-04,179.425537109375,181.1999969482422,188.0,173.8000030517578,185.96665954589844,308073,2021-10-04
2021-10-11,188.86550903320312,190.73333740234375,192.0,172.1666717529297,184.6666717529297,302493,2021-10-11
2021-10-18,180.48175048828125,182.26666259765625,208.56666564941406,176.6999969482422,199.96665954589844,420228,2021-10-18
2021-10-25,188.04034423828125,189.89999389648438,199.0,174.39999389648438,188.63333129882812,263288,2021-10-25
2021-11-01,211.97036743164062,214.06666564941406,214.06666564941406,189.89999389648438,190.0,179550,2021-11-01
2021-11-08,242.03964233398438,244.43333435058594,244.43333435058594,217.3333282470703,224.76666259765625,859354,2021-11-08
2021-11-15,251.4796142578125,253.96665954589844,275.6000061035156,245.6999969482422,255.86666870117188,505556,2021-11-15
2021-11-22,232.36862182617188,234.6666717529297,262.4666748046875,229.26666259765625,253.0,386448,2021-11-22
2021-11-29,239.0690155029297,241.43333435058594,241.43333435058594,217.39999389648438,224.8333282470703,254099,2021-11-29
2021-12-06,250.8524932861328,253.3333282470703,261.3333435058594,230.6666717529297,251.3000030517578,483917,2021-12-06
2021-12-13,272.1419372558594,274.8333435058594,298.0,240.56666564941406,258.20001220703125,778285,2021-12-13
2021-12-20,241.31349182128906,243.6999969482422,274.4666748046875,238.6999969482422,273.8333435058594,530173,2021-12-20
2021-12-27,248.93809509277344,251.39999389648438,258.4666748046875,232.13333129882812,243.6999969482422,471618,2021-12-27
2022-01-03,252.5358428955078,255.03334045410156,273.0,251.1666717529297,256.0,326311,2022-01-03
2022-01-10,293.5303955078125,296.4333190917969,300.5333251953125,252.13333129882812,254.1999969482422,780221,2022-01-10
2022-01-17,290.36175537109375,293.23333740234375,320.5333251953125,289.5333251953125,299.6666564941406,627267,2022-01-17
2022-01-24,281.38385009765625,284.1666564941406,304.0,253.3333282470703,293.3333435058594,508047,2022-01-24
2022-01-31,316.0080871582031,319.1333312988281,338.6666564941406,279.5333251953125,281.3333435058594,1449416,2022-01-31
2022-02-07,322.0154113769531,325.20001220703125,339.1666564941406,306.0,322.6666564941406,744053,2022-02-07
2022-02-14,303.39569091796875,306.0666809082031,320.73333740234375,290.23333740234375,318.5333251953125,374599,2022-02-14
2022-02-21,276.63134765625,279.0666809082031,305.9666748046875,254.8333282470703,300.8999938964844,858219,2022-02-21
2022-02-28,286.213623046875,288.73333740234375,306.79998779296875,264.6666564941406,273.3333435058594,490141,2022-02-28
2022-03-07,291.1699523925781,293.73333740234375,310.6666564941406,273.6333312988281,280.0,285521,2022-03-07
2022-03-14,296.9193420410156,299.5333251953125,302.6666564941406,283.3333435058594,299.6666564941406,210518,2022-03-14
2022-03-21,335.1825256347656,338.1333312988281,360.0,287.0,303.9666748046875,1321793,2022-03-21
2022-03-28,342.1544189453125,345.1666564941406,366.6666564941406,330.6666564941406,342.6666564941406,556665,2022-03-28
2022-04-04,361.0217590332031,364.20001220703125,381.3333435058594,339.3333435058594,345.1666564941406,610062,2022-04-04
2022-04-11,373.61083984375,376.8999938964844,386.4333190917969,356.1333312988281,368.0,273669,2022-04-11
2022-04-18,355.53662109375,358.6666564941406,389.3333435058594,350.0666809082031,378.0,370575,2022-04-18
