Date,Adj Close_MSUMI.NS,Close_MSUMI.NS,High_MSUMI.NS,Low_MSUMI.NS,Open_MSUMI.NS,Volume_MSUMI.NS,Date
2022-03-28,44.060340881347656,46.25,48.89285659790039,40.0,46.57142639160156,371643713,2022-03-28
2022-04-04,48.21120071411133,50.60714340209961,50.60714340209961,45.85714340209961,47.42856979370117,86262570,2022-04-04
2022-04-11,49.70822525024414,52.17856979370117,53.42856979370117,48.57142639160156,51.78571319580078,51859914,2022-04-11
2022-04-18,48.3472900390625,50.75,51.78571319580078,45.71428680419922,51.42856979370117,49776116,2022-04-18
2022-04-25,47.292564392089844,49.64285659790039,54.28571319580078,48.82142639160156,49.67856979370117,54243067,2022-04-25
2022-05-02,45.9316291809082,48.21428680419922,50.28571319580078,46.64285659790039,48.71428680419922,22327857,2022-05-02
2022-05-09,42.49526596069336,44.60714340209961,48.03571319580078,41.89285659790039,47.14285659790039,35152814,2022-05-09
2022-05-16,42.22307586669922,44.32142639160156,46.21428680419922,42.57142639160156,45.42856979370117,21779737,2022-05-16
2022-05-23,43.41389083862305,45.57142639160156,45.89285659790039,42.28571319580078,44.78571319580078,34591896,2022-05-23
2022-05-30,43.61803436279297,45.78571319580078,47.60714340209961,44.71428680419922,46.07142639160156,35973685,2022-05-30
2022-06-06,44.060340881347656,46.25,47.28571319580078,44.85714340209961,45.82142639160156,46668324,2022-06-06
2022-06-13,40.8281135559082,42.85714340209961,46.5,42.28571319580078,45.35714340209961,53268591,2022-06-13
2022-06-20,46.23783874511719,48.53571319580078,48.64285659790039,42.35714340209961,43.07142639160156,16156938,2022-06-20
2022-06-27,47.66682434082031,50.03571319580078,51.28571319580078,46.57142639160156,49.0,42237882,2022-06-27
2022-07-04,50.150535583496094,52.64285659790039,56.71428680419922,49.85714340209961,49.92856979370117,40234262,2022-07-04
2022-07-11,54.36943817138672,57.07142639160156,58.07142639160156,51.53571319580078,51.53571319580078,34214500,2022-07-11
2022-07-18,54.84576416015625,57.57142639160156,59.07142639160156,53.96428680419922,57.5,25332158,2022-07-18
2022-07-25,52.600223541259766,55.21428680419922,58.71428680419922,54.57142639160156,57.82142639160156,17999323,2022-07-25
2022-08-01,54.063228607177734,56.75,60.28571319580078,54.35714340209961,55.35714340209961,33301447,2022-08-01
2022-08-08,53.28068542480469,55.92856979370117,57.78571319580078,55.28571319580078,57.5,23218913,2022-08-08
2022-08-15,53.654579162597656,55.71428680419922,58.57142639160156,54.82142639160156,55.92856979370117,25405329,2022-08-15
2022-08-22,54.995941162109375,57.10714340209961,58.57142639160156,55.42856979370117,55.71428680419922,37909248,2022-08-22
2022-08-29,56.26852035522461,58.42856979370117,62.60714340209961,55.39285659790039,55.71428680419922,51340537,2022-08-29
2022-09-05,62.66579055786133,65.07142639160156,67.17857360839844,57.96428680419922,59.0,77185107,2022-09-05
2022-09-12,59.70791244506836,62.0,65.75,60.85714340209961,65.75,101606685,2022-09-12
2022-09-19,59.15760803222656,61.42856979370117,64.5,61.07142639160156,63.89285659790039,19798960,2022-09-19
