Date,Adj Close_BROOKS.NS,Close_BROOKS.NS,High_BROOKS.NS,Low_BROOKS.NS,Open_BROOKS.NS,Volume_BROOKS.NS,Date
2020-07-13,28.92252540588379,28.92252540588379,29.467300415039062,27.288204193115234,28.72442626953125,42512,2020-07-13
2020-07-20,34.66741180419922,34.66741180419922,34.66741180419922,27.981552124023438,29.467300415039062,239885,2020-07-20
2020-07-27,32.834991455078125,32.834991455078125,36.40078353881836,32.19116973876953,35.558860778808594,197453,2020-07-27
2020-08-03,32.43879318237305,32.43879318237305,35.16265869140625,31.349245071411133,34.27121353149414,59004,2020-08-03
2020-08-10,38.48082733154297,38.48082733154297,39.273223876953125,31.20067024230957,33.0330924987793,269034,2020-08-10
2020-08-17,43.086639404296875,43.086639404296875,43.680938720703125,36.2522087097168,39.57037353515625,292085,2020-08-17
2020-08-24,38.62940216064453,38.62940216064453,44.96858596801758,38.53035354614258,43.48283767700195,199883,2020-08-24
2020-08-31,39.6694221496582,39.6694221496582,41.353267669677734,35.7569580078125,38.62940216064453,87819,2020-08-31
2020-09-07,38.381778717041016,38.381778717041016,41.056121826171875,37.83700180053711,40.461822509765625,56171,2020-09-07
2020-09-14,48.682952880859375,48.682952880859375,48.682952880859375,37.98557662963867,38.134151458740234,222904,2020-09-14
2020-09-21,61.65846633911133,61.65846633911133,61.65846633911133,46.85053253173828,51.10966873168945,460844,2020-09-21
2020-09-28,61.36132049560547,61.36132049560547,71.3158187866211,61.36132049560547,64.72901153564453,341543,2020-09-28
2020-10-05,61.509891510009766,61.509891510009766,70.96914672851562,58.340301513671875,58.340301513671875,532651,2020-10-05
2020-10-12,60.56892013549805,60.56892013549805,64.38233947753906,54.477359771728516,61.90609359741211,129803,2020-10-12
2020-10-19,56.35930633544922,56.35930633544922,60.76702117919922,55.467857360839844,58.934600830078125,91976,2020-10-19
2020-10-26,50.366798400878906,50.366798400878906,57.30027770996094,49.52487564086914,56.95360565185547,77882,2020-10-26
2020-11-02,55.665958404541016,55.665958404541016,57.399330139160156,47.34577941894531,52.397315979003906,101614,2020-11-02
2020-11-09,61.65846633911133,61.65846633911133,61.80704116821289,51.10966873168945,57.201229095458984,138638,2020-11-09
2020-11-16,61.31179428100586,61.31179428100586,66.41285705566406,58.637451171875,58.885074615478516,163173,2020-11-16
2020-11-23,64.48138427734375,64.48138427734375,64.48138427734375,57.49837875366211,62.79753875732422,157094,2020-11-23
2020-11-30,67.40335083007812,67.40335083007812,74.58445739746094,64.48138427734375,64.48138427734375,392440,2020-11-30
2020-12-07,67.84907531738281,67.84907531738281,70.07769775390625,63.54041290283203,68.34432220458984,143665,2020-12-07
2020-12-14,65.52140808105469,65.52140808105469,71.21676635742188,64.38233947753906,71.21676635742188,142814,2020-12-14
2020-12-21,61.064170837402344,61.064170837402344,64.4318618774414,59.281272888183594,63.39183807373047,118592,2020-12-21
2020-12-28,69.08719635009766,69.08719635009766,69.08719635009766,60.618446350097656,61.064170837402344,212871,2020-12-28
2021-01-04,72.99966430664062,72.99966430664062,77.01117706298828,69.33482360839844,71.81106567382812,431092,2021-01-04
2021-01-11,67.25477600097656,67.25477600097656,74.23778533935547,66.41285705566406,73.99016571044922,207461,2021-01-11
2021-01-18,60.81654357910156,60.81654357910156,69.03767395019531,59.875572204589844,67.35382843017578,153242,2021-01-18
2021-01-25,62.104190826416016,62.104190826416016,64.28328704833984,60.024147033691406,63.7385139465332,107531,2021-01-25
2021-02-01,63.78803634643555,63.78803634643555,67.99765014648438,60.965118408203125,64.92710876464844,124155,2021-02-01
2021-02-08,58.04315185546875,58.04315185546875,65.37283325195312,58.04315185546875,65.37283325195312,165665,2021-02-08
2021-02-15,61.608943939208984,61.608943939208984,62.89659118652344,53.68496322631836,58.04315185546875,443286,2021-02-15
2021-02-22,58.1422004699707,58.1422004699707,63.98613739013672,56.7555046081543,63.292789459228516,121733,2021-02-22
2021-03-01,57.746002197265625,57.746002197265625,60.86606979370117,57.151702880859375,58.43935012817383,430385,2021-03-01
2021-03-08,57.10218048095703,57.10218048095703,58.98412322998047,56.012630462646484,57.746002197265625,166608,2021-03-08
2021-03-15,54.77450942993164,54.77450942993164,57.30027770996094,49.822021484375,57.151702880859375,113099,2021-03-15
2021-03-22,55.121185302734375,55.121185302734375,55.467857360839844,49.32677459716797,54.526885986328125,112773,2021-03-22
2021-03-29,59.67747116088867,59.67747116088867,62.40134048461914,55.121185302734375,55.121185302734375,111034,2021-03-29
2021-04-05,72.85108947753906,72.85108947753906,75.2778091430664,57.00313186645508,57.00313186645508,674531,2021-04-05
2021-04-12,71.56344604492188,71.56344604492188,72.75203704833984,67.79955291748047,72.7025146484375,202189,2021-04-12
2021-04-19,78.298828125,78.298828125,78.298828125,67.99765014648438,71.76154327392578,304190,2021-04-19
2021-04-26,84.24181365966797,84.24181365966797,89.04572296142578,77.90262603759766,82.21128845214844,562652,2021-04-26
2021-05-03,82.31034088134766,82.31034088134766,89.64002227783203,81.31983947753906,84.04370880126953,326074,2021-05-03
2021-05-10,87.55997467041016,87.55997467041016,90.6305160522461,82.40939331054688,85.08373260498047,284830,2021-05-10
2021-05-17,95.18680572509766,95.18680572509766,95.63253021240234,85.9256591796875,88.10475158691406,398500,2021-05-17
2021-05-24,101.87266540527344,101.87266540527344,112.81766510009766,95.73158264160156,96.47445678710938,499458,2021-05-24
2021-05-31,101.67456817626953,101.67456817626953,105.73560333251953,93.60201263427734,102.021240234375,246296,2021-05-31
2021-06-07,100.33739471435547,100.33739471435547,104.24986267089844,98.1583023071289,102.76411437988281,169553,2021-06-07
2021-06-14,91.8191146850586,91.8191146850586,104.99272918701172,90.87814331054688,100.98121643066406,120206,2021-06-14
2021-06-21,88.1542739868164,88.1542739868164,94.3944091796875,84.737060546875,90.6305160522461,128417,2021-06-21
2021-06-28,90.48194122314453,90.48194122314453,98.10877227783203,87.51045227050781,88.74857330322266,248994,2021-06-28
2021-07-05,87.16378021240234,87.16378021240234,91.52196502685547,82.40939331054688,91.52196502685547,170319,2021-07-05
2021-07-12,90.9771957397461,90.9771957397461,100.8326416015625,88.94667053222656,91.12577056884766,329304,2021-07-12
2021-07-19,88.99620056152344,88.99620056152344,94.98870849609375,86.47042846679688,89.144775390625,145988,2021-07-19
2021-07-26,87.9561767578125,87.9561767578125,92.11626434326172,84.29133605957031,91.96768951416016,130636,2021-07-26
2021-08-02,109.30139923095703,109.30139923095703,115.49200439453125,88.00569915771484,88.20380401611328,1156705,2021-08-02
2021-08-09,125.29792785644531,125.29792785644531,129.16087341308594,92.80961608886719,109.30139923095703,1411837,2021-08-09
2021-08-16,113.26338958740234,113.26338958740234,131.63711547851562,105.4384536743164,123.61408233642578,974300,2021-08-16
2021-08-23,123.5150375366211,123.5150375366211,133.42001342773438,111.53001403808594,116.87870025634766,479923,2021-08-23
2021-08-30,118.81017303466797,118.81017303466797,128.5665740966797,111.57954406738281,125.24840545654297,481252,2021-08-30
2021-09-06,142.87925720214844,142.87925720214844,142.87925720214844,114.40245819091797,119.75114440917969,972500,2021-09-06
2021-09-13,140.1553955078125,140.1553955078125,152.9328155517578,132.77618408203125,143.42404174804688,1160662,2021-09-13
2021-09-20,135.05433654785156,135.05433654785156,141.29446411132812,128.0218048095703,133.96478271484375,460416,2021-09-20
2021-09-27,130.64662170410156,130.64662170410156,139.16490173339844,128.467529296875,137.7781982421875,208999,2021-09-27
2021-10-04,132.67713928222656,132.67713928222656,142.6316375732422,130.79519653320312,131.14186096191406,312478,2021-10-04
2021-10-11,129.55706787109375,129.55706787109375,135.45053100585938,128.76467895507812,133.7171630859375,144974,2021-10-11
2021-10-18,121.28641510009766,121.28641510009766,139.01632690429688,120.79116821289062,131.3399658203125,295170,2021-10-18
2021-10-25,116.33393096923828,116.33393096923828,127.37797546386719,113.90721130371094,121.08831787109375,208929,2021-10-25
2021-11-01,117.9187240600586,117.9187240600586,121.6826171875,114.99675750732422,116.6310806274414,39235,2021-11-01
2021-11-08,117.12632751464844,117.12632751464844,120.64259338378906,113.70911407470703,117.9187240600586,166421,2021-11-08
