Date,Adj Close_SIGACHI.NS,Close_SIGACHI.NS,High_SIGACHI.NS,Low_SIGACHI.NS,Open_SIGACHI.NS,Volume_SIGACHI.NS,Date
2021-11-15,56.241119384765625,56.71500015258789,63.400001525878906,56.71500015258789,57.0,21368900,2021-11-15
2021-11-22,48.5509147644043,48.959999084472656,53.880001068115234,48.6349983215332,53.880001068115234,22807440,2021-11-22
2021-11-29,43.23073959350586,43.595001220703125,49.400001525878906,39.400001525878906,48.5,57938460,2021-11-29
2021-12-06,40.449180603027344,40.790000915527344,44.0,40.439998626708984,44.0,24690290,2021-12-06
2021-12-13,40.2905158996582,40.630001068115234,44.59000015258789,40.21500015258789,42.20000076293945,22472900,2021-12-13
2021-12-20,39.41291046142578,39.744998931884766,41.095001220703125,37.63999938964844,39.9900016784668,13465700,2021-12-20
2021-12-27,39.556697845458984,39.88999938964844,42.209999084472656,39.20000076293945,39.75,29352530,2021-12-27
2022-01-03,38.0841064453125,38.404998779296875,40.400001525878906,38.099998474121094,40.20000076293945,13892980,2022-01-03
2022-01-10,39.04104232788086,39.369998931884766,40.17499923706055,37.904998779296875,38.790000915527344,19351810,2022-01-10
2022-01-17,36.31897735595703,36.625,41.130001068115234,36.349998474121094,39.42499923706055,24140330,2022-01-17
2022-01-24,33.502708435058594,33.78499984741211,36.67499923706055,33.0099983215332,36.599998474121094,7179000,2022-01-24
2022-01-31,36.67597198486328,36.98500061035156,40.599998474121094,33.5099983215332,34.400001525878906,24651740,2022-01-31
2022-02-07,33.76549530029297,34.04999923706055,37.19499969482422,33.79999923706055,37.0,6451030,2022-02-07
2022-02-14,31.608667373657227,31.875,33.29999923706055,30.635000228881836,30.635000228881836,6378760,2022-02-14
2022-02-21,29.1593074798584,29.405000686645508,32.5,27.5,31.760000228881836,8991070,2022-02-21
2022-02-28,28.936185836791992,29.18000030517578,30.899999618530273,28.579999923706055,29.399999618530273,3729780,2022-02-28
2022-03-07,30.79551887512207,31.05500030517578,31.5,27.600000381469727,28.024999618530273,7684570,2022-03-07
2022-03-14,29.858417510986328,30.110000610351562,31.799999237060547,29.4950008392334,31.395000457763672,4361880,2022-03-14
2022-03-21,29.298137664794922,29.545000076293945,31.1200008392334,29.454999923706055,30.5,4523530,2022-03-21
2022-03-28,30.309616088867188,30.565000534057617,31.389999389648438,28.600000381469727,29.600000381469727,11566830,2022-03-28
2022-04-04,32.45156478881836,32.724998474121094,33.689998626708984,30.610000610351562,30.774999618530273,12354390,2022-04-04
2022-04-11,31.95574378967285,32.224998474121094,33.69499969482422,31.43000030517578,32.71500015258789,2945530,2022-04-11
2022-04-18,30.646772384643555,30.905000686645508,31.989999771118164,30.049999237060547,31.96500015258789,3753430,2022-04-18
2022-04-25,29.015518188476562,29.260000228881836,30.7549991607666,29.149999618530273,30.7549991607666,2756650,2022-04-25
2022-05-02,27.18097496032715,27.40999984741211,29.21500015258789,27.174999237060547,28.950000762939453,2619690,2022-05-02
2022-05-09,26.714902877807617,26.940000534057617,28.809999465942383,24.760000228881836,27.200000762939453,5044010,2022-05-09
2022-05-16,27.414012908935547,27.645000457763672,29.260000228881836,27.020000457763672,27.260000228881836,6827170,2022-05-16
2022-05-23,26.70002555847168,26.924999237060547,27.905000686645508,25.200000762939453,27.5049991607666,2764570,2022-05-23
2022-05-30,27.547883987426758,27.780000686645508,28.969999313354492,26.899999618530273,27.260000228881836,2525870,2022-05-30
2022-06-06,26.709943771362305,26.934999465942383,27.700000762939453,26.700000762939453,27.700000762939453,947580,2022-06-06
2022-06-13,24.548158645629883,24.7549991607666,26.854999542236328,24.5,26.174999237060547,1767800,2022-06-13
