Date,Adj Close_OMAXAUTO.NS,Close_OMAXAUTO.NS,High_OMAXAUTO.NS,Low_OMAXAUTO.NS,Open_OMAXAUTO.NS,Volume_OMAXAUTO.NS,Date
2020-07-13,33.59320831298828,34.099998474121094,35.04999923706055,32.20000076293945,32.20000076293945,158149,2020-07-13
2020-07-20,31.81995964050293,32.29999923706055,34.849998474121094,32.04999923706055,33.5,74967,2020-07-20
2020-07-27,29.554141998291016,30.0,32.95000076293945,29.049999237060547,31.549999237060547,85836,2020-07-27
2020-08-03,34.18429183959961,34.70000076293945,35.900001525878906,29.100000381469727,30.649999618530273,116098,2020-08-03
2020-08-10,44.87303924560547,45.54999923706055,52.0,32.79999923706055,34.20000076293945,987129,2020-08-10
2020-08-17,46.79405975341797,47.5,50.29999923706055,40.400001525878906,46.29999923706055,505939,2020-08-17
2020-08-24,47.63142395019531,48.349998474121094,59.79999923706055,47.0,47.5,1087053,2020-08-24
2020-08-31,44.92229461669922,45.599998474121094,50.95000076293945,43.5,50.95000076293945,216948,2020-08-31
2020-09-07,45.119319915771484,45.79999923706055,47.29999923706055,41.25,45.650001525878906,148013,2020-09-07
2020-09-14,43.001277923583984,43.650001525878906,51.0,42.650001525878906,47.0,229692,2020-09-14
2020-09-21,39.20849609375,39.79999923706055,43.95000076293945,38.099998474121094,43.20000076293945,74092,2020-09-21
2020-09-28,39.40552520751953,40.0,41.95000076293945,39.150001525878906,39.79999923706055,105971,2020-09-28
2020-10-05,38.223358154296875,38.79999923706055,41.0,38.45000076293945,39.5,60873,2020-10-05
2020-10-12,36.69639205932617,37.25,40.599998474121094,36.400001525878906,39.900001525878906,31706,2020-10-12
2020-10-19,41.17877197265625,41.79999923706055,42.95000076293945,36.099998474121094,36.54999923706055,215738,2020-10-19
2020-10-26,38.272613525390625,38.849998474121094,41.900001525878906,38.45000076293945,41.5,30471,2020-10-26
2020-11-02,38.8144416809082,39.400001525878906,40.900001525878906,38.04999923706055,39.5,52689,2020-11-02
2020-11-09,38.61741256713867,39.20000076293945,40.5,38.20000076293945,38.5,90944,2020-11-09
2020-11-16,38.37112808227539,38.95000076293945,40.20000076293945,38.25,38.79999923706055,73665,2020-11-16
2020-11-23,42.213165283203125,42.849998474121094,44.0,38.29999923706055,39.900001525878906,306934,2020-11-23
2020-11-30,41.080257415771484,41.70000076293945,44.900001525878906,40.900001525878906,42.849998474121094,206822,2020-11-30
2020-12-07,46.20297622680664,46.900001525878906,47.400001525878906,41.5,42.900001525878906,341757,2020-12-07
2020-12-14,44.429725646972656,45.099998474121094,50.70000076293945,44.099998474121094,47.5,456234,2020-12-14
2020-12-21,43.49384689331055,44.150001525878906,45.5,40.0,45.150001525878906,99347,2020-12-21
2020-12-28,44.380470275878906,45.04999923706055,46.70000076293945,42.650001525878906,44.20000076293945,147134,2020-12-28
2021-01-04,45.66114807128906,46.349998474121094,49.75,43.20000076293945,45.04999923706055,250413,2021-01-04
2021-01-11,45.956695556640625,46.650001525878906,52.0,45.20000076293945,46.0,663886,2021-01-11
2021-01-18,44.52824020385742,45.20000076293945,47.54999923706055,43.400001525878906,45.900001525878906,176576,2021-01-18
2021-01-25,47.43439865112305,48.150001525878906,53.849998474121094,46.599998474121094,48.0,911743,2021-01-25
2021-02-01,48.321022033691406,49.04999923706055,51.900001525878906,46.599998474121094,48.150001525878906,165524,2021-02-01
2021-02-08,46.005950927734375,46.70000076293945,51.5,45.79999923706055,49.099998474121094,246869,2021-02-08
2021-02-15,43.54310607910156,44.20000076293945,47.5,43.25,47.5,170038,2021-02-15
2021-02-22,44.57749938964844,45.25,46.900001525878906,43.599998474121094,44.20000076293945,186315,2021-02-22
2021-03-01,46.055206298828125,46.75,49.0,45.0,45.0,234943,2021-03-01
2021-03-08,43.98641586303711,44.650001525878906,47.5,44.0,46.849998474121094,76493,2021-03-08
2021-03-15,43.887901306152344,44.54999923706055,53.0,42.849998474121094,44.900001525878906,638050,2021-03-15
2021-03-22,43.050533294677734,43.70000076293945,46.20000076293945,41.79999923706055,44.70000076293945,115636,2021-03-22
2021-03-29,42.90275955200195,43.54999923706055,44.70000076293945,39.29999923706055,43.70000076293945,132187,2021-03-29
2021-04-05,42.163909912109375,42.79999923706055,44.0,41.54999923706055,44.0,88321,2021-04-05
2021-04-12,40.88322830200195,41.5,42.70000076293945,39.54999923706055,42.45000076293945,67913,2021-04-12
2021-04-19,39.84883499145508,40.45000076293945,44.849998474121094,38.45000076293945,40.29999923706055,183812,2021-04-19
2021-04-26,39.947349548339844,40.54999923706055,42.849998474121094,39.45000076293945,40.45000076293945,142122,2021-04-26
2021-05-03,39.504032135009766,40.099998474121094,41.95000076293945,36.95000076293945,40.54999923706055,209499,2021-05-03
2021-05-10,39.7010612487793,40.29999923706055,42.75,39.650001525878906,40.20000076293945,156817,2021-05-10
2021-05-17,45.956695556640625,46.650001525878906,51.20000076293945,40.20000076293945,40.75,2200587,2021-05-17
2021-05-24,45.71040725708008,46.400001525878906,50.70000076293945,45.95000076293945,46.0,575905,2021-05-24
2021-05-31,45.759666442871094,46.45000076293945,48.54999923706055,44.20000076293945,46.0,276155,2021-05-31
2021-06-07,47.04034423828125,47.75,49.70000076293945,46.20000076293945,46.900001525878906,336735,2021-06-07
2021-06-14,57.03949737548828,57.900001525878906,63.45000076293945,46.54999923706055,47.29999923706055,4416989,2021-06-14
2021-06-21,55.41401672363281,56.25,63.349998474121094,55.599998474121094,57.900001525878906,688495,2021-06-21
2021-06-28,61.42335891723633,62.349998474121094,67.8499984741211,56.099998474121094,57.25,2073447,2021-06-28
2021-07-05,61.66964340209961,62.599998474121094,66.80000305175781,61.599998474121094,62.900001525878906,568923,2021-07-05
2021-07-12,68.71337890625,69.75,73.75,62.599998474121094,62.599998474121094,1821904,2021-07-12
2021-07-19,62.80255126953125,63.75,71.94999694824219,61.099998474121094,69.25,188719,2021-07-19
2021-07-26,60.58599090576172,61.5,64.69999694824219,60.29999923706055,63.70000076293945,148941,2021-07-26
2021-08-02,57.778350830078125,58.650001525878906,63.900001525878906,56.04999923706055,62.45000076293945,182137,2021-08-02
2021-08-09,51.37495422363281,52.150001525878906,58.849998474121094,49.70000076293945,58.650001525878906,123770,2021-08-09
2021-08-16,42.90275955200195,43.54999923706055,51.0,43.54999923706055,49.70000076293945,84558,2021-08-16
2021-08-23,49.45393371582031,50.20000076293945,50.20000076293945,39.5,43.54999923706055,94711,2021-08-23
2021-08-30,45.51337814331055,46.20000076293945,52.650001525878906,45.20000076293945,52.45000076293945,84912,2021-08-30
