Date,Adj Close_GRINDWELL.NS,Close_GRINDWELL.NS,High_GRINDWELL.NS,Low_GRINDWELL.NS,Open_GRINDWELL.NS,Volume_GRINDWELL.NS,Date
2020-07-13,468.3725280761719,493.1499938964844,525.0,491.0,517.4000244140625,54644,2020-07-13
2020-07-20,465.0086975097656,482.29998779296875,499.95001220703125,480.1499938964844,499.95001220703125,129440,2020-07-20
2020-07-27,463.4661560058594,480.70001220703125,490.0,480.0,482.0,106856,2020-07-27
2020-08-03,465.24981689453125,482.54998779296875,502.0,476.45001220703125,481.0,172096,2020-08-03
2020-08-10,502.70697021484375,521.4000244140625,530.0,484.0,484.79998779296875,322072,2020-08-10
2020-08-17,540.453369140625,560.5499877929688,570.2000122070312,516.8499755859375,524.0499877929688,303463,2020-08-17
2020-08-24,497.982666015625,516.5,569.0,514.9000244140625,565.0,119568,2020-08-24
2020-08-31,513.3126220703125,532.4000244140625,542.0,491.8500061035156,516.5,87926,2020-08-31
2020-09-07,501.45355224609375,520.0999755859375,554.0,513.0499877929688,542.0,139768,2020-09-07
2020-09-14,527.1962890625,546.7999877929688,654.5,530.0,530.0,353353,2020-09-14
2020-09-21,506.61181640625,525.4500122070312,569.9500122070312,502.6000061035156,548.9500122070312,72445,2020-09-21
2020-09-28,541.9960327148438,562.1500244140625,570.0,514.0999755859375,526.8499755859375,148540,2020-09-28
2020-10-05,523.9664306640625,543.4500122070312,579.75,535.5499877929688,565.0,157760,2020-10-05
2020-10-12,532.0170288085938,551.7999877929688,556.0,533.1500244140625,545.0,60298,2020-10-12
2020-10-19,546.1900634765625,566.5,571.0,538.4500122070312,555.0,88713,2020-10-19
2020-10-26,530.6672973632812,550.4000244140625,578.0,540.9500122070312,569.3499755859375,167968,2020-10-26
2020-11-02,525.0269775390625,544.5499877929688,570.0,532.5999755859375,559.9000244140625,152265,2020-11-02
2020-11-09,529.992431640625,549.7000122070312,569.9000244140625,538.0499877929688,547.2999877929688,151808,2020-11-09
2020-11-16,559.1578369140625,579.9500122070312,590.9000244140625,545.0,545.3499755859375,323942,2020-11-16
2020-11-23,576.6090087890625,598.0499877929688,618.0,574.2000122070312,580.0,259720,2020-11-23
2020-11-30,621.9238891601562,645.0499877929688,655.0,593.0,598.0499877929688,315402,2020-11-30
2020-12-07,646.1722412109375,670.2000122070312,691.0,639.9000244140625,645.6500244140625,272018,2020-12-07
2020-12-14,627.9498291015625,651.2999877929688,680.0,636.4500122070312,670.2000122070312,144890,2020-12-14
2020-12-21,677.844482421875,703.0499877929688,720.0,629.9500122070312,645.0499877929688,202322,2020-12-21
2020-12-28,692.4031372070312,718.1500244140625,774.0,713.0,725.0,477785,2020-12-28
2021-01-04,718.6279296875,745.3499755859375,785.0,705.0,718.1500244140625,400729,2021-01-04
2021-01-11,698.3326416015625,724.2999877929688,773.9000244140625,720.0,748.9500122070312,204127,2021-01-11
2021-01-18,679.9174194335938,705.2000122070312,755.0,681.5,723.0499877929688,154158,2021-01-18
2021-01-25,663.38232421875,688.0499877929688,725.0,672.0,705.2000122070312,103931,2021-01-25
2021-02-01,772.0418090820312,800.75,827.9000244140625,682.4500122070312,694.8499755859375,1085107,2021-02-01
2021-02-08,840.7373046875,872.0,889.0,784.9500122070312,804.7999877929688,438365,2021-02-08
