Date,Adj Close_MAHASTEEL.NS,Close_MAHASTEEL.NS,High_MAHASTEEL.NS,Low_MAHASTEEL.NS,Open_MAHASTEEL.NS,Volume_MAHASTEEL.NS,Date
2020-07-13,72.94999694824219,72.94999694824219,73.4000015258789,67.0,69.19999694824219,76802,2020-07-13
2020-07-20,75.8499984741211,75.8499984741211,77.69999694824219,71.55000305175781,75.5999984741211,81567,2020-07-20
2020-07-27,73.6500015258789,73.6500015258789,76.6500015258789,70.0,75.75,48217,2020-07-27
2020-08-03,93.80000305175781,93.80000305175781,93.80000305175781,72.05000305175781,72.05000305175781,169606,2020-08-03
2020-08-10,106.30000305175781,106.30000305175781,111.0,94.75,95.0,289575,2020-08-10
2020-08-17,114.3499984741211,114.3499984741211,116.0,102.75,109.5999984741211,164729,2020-08-17
2020-08-24,113.80000305175781,113.80000305175781,119.0,110.30000305175781,115.9000015258789,94754,2020-08-24
2020-08-31,110.1500015258789,110.1500015258789,115.19999694824219,104.19999694824219,114.94999694824219,61022,2020-08-31
2020-09-07,119.30000305175781,119.30000305175781,128.9499969482422,111.0,112.0,189088,2020-09-07
2020-09-14,116.69999694824219,116.69999694824219,122.0,110.4000015258789,120.1500015258789,53269,2020-09-14
2020-09-21,104.9000015258789,104.9000015258789,118.5,99.0,116.4000015258789,58402,2020-09-21
2020-09-28,108.30000305175781,108.30000305175781,111.75,99.19999694824219,103.9000015258789,18005,2020-09-28
2020-10-05,103.1500015258789,103.1500015258789,109.69999694824219,100.44999694824219,108.0,28662,2020-10-05
2020-10-12,100.05000305175781,100.05000305175781,108.9000015258789,95.44999694824219,103.19999694824219,25625,2020-10-12
2020-10-19,103.5,103.5,104.6500015258789,97.0,100.25,23552,2020-10-19
2020-10-26,96.3499984741211,96.3499984741211,106.44999694824219,90.94999694824219,102.0,36285,2020-10-26
2020-11-02,101.0,101.0,104.5999984741211,92.1500015258789,93.0,62879,2020-11-02
2020-11-09,99.0999984741211,99.0999984741211,103.80000305175781,93.0,102.4000015258789,74058,2020-11-09
2020-11-16,95.0,95.0,99.3499984741211,93.0,99.3499984741211,46989,2020-11-16
2020-11-23,98.30000305175781,98.30000305175781,99.9000015258789,93.19999694824219,97.94999694824219,66409,2020-11-23
