Date,Adj Close_WEL.NS,Close_WEL.NS,High_WEL.NS,Low_WEL.NS,Open_WEL.NS,Volume_WEL.NS,Date
2021-03-08,3.841724157333374,3.84375,4.034375190734863,3.84375,4.034375190734863,76800,2021-03-08
2021-03-15,3.904191255569458,3.90625,3.90625,3.90625,3.90625,153600,2021-03-15
2021-03-22,4.08534574508667,4.087500095367432,4.087500095367432,3.90625,3.90625,25600,2021-03-22
2021-03-29,4.08534574508667,4.087500095367432,4.087500095367432,4.087500095367432,4.087500095367432,0,2021-03-29
2021-04-05,4.060359001159668,4.0625,4.087500095367432,4.0625,4.087500095367432,76800,2021-04-05
2021-04-12,4.185293197631836,4.1875,4.1875,4.0625,4.0625,51200,2021-04-12
2021-04-19,3.985398530960083,3.987499952316284,4.1875,3.987499952316284,4.1875,51200,2021-04-19
2021-04-26,3.985398530960083,3.987499952316284,3.987499952316284,3.987499952316284,3.987499952316284,0,2021-04-26
2021-05-03,4.091592311859131,4.09375,4.184374809265137,3.987499952316284,3.987499952316284,51200,2021-05-03
2021-05-10,4.24776029586792,4.25,4.25,4.125,4.125,76800,2021-05-10
2021-05-17,4.035372257232666,4.037499904632568,4.25,4.037499904632568,4.25,102400,2021-05-17
2021-05-24,4.035372257232666,4.037499904632568,4.037499904632568,4.037499904632568,4.037499904632568,0,2021-05-24
2021-05-31,4.035372257232666,4.037499904632568,4.037499904632568,4.037499904632568,4.037499904632568,0,2021-05-31
2021-06-07,4.060359001159668,4.0625,4.0625,4.037499904632568,4.037499904632568,25600,2021-06-07
2021-06-14,4.931774139404297,4.934374809265137,4.934374809265137,4.1875,4.1875,2739200,2021-06-14
2021-06-21,6.281063079833984,6.284375190734863,6.284375190734863,5.178124904632568,5.178124904632568,1280000,2021-06-21
2021-06-28,7.617857933044434,7.621874809265137,7.621874809265137,6.596875190734863,6.596875190734863,230400,2021-06-28
2021-07-05,7.870849609375,7.875,7.875,7.4375,7.8125,153600,2021-07-05
2021-07-12,7.186835765838623,7.190625190734863,7.5625,7.190625190734863,7.5,128000,2021-07-12
2021-07-19,5.859410285949707,5.862500190734863,6.831250190734863,5.862500190734863,6.831250190734863,128000,2021-07-19
2021-07-26,6.334159851074219,6.337500095367432,6.337500095367432,5.574999809265137,5.574999809265137,102400,2021-07-26
2021-08-02,6.649618625640869,6.653124809265137,6.653124809265137,6.337500095367432,6.337500095367432,25600,2021-08-02
2021-08-09,6.318543434143066,6.321875095367432,6.653124809265137,6.321875095367432,6.653124809265137,25600,2021-08-09
2021-08-16,6.318543434143066,6.321875095367432,6.321875095367432,6.321875095367432,6.321875095367432,0,2021-08-16
2021-08-23,6.621508598327637,6.625,6.96875,6.621874809265137,6.634375095367432,256000,2021-08-23
2021-08-30,6.621508598327637,6.625,6.625,6.625,6.625,0,2021-08-30
2021-09-06,7.658461570739746,7.662499904632568,7.662499904632568,6.956250190734863,6.956250190734863,102400,2021-09-06
2021-09-13,8.01140022277832,8.015625,8.337499618530273,7.5625,8.03125,230400,2021-09-13
2021-09-20,8.526753425598145,8.53125,8.53125,8.125,8.393750190734863,128000,2021-09-20
2021-09-27,8.951530456542969,8.956250190734863,8.956250190734863,8.53125,8.53125,25600,2021-09-27
2021-10-04,10.119664192199707,10.125,10.125,9.1875,9.403124809265137,179200,2021-10-04
2021-10-11,11.154118537902832,11.15999984741211,11.15999984741211,10.630000114440918,10.630000114440918,51200,2021-10-11
2021-10-18,11.858746528625488,11.864999771118164,11.864999771118164,11.699999809265137,11.71500015258789,102400,2021-10-18
2021-10-25,11.858746528625488,11.864999771118164,11.864999771118164,11.864999771118164,11.864999771118164,0,2021-10-25
2021-11-01,11.993675231933594,12.0,12.0,11.864999771118164,11.864999771118164,25600,2021-11-01
2021-11-08,11.993675231933594,12.0,12.0,12.0,12.0,0,2021-11-08
2021-11-15,12.24354362487793,12.25,12.600000381469727,12.0,12.0,76800,2021-11-15
2021-11-22,12.343491554260254,12.350000381469727,12.350000381469727,12.25,12.25,25600,2021-11-22
2021-11-29,12.343491554260254,12.350000381469727,12.350000381469727,12.350000381469727,12.350000381469727,0,2021-11-29
2021-12-06,12.343491554260254,12.350000381469727,12.350000381469727,12.350000381469727,12.350000381469727,0,2021-12-06
2021-12-13,12.343491554260254,12.350000381469727,12.350000381469727,12.350000381469727,12.350000381469727,0,2021-12-13
2021-12-20,10.58941650390625,10.595000267028809,11.149999618530273,10.595000267028809,11.149999618530273,51200,2021-12-20
2021-12-27,10.58941650390625,10.595000267028809,10.595000267028809,10.595000267028809,10.595000267028809,0,2021-12-27
2022-01-03,10.58941650390625,10.595000267028809,10.595000267028809,10.595000267028809,10.595000267028809,0,2022-01-03
2022-01-10,11.658852577209473,11.664999961853027,11.664999961853027,10.595000267028809,10.595000267028809,51200,2022-01-10
2022-01-17,14.862162590026855,14.869999885559082,14.869999885559082,12.244999885559082,12.244999885559082,8100,2022-01-17
