Date,Adj Close_RAMCOCEM.NS,Close_RAMCOCEM.NS,High_RAMCOCEM.NS,Low_RAMCOCEM.NS,Open_RAMCOCEM.NS,Volume_RAMCOCEM.NS,Date
2020-07-13,653.5848388671875,661.8499755859375,665.0,632.0,663.2000122070312,1944567,2020-07-13
2020-07-20,680.4945678710938,689.0999755859375,698.9500122070312,646.5,658.7999877929688,5876704,2020-07-20
2020-07-27,683.3090209960938,691.9500122070312,728.75,679.5,688.0,4752651,2020-07-27
2020-08-03,679.6058349609375,688.2000122070312,697.9500122070312,669.5,696.2000122070312,4517017,2020-08-03
2020-08-10,669.9776611328125,678.4500122070312,718.9000244140625,674.4500122070312,690.0,8079041,2020-08-10
2020-08-17,721.1307373046875,730.25,738.6500244140625,666.0,679.0,6277294,2020-08-17
2020-08-24,710.6630249023438,719.6500244140625,741.0999755859375,705.0499877929688,735.7000122070312,3642248,2020-08-24
2020-08-31,707.0586547851562,716.0,758.5999755859375,682.0,726.1500244140625,4035833,2020-08-31
2020-09-07,694.220947265625,703.0,727.9500122070312,664.0499877929688,716.0999755859375,3447635,2020-09-07
2020-09-14,736.1903076171875,745.5,773.1500244140625,705.0,706.0,5856661,2020-09-14
2020-09-21,700.49169921875,709.3499755859375,754.5,687.7999877929688,745.5,4389853,2020-09-21
2020-09-28,736.6840209960938,746.0,764.0,707.7999877929688,713.3499755859375,3716432,2020-09-28
2020-10-05,761.3224487304688,770.9500122070312,777.0,742.0499877929688,746.0499877929688,3834777,2020-10-05
2020-10-12,770.6050415039062,780.3499755859375,798.5999755859375,750.5499877929688,771.4000244140625,6817030,2020-10-12
2020-10-19,774.357666015625,784.1500244140625,801.9500122070312,772.0,788.0,2988370,2020-10-19
2020-10-26,786.997802734375,796.9500122070312,811.2000122070312,752.5499877929688,783.3499755859375,4096655,2020-10-26
2020-11-02,826.596923828125,837.0499877929688,856.0,790.7999877929688,798.0,4753533,2020-11-02
2020-11-09,841.5084228515625,852.1500244140625,861.7000122070312,830.0499877929688,840.0999755859375,2733113,2020-11-09
2020-11-16,841.5084228515625,852.1500244140625,881.6500244140625,846.2999877929688,854.75,1808591,2020-11-16
2020-11-23,881.0089721679688,892.1500244140625,897.7000122070312,849.7000122070312,855.0,3357276,2020-11-23
2020-11-30,878.2932739257812,889.4000244140625,900.0,868.0499877929688,892.1500244140625,2627566,2020-11-30
2020-12-07,834.645263671875,845.2000122070312,903.2999877929688,825.2999877929688,892.9500122070312,3601696,2020-12-07
2020-12-14,831.9296875,842.4500122070312,868.0,833.0,848.0999755859375,2811298,2020-12-14
2020-12-21,767.4451293945312,777.1500244140625,842.0,767.1500244140625,842.0,2550123,2020-12-21
2020-12-28,785.0721435546875,795.0,820.0,770.6500244140625,781.0,4945864,2020-12-28
2021-01-04,841.212158203125,851.8499755859375,856.0,786.1500244140625,798.9000244140625,6641269,2021-01-04
2021-01-11,812.1793212890625,822.4500122070312,874.9000244140625,807.0499877929688,855.0,3022920,2021-01-11
2021-01-18,799.1935424804688,809.2999877929688,832.0,783.1500244140625,814.3499755859375,3178743,2021-01-18
2021-01-25,771.2468872070312,781.0,818.0499877929688,766.0499877929688,815.2999877929688,2334008,2021-01-25
2021-02-01,860.6661376953125,871.5499877929688,898.0,768.2999877929688,783.6500244140625,6493118,2021-02-01
2021-02-08,944.8515625,956.7999877929688,965.2999877929688,875.2000122070312,880.0,6174837,2021-02-08
