Date,Adj Close_SIYSIL.NS,Close_SIYSIL.NS,High_SIYSIL.NS,Low_SIYSIL.NS,Open_SIYSIL.NS,Volume_SIYSIL.NS,Date
2020-07-13,119.19953918457031,129.39999389648438,132.3000030517578,125.05000305175781,129.60000610351562,72800,2020-07-13
2020-07-20,122.93026733398438,133.4499969482422,136.0,126.25,130.8000030517578,268217,2020-07-20
2020-07-27,119.24559783935547,129.4499969482422,134.0,126.19999694824219,132.10000610351562,173912,2020-07-27
2020-08-03,135.18185424804688,146.75,169.6999969482422,127.0,131.89999389648438,5974994,2020-08-03
2020-08-10,134.9976348876953,146.5500030517578,153.0,145.0,147.9499969482422,519126,2020-08-10
2020-08-17,148.1703643798828,160.85000610351562,166.0,146.5500030517578,147.5,643750,2020-08-17
2020-08-24,146.00563049316406,158.5,166.0,155.0,163.39999389648438,506792,2020-08-24
2020-08-31,135.13577270507812,146.6999969482422,164.85000610351562,142.60000610351562,164.85000610351562,286698,2020-08-31
2020-09-07,131.45111083984375,142.6999969482422,150.6999969482422,139.0,150.6999969482422,136501,2020-09-07
2020-09-14,132.14198303222656,143.4499969482422,148.0,139.0,142.6999969482422,162477,2020-09-14
2020-09-21,124.72655487060547,135.39999389648438,145.64999389648438,130.0,145.64999389648438,161724,2020-09-21
2020-09-28,129.9311981201172,141.0500030517578,147.0,125.5,137.0,157832,2020-09-28
2020-10-05,142.7354736328125,154.9499969482422,165.0,141.0,141.0,1790385,2020-10-05
2020-10-12,130.20753479003906,141.35000610351562,159.0,139.0,157.39999389648438,394665,2020-10-12
2020-10-19,133.61587524414062,145.0500030517578,146.0,140.0500030517578,144.4499969482422,143597,2020-10-19
2020-10-26,126.5228500366211,137.35000610351562,146.25,136.5,145.0500030517578,120248,2020-10-26
2020-11-02,126.70706939697266,137.5500030517578,142.4499969482422,135.0,137.35000610351562,162144,2020-11-02
2020-11-09,126.8913345336914,137.75,165.0500030517578,133.64999389648438,136.25,622461,2020-11-09
2020-11-16,141.86036682128906,154.0,158.0500030517578,134.9499969482422,134.9499969482422,1738777,2020-11-16
2020-11-23,148.58493041992188,161.3000030517578,168.0,151.0500030517578,154.25,1242673,2020-11-23
