Date,Adj Close_DPABHUSHAN.NS,Close_DPABHUSHAN.NS,High_DPABHUSHAN.NS,Low_DPABHUSHAN.NS,Open_DPABHUSHAN.NS,Volume_DPABHUSHAN.NS,Date
2020-07-13,71.6854019165039,72.0,72.0,72.0,72.0,0,2020-07-13
2020-07-20,68.94741821289062,69.25,72.0,69.05000305175781,72.0,12000,2020-07-20
2020-07-27,63.2225456237793,63.5,69.25,63.29999923706055,69.25,20000,2020-07-27
2020-08-03,68.69851684570312,69.0,69.0,63.5,63.5,32000,2020-08-03
2020-08-10,71.6854019165039,72.0,74.94999694824219,69.0,69.0,88000,2020-08-10
2020-08-17,82.1395263671875,82.5,84.0,63.0,69.25,184000,2020-08-17
2020-08-24,88.16309356689453,88.55000305175781,91.0,83.1500015258789,83.80000305175781,204000,2020-08-24
2020-08-31,88.61112976074219,89.0,93.0,84.1500015258789,88.55000305175781,64000,2020-08-31
2020-09-07,88.31243133544922,88.69999694824219,90.69999694824219,85.05000305175781,88.5999984741211,48000,2020-09-07
2020-09-14,91.54823303222656,91.94999694824219,93.0,88.69999694824219,88.69999694824219,64000,2020-09-14
2020-09-21,90.60238647460938,91.0,93.0,87.0999984741211,92.0999984741211,96000,2020-09-21
2020-09-28,88.90982055664062,89.30000305175781,95.0,77.0,77.0,108000,2020-09-28
2020-10-05,93.09146118164062,93.5,95.8499984741211,87.5,93.5,40000,2020-10-05
2020-10-12,92.59364318847656,93.0,95.0,93.0,93.5,44000,2020-10-12
2020-10-19,103.54557800292969,104.0,104.0,94.5999984741211,94.5999984741211,44000,2020-10-19
2020-10-26,128.88438415527344,129.4499969482422,132.9499969482422,100.0999984741211,103.0,384000,2020-10-26
2020-11-02,115.79183959960938,116.30000305175781,134.9499969482422,101.94999694824219,127.0,333178,2020-11-02
2020-11-09,101.20584869384766,101.6500015258789,121.9000015258789,100.0,121.9000015258789,35703,2020-11-09
2020-11-16,100.60847473144531,101.05000305175781,107.0,100.05000305175781,101.6500015258789,18655,2020-11-16
2020-11-23,88.01374816894531,88.4000015258789,104.9000015258789,82.0,104.55000305175781,66593,2020-11-23
2020-11-30,90.3036880493164,90.69999694824219,94.5,82.30000305175781,88.4000015258789,32977,2020-11-30
