Date,Adj Close_EPACK.NS,Close_EPACK.NS,High_EPACK.NS,Low_EPACK.NS,Open_EPACK.NS,Volume_EPACK.NS,Date
2024-01-29,204.1999969482422,204.1999969482422,224.5,204.0,221.0,18011643,2024-01-29
2024-02-05,191.64999389648438,191.64999389648438,204.4499969482422,186.1999969482422,204.1999969482422,5743976,2024-02-05
2024-02-12,198.4499969482422,198.4499969482422,208.39999389648438,175.3000030517578,192.35000610351562,5792886,2024-02-12
2024-02-19,195.3000030517578,195.3000030517578,201.89999389648438,187.10000610351562,199.35000610351562,2394503,2024-02-19
2024-02-26,182.35000610351562,182.35000610351562,199.85000610351562,181.10000610351562,195.3000030517578,2425073,2024-02-26
2024-03-04,176.4499969482422,176.4499969482422,188.6999969482422,173.3000030517578,188.4499969482422,1311380,2024-03-04
2024-03-11,162.25,162.25,178.8000030517578,155.10000610351562,178.0,2300834,2024-03-11
2024-03-18,159.6999969482422,159.6999969482422,170.25,157.89999389648438,162.1999969482422,1745318,2024-03-18
2024-03-25,151.35000610351562,151.35000610351562,161.3000030517578,150.60000610351562,159.6999969482422,1702022,2024-03-25
2024-04-01,183.8000030517578,183.8000030517578,185.1999969482422,152.89999389648438,152.89999389648438,3883508,2024-04-01
2024-04-08,184.0500030517578,184.0500030517578,196.4499969482422,183.5,187.6999969482422,3219991,2024-04-08
2024-04-15,179.6999969482422,179.6999969482422,183.5,171.35000610351562,180.60000610351562,1712701,2024-04-15
2024-04-22,207.25,207.25,213.0,180.0,180.0,9102673,2024-04-22
2024-04-29,197.39999389648438,197.39999389648438,209.89999389648438,193.0500030517578,209.39999389648438,2509315,2024-04-29
2024-05-06,179.75,179.75,199.6999969482422,177.5,199.0,2008814,2024-05-06
2024-05-13,181.39999389648438,181.39999389648438,189.75,174.5,182.0,2155023,2024-05-13
2024-05-20,192.10000610351562,192.10000610351562,193.5,177.85000610351562,180.0500030517578,1697898,2024-05-20
2024-05-27,171.89999389648438,171.89999389648438,197.0,170.6999969482422,193.5500030517578,2789834,2024-05-27
