Date,Adj Close_HARRMALAYA.NS,Close_HARRMALAYA.NS,High_HARRMALAYA.NS,Low_HARRMALAYA.NS,Open_HARRMALAYA.NS,Volume_HARRMALAYA.NS,Date
2020-07-13,85.5,85.5,88.30000305175781,80.94999694824219,81.19999694824219,484429,2020-07-13
2020-07-20,83.25,83.25,87.05000305175781,80.0,85.94999694824219,536950,2020-07-20
2020-07-27,88.3499984741211,88.3499984741211,95.3499984741211,81.0,83.5999984741211,1444238,2020-07-27
2020-08-03,94.3499984741211,94.3499984741211,100.0,87.5,88.3499984741211,1536958,2020-08-03
2020-08-10,92.5999984741211,92.5999984741211,101.5,92.0999984741211,94.4000015258789,552436,2020-08-10
2020-08-17,101.6500015258789,101.6500015258789,108.3499984741211,93.05000305175781,93.05000305175781,1324977,2020-08-17
2020-08-24,102.05000305175781,102.05000305175781,103.9000015258789,92.5999984741211,99.0999984741211,1561730,2020-08-24
2020-08-31,96.55000305175781,96.55000305175781,105.0,93.94999694824219,104.0,800885,2020-08-31
2020-09-07,96.3499984741211,96.3499984741211,98.5,91.19999694824219,95.80000305175781,295409,2020-09-07
2020-09-14,93.80000305175781,93.80000305175781,99.0,92.94999694824219,97.3499984741211,331680,2020-09-14
2020-09-21,86.05000305175781,86.05000305175781,96.0,84.1500015258789,95.0,219921,2020-09-21
2020-09-28,94.9000015258789,94.9000015258789,100.0,88.05000305175781,90.4000015258789,609424,2020-09-28
2020-10-05,91.1500015258789,91.1500015258789,94.94999694824219,90.75,94.25,186072,2020-10-05
2020-10-12,89.69999694824219,89.69999694824219,93.75,87.1500015258789,91.1500015258789,173467,2020-10-12
2020-10-19,90.6500015258789,90.6500015258789,93.55000305175781,88.25,89.69999694824219,131203,2020-10-19
2020-10-26,94.5999984741211,94.5999984741211,100.0,90.0,90.1500015258789,611845,2020-10-26
2020-11-02,94.5999984741211,94.5999984741211,100.30000305175781,91.75,94.5999984741211,487580,2020-11-02
2020-11-09,93.3499984741211,93.3499984741211,97.5,90.1500015258789,94.5999984741211,426249,2020-11-09
2020-11-16,103.0,103.0,109.80000305175781,91.94999694824219,93.1500015258789,1413535,2020-11-16
2020-11-23,104.6500015258789,104.6500015258789,109.69999694824219,101.0,103.0,900986,2020-11-23
2020-11-30,110.1500015258789,110.1500015258789,113.80000305175781,104.5,104.6500015258789,1230749,2020-11-30
2020-12-07,118.44999694824219,118.44999694824219,144.9499969482422,109.05000305175781,110.0999984741211,3787272,2020-12-07
2020-12-14,115.94999694824219,115.94999694824219,123.4000015258789,112.3499984741211,119.0,550869,2020-12-14
2020-12-21,113.05000305175781,113.05000305175781,117.75,99.0999984741211,115.0999984741211,355858,2020-12-21
2020-12-28,115.69999694824219,115.69999694824219,120.0,113.25,116.0,414148,2020-12-28
2021-01-04,131.85000610351562,131.85000610351562,135.39999389648438,114.05000305175781,116.3499984741211,2857477,2021-01-04
2021-01-11,122.5999984741211,122.5999984741211,132.0,120.80000305175781,132.0,758796,2021-01-11
2021-01-18,119.30000305175781,119.30000305175781,124.44999694824219,117.0,122.0999984741211,494233,2021-01-18
2021-01-25,121.1500015258789,121.1500015258789,128.9499969482422,117.1500015258789,120.80000305175781,664940,2021-01-25
2021-02-01,116.25,116.25,130.64999389648438,114.5999984741211,121.5,655376,2021-02-01
2021-02-08,119.5999984741211,119.5999984741211,124.0,114.5,118.4000015258789,894716,2021-02-08
2021-02-15,123.44999694824219,123.44999694824219,132.5,117.0999984741211,119.5999984741211,1240902,2021-02-15
2021-02-22,131.14999389648438,131.14999389648438,133.39999389648438,121.3499984741211,124.30000305175781,1311428,2021-02-22
2021-03-01,133.5500030517578,133.5500030517578,148.35000610351562,129.0,133.8000030517578,2351701,2021-03-01
2021-03-08,153.60000610351562,153.60000610351562,162.3000030517578,134.5,135.8000030517578,3502396,2021-03-08
2021-03-15,143.3000030517578,143.3000030517578,171.1999969482422,138.0500030517578,154.4499969482422,3022562,2021-03-15
2021-03-22,140.3000030517578,140.3000030517578,151.9499969482422,133.14999389648438,144.0500030517578,1257790,2021-03-22
2021-03-29,141.9499969482422,141.9499969482422,147.6999969482422,136.85000610351562,140.3000030517578,486503,2021-03-29
2021-04-05,150.60000610351562,150.60000610351562,159.85000610351562,138.39999389648438,140.6999969482422,1771678,2021-04-05
2021-04-12,145.3000030517578,145.3000030517578,150.9499969482422,138.0500030517578,150.0,663034,2021-04-12
2021-04-19,145.39999389648438,145.39999389648438,149.39999389648438,138.6999969482422,140.35000610351562,912922,2021-04-19
2021-04-26,156.4499969482422,156.4499969482422,162.3000030517578,146.10000610351562,151.8000030517578,1448457,2021-04-26
2021-05-03,173.8000030517578,173.8000030517578,183.5500030517578,156.6999969482422,158.75,2420516,2021-05-03
2021-05-10,169.4499969482422,169.4499969482422,185.64999389648438,165.39999389648438,175.1999969482422,1420311,2021-05-10
2021-05-17,180.39999389648438,180.39999389648438,187.75,165.1999969482422,170.8000030517578,2011682,2021-05-17
2021-05-24,188.4499969482422,188.4499969482422,207.75,178.0,180.0,3449644,2021-05-24
2021-05-31,198.9499969482422,198.9499969482422,203.0,181.64999389648438,188.89999389648438,1163753,2021-05-31
2021-06-07,218.89999389648438,218.89999389648438,229.0,194.89999389648438,202.64999389648438,3382650,2021-06-07
2021-06-14,201.4499969482422,201.4499969482422,222.6999969482422,195.9499969482422,218.89999389648438,1775966,2021-06-14
2021-06-21,209.35000610351562,209.35000610351562,218.8000030517578,196.60000610351562,199.0,1490559,2021-06-21
2021-06-28,205.10000610351562,205.10000610351562,217.0,204.14999389648438,210.60000610351562,949822,2021-06-28
2021-07-05,211.0500030517578,211.0500030517578,223.9499969482422,205.0,206.3000030517578,2355211,2021-07-05
2021-07-12,218.5500030517578,218.5500030517578,236.9499969482422,212.60000610351562,212.85000610351562,3155342,2021-07-12
2021-07-19,223.5500030517578,223.5500030517578,232.64999389648438,205.60000610351562,216.0,1301780,2021-07-19
2021-07-26,227.9499969482422,227.9499969482422,249.75,219.0,221.89999389648438,2909154,2021-07-26
2021-08-02,223.5,223.5,233.9499969482422,216.1999969482422,229.5,1150399,2021-08-02
2021-08-09,200.14999389648438,200.14999389648438,232.5,185.10000610351562,227.25,1752132,2021-08-09
2021-08-16,189.25,189.25,200.9499969482422,185.10000610351562,200.9499969482422,637974,2021-08-16
2021-08-23,197.8000030517578,197.8000030517578,223.0,174.64999389648438,191.0,1476086,2021-08-23
2021-08-30,198.5500030517578,198.5500030517578,207.89999389648438,194.60000610351562,199.1999969482422,784941,2021-08-30
2021-09-06,198.14999389648438,198.14999389648438,208.85000610351562,196.6999969482422,198.5500030517578,504075,2021-09-06
2021-09-13,198.3000030517578,198.3000030517578,211.6999969482422,196.0,198.89999389648438,798844,2021-09-13
