Date,Adj Close_HARRMALAYA.NS,Close_HARRMALAYA.NS,High_HARRMALAYA.NS,Low_HARRMALAYA.NS,Open_HARRMALAYA.NS,Volume_HARRMALAYA.NS,Date
2021-09-20,194.14999389648438,194.14999389648438,200.6999969482422,190.0500030517578,196.0,434662,2021-09-20
2021-09-27,189.39999389648438,189.39999389648438,193.1999969482422,177.35000610351562,191.1999969482422,531963,2021-09-27
2021-10-04,191.0500030517578,191.0500030517578,198.39999389648438,186.9499969482422,190.0,588802,2021-10-04
2021-10-11,187.5500030517578,187.5500030517578,197.5,184.64999389648438,191.9499969482422,557471,2021-10-11
2021-10-18,175.64999389648438,175.64999389648438,190.0500030517578,173.1999969482422,188.8000030517578,391605,2021-10-18
2021-10-25,168.5500030517578,168.5500030517578,177.6999969482422,165.14999389648438,177.6999969482422,258008,2021-10-25
2021-11-01,176.9499969482422,176.9499969482422,181.0,165.5,169.5,188885,2021-11-01
2021-11-08,170.89999389648438,170.89999389648438,179.0,168.5,179.0,169872,2021-11-08
2021-11-15,158.8000030517578,158.8000030517578,173.8000030517578,158.0500030517578,166.5,314571,2021-11-15
2021-11-22,156.85000610351562,156.85000610351562,168.0,148.0500030517578,159.60000610351562,314100,2021-11-22
2021-11-29,163.89999389648438,163.89999389648438,168.39999389648438,148.5500030517578,153.0,195893,2021-11-29
2021-12-06,168.89999389648438,168.89999389648438,171.89999389648438,157.0,164.0,207021,2021-12-06
2021-12-13,156.0500030517578,156.0500030517578,170.5,155.60000610351562,169.0,127385,2021-12-13
2021-12-20,147.9499969482422,147.9499969482422,154.5,140.35000610351562,150.35000610351562,155999,2021-12-20
2021-12-27,157.75,157.75,160.9499969482422,145.0,148.0,213354,2021-12-27
2022-01-03,160.0,160.0,166.5500030517578,157.89999389648438,157.89999389648438,304784,2022-01-03
2022-01-10,171.89999389648438,171.89999389648438,175.8000030517578,158.60000610351562,160.0,513291,2022-01-10
2022-01-17,181.25,181.25,206.25,173.0,174.35000610351562,1074031,2022-01-17
2022-01-24,174.25,174.25,186.75,166.3000030517578,181.0,290339,2022-01-24
2022-01-31,178.85000610351562,178.85000610351562,182.5500030517578,171.6999969482422,177.0,279000,2022-01-31
2022-02-07,160.64999389648438,160.64999389648438,179.0,159.0500030517578,176.14999389648438,229209,2022-02-07
2022-02-14,154.89999389648438,154.89999389648438,165.0,145.35000610351562,152.10000610351562,294547,2022-02-14
2022-02-21,138.85000610351562,138.85000610351562,155.85000610351562,129.60000610351562,154.89999389648438,200009,2022-02-21
2022-02-28,135.39999389648438,135.39999389648438,144.89999389648438,133.8000030517578,136.39999389648438,176067,2022-02-28
2022-03-07,146.39999389648438,146.39999389648438,147.4499969482422,129.0500030517578,133.5,302821,2022-03-07
2022-03-14,144.9499969482422,144.9499969482422,152.35000610351562,140.35000610351562,146.89999389648438,285830,2022-03-14
2022-03-21,135.9499969482422,135.9499969482422,150.64999389648438,135.5500030517578,145.9499969482422,237424,2022-03-21
2022-03-28,137.35000610351562,137.35000610351562,140.35000610351562,131.0,139.5,385397,2022-03-28
2022-04-04,171.8000030517578,171.8000030517578,183.8000030517578,138.5,140.6999969482422,1607490,2022-04-04
2022-04-11,168.0,168.0,175.0,161.5,172.60000610351562,272162,2022-04-11
2022-04-18,177.14999389648438,177.14999389648438,184.9499969482422,158.0,166.5,924070,2022-04-18
2022-04-25,178.14999389648438,178.14999389648438,195.0,173.35000610351562,176.39999389648438,1800734,2022-04-25
2022-05-02,163.25,163.25,187.0,161.10000610351562,176.0,655746,2022-05-02
2022-05-09,146.14999389648438,146.14999389648438,164.89999389648438,136.4499969482422,163.0,631274,2022-05-09
2022-05-16,154.85000610351562,154.85000610351562,160.0,144.6999969482422,147.6999969482422,246267,2022-05-16
2022-05-23,154.89999389648438,154.89999389648438,177.89999389648438,146.14999389648438,156.25,1540606,2022-05-23
2022-05-30,154.5,154.5,165.64999389648438,152.0,155.39999389648438,382938,2022-05-30
2022-06-06,151.3000030517578,151.3000030517578,155.85000610351562,149.5,155.5,133107,2022-06-06
2022-06-13,137.9499969482422,137.9499969482422,150.5500030517578,135.5,150.5500030517578,132274,2022-06-13
2022-06-20,137.8000030517578,137.8000030517578,141.0,130.5,135.39999389648438,157332,2022-06-20
2022-06-27,140.3000030517578,140.3000030517578,149.4499969482422,137.5500030517578,139.5500030517578,203604,2022-06-27
2022-07-04,147.75,147.75,151.0,139.10000610351562,143.0500030517578,137756,2022-07-04
2022-07-11,147.4499969482422,147.4499969482422,154.10000610351562,144.0500030517578,147.10000610351562,107053,2022-07-11
2022-07-18,152.0,152.0,154.8000030517578,147.35000610351562,149.0,149575,2022-07-18
2022-07-25,157.8000030517578,157.8000030517578,160.0,149.39999389648438,153.8000030517578,372067,2022-07-25
2022-08-01,157.5500030517578,157.5500030517578,164.0,155.10000610351562,159.8000030517578,228894,2022-08-01
2022-08-08,152.0,152.0,159.25,151.0,157.89999389648438,100320,2022-08-08
2022-08-15,161.39999389648438,161.39999389648438,165.35000610351562,149.8000030517578,152.0,536438,2022-08-15
2022-08-22,167.60000610351562,167.60000610351562,170.9499969482422,155.85000610351562,160.8000030517578,738127,2022-08-22
2022-08-29,169.8000030517578,169.8000030517578,172.5500030517578,165.10000610351562,167.85000610351562,452058,2022-08-29
2022-09-05,163.6999969482422,163.6999969482422,171.89999389648438,162.4499969482422,170.0500030517578,271942,2022-09-05
2022-09-12,163.64999389648438,163.64999389648438,174.0,161.60000610351562,165.60000610351562,471118,2022-09-12
2022-09-19,150.64999389648438,150.64999389648438,169.4499969482422,150.0,165.0,351282,2022-09-19
2022-09-26,145.0,145.0,149.9499969482422,142.0500030517578,149.0,155105,2022-09-26
2022-10-03,150.0500030517578,150.0500030517578,151.0,143.14999389648438,144.0,81916,2022-10-03
2022-10-10,140.89999389648438,140.89999389648438,150.10000610351562,138.0,148.5500030517578,160709,2022-10-10
2022-10-17,137.4499969482422,137.4499969482422,142.0,137.14999389648438,138.75,91244,2022-10-17
2022-10-24,136.14999389648438,136.14999389648438,141.5,133.9499969482422,138.5,68309,2022-10-24
2022-10-31,140.4499969482422,140.4499969482422,142.64999389648438,134.4499969482422,136.89999389648438,132756,2022-10-31
2022-11-07,141.4499969482422,141.4499969482422,148.0,138.0,141.6999969482422,184758,2022-11-07
2022-11-14,138.85000610351562,138.85000610351562,142.9499969482422,137.0,141.8000030517578,139336,2022-11-14
2022-11-21,139.0,139.0,141.89999389648438,137.0,139.0,96784,2022-11-21
2022-11-28,147.85000610351562,147.85000610351562,149.9499969482422,139.14999389648438,140.60000610351562,447714,2022-11-28
2022-12-05,142.1999969482422,142.1999969482422,150.6999969482422,142.0,149.0,204565,2022-12-05
2022-12-12,140.89999389648438,140.89999389648438,144.9499969482422,140.0,142.0,104643,2022-12-12
2022-12-19,131.4499969482422,131.4499969482422,148.10000610351562,130.5,140.3000030517578,250763,2022-12-19
2022-12-26,136.0500030517578,136.0500030517578,140.0,129.9499969482422,130.10000610351562,154646,2022-12-26
2023-01-02,137.0500030517578,137.0500030517578,142.89999389648438,136.0,137.0,123604,2023-01-02
2023-01-09,136.3000030517578,136.3000030517578,142.0500030517578,134.35000610351562,137.60000610351562,221102,2023-01-09
2023-01-16,137.6999969482422,137.6999969482422,140.39999389648438,135.10000610351562,135.60000610351562,82541,2023-01-16
2023-01-23,130.89999389648438,130.89999389648438,138.5,129.0500030517578,137.85000610351562,47614,2023-01-23
2023-01-30,134.0,134.0,139.89999389648438,129.60000610351562,130.64999389648438,85020,2023-01-30
2023-02-06,133.5500030517578,133.5500030517578,137.75,132.5,134.10000610351562,76089,2023-02-06
2023-02-13,128.85000610351562,128.85000610351562,134.9499969482422,126.55000305175781,133.5500030517578,62349,2023-02-13
2023-02-20,121.6500015258789,121.6500015258789,132.64999389648438,121.25,131.35000610351562,73340,2023-02-20
2023-02-27,120.9000015258789,120.9000015258789,126.94999694824219,115.69999694824219,122.94999694824219,145134,2023-02-27
2023-03-06,124.0,124.0,133.0,120.0,122.0,164214,2023-03-06
2023-03-13,116.25,116.25,124.8499984741211,115.0,124.8499984741211,88997,2023-03-13
2023-03-20,112.4000015258789,112.4000015258789,117.5,110.5,115.0,108041,2023-03-20
2023-03-27,107.19999694824219,107.19999694824219,113.75,104.05000305175781,112.5,157407,2023-03-27
2023-04-03,114.19999694824219,114.19999694824219,116.9000015258789,107.94999694824219,107.94999694824219,82508,2023-04-03
2023-04-10,118.0999984741211,118.0999984741211,118.80000305175781,112.05000305175781,115.80000305175781,97795,2023-04-10
2023-04-17,117.55000305175781,117.55000305175781,121.80000305175781,115.5,118.0999984741211,95825,2023-04-17
2023-04-24,116.9000015258789,116.9000015258789,119.5,113.5,117.5999984741211,146550,2023-04-24
2023-05-01,116.4000015258789,116.4000015258789,120.4000015258789,115.3499984741211,116.9000015258789,87696,2023-05-01
2023-05-08,122.69999694824219,122.69999694824219,129.10000610351562,117.0,118.0,248098,2023-05-08
2023-05-15,126.1500015258789,126.1500015258789,127.9000015258789,121.69999694824219,122.5,136001,2023-05-15
2023-05-22,125.1500015258789,125.1500015258789,129.6999969482422,123.3499984741211,125.9000015258789,127304,2023-05-22
2023-05-29,119.5,119.5,125.1500015258789,118.5,125.1500015258789,133673,2023-05-29
2023-06-05,125.75,125.75,128.85000610351562,120.0,120.0,163771,2023-06-05
2023-06-12,133.35000610351562,133.35000610351562,137.4499969482422,123.5,125.75,491632,2023-06-12
2023-06-19,131.75,131.75,135.39999389648438,127.0,133.35000610351562,149790,2023-06-19
2023-06-26,140.5,140.5,142.9499969482422,130.0,132.60000610351562,453825,2023-06-26
2023-07-03,135.9499969482422,135.9499969482422,144.6999969482422,135.5,141.6999969482422,275401,2023-07-03
2023-07-10,132.9499969482422,132.9499969482422,140.0,130.0,135.9499969482422,186892,2023-07-10
2023-07-17,142.0,142.0,144.89999389648438,129.5,133.89999389648438,326174,2023-07-17
2023-07-24,137.75,137.75,146.3000030517578,136.1999969482422,144.60000610351562,185691,2023-07-24
2023-07-31,142.1999969482422,142.1999969482422,147.0,136.0500030517578,138.60000610351562,285253,2023-07-31
2023-08-07,134.5,134.5,145.0,131.5,142.1999969482422,183756,2023-08-07
2023-08-14,133.5500030517578,133.5500030517578,139.0,129.14999389648438,132.6999969482422,187592,2023-08-14
2023-08-21,136.60000610351562,136.60000610351562,140.9499969482422,133.60000610351562,133.60000610351562,182579,2023-08-21
2023-08-28,137.64999389648438,137.64999389648438,142.1999969482422,136.0,137.39999389648438,144348,2023-08-28
2023-09-04,147.6999969482422,147.6999969482422,153.89999389648438,138.14999389648438,138.14999389648438,533003,2023-09-04
2023-09-11,157.89999389648438,157.89999389648438,165.0,133.64999389648438,148.0500030517578,1156139,2023-09-11
2023-09-18,156.89999389648438,156.89999389648438,167.3000030517578,152.60000610351562,157.89999389648438,860529,2023-09-18
2023-09-25,161.3000030517578,161.3000030517578,166.9499969482422,153.5500030517578,157.0500030517578,457614,2023-09-25
2023-10-02,159.5,159.5,166.3000030517578,156.10000610351562,161.3000030517578,223830,2023-10-02
2023-10-09,155.25,155.25,159.60000610351562,150.60000610351562,155.5,190914,2023-10-09
2023-10-16,158.75,158.75,163.5,152.75,155.6999969482422,228873,2023-10-16
2023-10-23,142.6999969482422,142.6999969482422,161.0500030517578,137.10000610351562,159.89999389648438,174422,2023-10-23
2023-10-30,144.9499969482422,144.9499969482422,151.0,141.3000030517578,142.6999969482422,102952,2023-10-30
2023-11-06,144.0,144.0,148.5500030517578,141.5500030517578,148.5500030517578,73838,2023-11-06
2023-11-13,149.9499969482422,149.9499969482422,154.0,143.60000610351562,146.1999969482422,111173,2023-11-13
2023-11-20,145.8000030517578,145.8000030517578,150.75,145.5,150.0,121947,2023-11-20
2023-11-27,149.0500030517578,149.0500030517578,153.25,143.35000610351562,145.8000030517578,173045,2023-11-27
2023-12-04,151.39999389648438,151.39999389648438,157.0,148.39999389648438,150.10000610351562,270340,2023-12-04
2023-12-11,156.6999969482422,156.6999969482422,162.0,152.5500030517578,152.85000610351562,253044,2023-12-11
2023-12-18,191.25,191.25,193.8000030517578,154.14999389648438,157.0500030517578,3251638,2023-12-18
2023-12-25,173.8000030517578,173.8000030517578,191.89999389648438,173.35000610351562,191.25,632831,2023-12-25
2024-01-01,174.39999389648438,174.39999389648438,179.5,165.1999969482422,178.0,183705,2024-01-01
2024-01-08,171.60000610351562,171.60000610351562,181.8000030517578,167.89999389648438,174.39999389648438,107211,2024-01-08
2024-01-15,166.89999389648438,166.89999389648438,176.9499969482422,165.0,171.39999389648438,105038,2024-01-15
2024-01-22,171.89999389648438,171.89999389648438,174.5,166.10000610351562,166.89999389648438,51393,2024-01-22
2024-01-29,180.5,180.5,193.4499969482422,170.0,176.85000610351562,412115,2024-01-29
2024-02-05,168.75,168.75,183.39999389648438,162.0,183.0,228610,2024-02-05
2024-02-12,165.39999389648438,165.39999389648438,170.0,149.64999389648438,168.14999389648438,231278,2024-02-12
2024-02-19,203.35000610351562,203.35000610351562,216.0,164.9499969482422,169.0,1818933,2024-02-19
2024-02-26,187.0500030517578,187.0500030517578,207.8000030517578,177.3000030517578,203.0,296407,2024-02-26
2024-03-04,175.5500030517578,175.5500030517578,192.89999389648438,172.3000030517578,192.0,159889,2024-03-04
2024-03-11,158.64999389648438,158.64999389648438,177.89999389648438,153.1999969482422,175.5500030517578,319099,2024-03-11
2024-03-18,168.75,168.75,183.1999969482422,160.85000610351562,161.89999389648438,238159,2024-03-18
2024-03-25,164.89999389648438,164.89999389648438,173.0500030517578,160.14999389648438,164.1999969482422,122480,2024-03-25
2024-04-01,173.75,173.75,177.85000610351562,165.5500030517578,169.5,131019,2024-04-01
2024-04-08,168.3000030517578,168.3000030517578,177.5,167.10000610351562,174.60000610351562,107342,2024-04-08
2024-04-15,164.8000030517578,164.8000030517578,169.0,160.9499969482422,168.0,102111,2024-04-15
2024-04-22,171.5,171.5,179.5,156.8000030517578,165.6999969482422,329132,2024-04-22
2024-04-29,183.3000030517578,183.3000030517578,205.0,173.0500030517578,174.0,706812,2024-04-29
2024-05-06,178.25,178.25,186.89999389648438,173.35000610351562,183.5,171741,2024-05-06
2024-05-13,186.75,186.75,195.0,173.1999969482422,179.0,221562,2024-05-13
2024-05-20,184.25,184.25,191.89999389648438,183.0500030517578,186.75,135222,2024-05-20
2024-05-27,168.4499969482422,168.4499969482422,180.0,167.35000610351562,180.0,132185,2024-05-27
2024-06-03,168.89999389648438,168.89999389648438,175.4499969482422,151.85000610351562,175.0,218218,2024-06-03
2024-06-10,202.97999572753906,202.97999572753906,220.0,167.5500030517578,172.9499969482422,1805725,2024-06-10
2024-06-17,200.35000610351562,200.35000610351562,220.0,196.5,202.97999572753906,815316,2024-06-17
2024-06-24,201.94000244140625,201.94000244140625,212.0,195.0,198.89999389648438,359836,2024-06-24
2024-07-01,219.0800018310547,219.0800018310547,225.99000549316406,200.0,202.6999969482422,1211200,2024-07-01
2024-07-08,231.85000610351562,231.85000610351562,258.42999267578125,211.75,218.0,3797808,2024-07-08
2024-07-15,229.4199981689453,229.4199981689453,255.0,227.0500030517578,235.0,601113,2024-07-15
2024-07-22,235.13999938964844,235.13999938964844,238.39999389648438,209.02999877929688,224.39999389648438,377985,2024-07-22
2024-07-29,246.5,246.5,265.1000061035156,230.80999755859375,236.39999389648438,1076858,2024-07-29
2024-08-05,246.5,246.5,255.0,222.0,240.85000610351562,501083,2024-08-05
2024-08-12,225.39999389648438,225.39999389648438,248.5500030517578,212.39999389648438,244.89999389648438,353366,2024-08-12
2024-08-19,235.6999969482422,235.6999969482422,245.0,220.14999389648438,226.0,282737,2024-08-19
2024-08-26,226.0500030517578,226.0500030517578,243.1999969482422,223.60000610351562,234.0,217297,2024-08-26
2024-09-02,240.61000061035156,240.61000061035156,251.08999633789062,221.0,227.1999969482422,511743,2024-09-02
2024-09-09,232.80999755859375,232.80999755859375,242.39999389648438,223.3000030517578,238.39999389648438,114413,2024-09-09
2024-09-16,229.91000366210938,229.91000366210938,239.9499969482422,223.24000549316406,232.80999755859375,103645,2024-09-16
2024-09-23,240.7899932861328,240.7899932861328,245.0,226.0,234.9499969482422,109628,2024-09-23
2024-09-30,250.5500030517578,250.5500030517578,268.70001220703125,232.3000030517578,240.8000030517578,315705,2024-09-30
2024-10-07,275.79998779296875,275.79998779296875,291.8999938964844,238.0500030517578,252.0,340372,2024-10-07
2024-10-14,300.0,300.0,301.70001220703125,274.04998779296875,274.04998779296875,224919,2024-10-14
2024-10-21,271.25,271.25,300.0,271.25,294.0,35842,2024-10-21
2024-10-28,276.5,276.5,276.5,260.0,265.8500061035156,34824,2024-10-28
2024-11-04,291.54998779296875,291.54998779296875,291.54998779296875,273.95001220703125,278.0,45909,2024-11-04
2024-11-11,269.0,269.0,285.75,269.0,285.75,15221,2024-11-11
2024-11-18,255.5,255.5,263.6499938964844,251.89999389648438,263.6499938964844,24620,2024-11-18
2024-11-25,251.10000610351562,251.10000610351562,264.70001220703125,242.0,248.10000610351562,69527,2024-11-25
2024-12-02,258.3999938964844,258.3999938964844,266.0,250.0,251.10000610351562,43370,2024-12-02
2024-12-09,292.6499938964844,292.6499938964844,296.79998779296875,254.0,254.0,94582,2024-12-09
2024-12-16,304.3999938964844,304.3999938964844,341.8500061035156,296.04998779296875,296.04998779296875,678644,2024-12-16
2024-12-23,313.20001220703125,313.20001220703125,329.8500061035156,303.29998779296875,314.95001220703125,189274,2024-12-23
2024-12-30,332.1000061035156,332.1000061035156,337.8999938964844,310.1000061035156,314.1499938964844,295934,2024-12-30
2025-01-06,284.45001220703125,284.45001220703125,335.45001220703125,276.70001220703125,335.45001220703125,284296,2025-01-06
2025-01-13,277.54998779296875,277.54998779296875,299.0,258.8999938964844,282.45001220703125,433223,2025-01-13
2025-01-20,258.6499938964844,258.6499938964844,285.0,255.60000610351562,276.6000061035156,193726,2025-01-20
2025-01-27,255.0,255.0,269.75,233.1999969482422,257.75,118910,2025-01-27
2025-02-03,247.85000610351562,247.85000610351562,268.8900146484375,244.00999450683594,249.2100067138672,102257,2025-02-03
2025-02-10,210.24000549316406,210.24000549316406,249.61000061035156,207.0,249.61000061035156,218888,2025-02-10
2025-02-17,204.6699981689453,204.6699981689453,214.1999969482422,189.85000610351562,213.9499969482422,98928,2025-02-17
2025-02-24,180.32000732421875,180.32000732421875,203.00999450683594,177.97999572753906,203.0,116173,2025-02-24
2025-03-03,196.7100067138672,196.7100067138672,205.19000244140625,170.52999877929688,176.0,152427,2025-03-03
2025-03-10,192.3699951171875,192.3699951171875,197.0,180.52999877929688,192.00999450683594,104676,2025-03-10
2025-03-17,209.8800048828125,209.8800048828125,214.0,185.10000610351562,194.63999938964844,219699,2025-03-17
2025-03-24,204.3699951171875,204.3699951171875,215.5,197.72000122070312,214.99000549316406,258888,2025-03-24
2025-03-31,198.35000610351562,198.35000610351562,207.60000610351562,195.10000610351562,204.3699951171875,88772,2025-03-31
2025-04-07,193.32000732421875,193.32000732421875,197.5,171.0,171.0,44303,2025-04-07
2025-04-14,198.25999450683594,198.25999450683594,203.13999938964844,195.50999450683594,198.14999389648438,36664,2025-04-14
2025-04-21,196.88999938964844,196.88999938964844,215.89999389648438,192.5,202.72000122070312,184248,2025-04-21
2025-04-28,193.94000244140625,193.94000244140625,203.0,192.9199981689453,196.10000610351562,47671,2025-04-28
2025-05-05,198.33999633789062,198.33999633789062,206.6300048828125,190.39999389648438,194.0,65868,2025-05-05
2025-05-12,208.88999938964844,208.88999938964844,213.16000366210938,199.8300018310547,203.3000030517578,96020,2025-05-12
2025-05-19,207.58999633789062,207.58999633789062,230.0,201.5500030517578,208.88999938964844,185880,2025-05-19
2025-05-26,207.3300018310547,207.3300018310547,213.0,205.32000732421875,212.1999969482422,74576,2025-05-26
2025-06-02,226.05999755859375,226.05999755859375,236.89999389648438,207.10000610351562,207.10000610351562,358728,2025-06-02
2025-06-09,215.64999389648438,215.64999389648438,236.5,210.0,232.88999938964844,198378,2025-06-09
2025-06-16,211.89999389648438,211.89999389648438,218.4499969482422,203.00999450683594,217.8000030517578,111016,2025-06-16
2025-06-23,215.3300018310547,215.3300018310547,217.30999755859375,207.22000122070312,211.0,46335,2025-06-23
2025-06-30,215.11000061035156,215.11000061035156,221.0,211.00999450683594,217.0,73078,2025-06-30
2025-07-07,208.6699981689453,208.6699981689453,224.0,207.36000061035156,218.5,74001,2025-07-07
2025-07-14,211.75999450683594,211.75999450683594,214.3000030517578,207.11000061035156,207.11000061035156,16700,2025-07-14
