Date,Adj Close_CARTRADE.NS,Close_CARTRADE.NS,High_CARTRADE.NS,Low_CARTRADE.NS,Open_CARTRADE.NS,Volume_CARTRADE.NS,Date
2021-08-16,1501.050048828125,1501.050048828125,1618.0,1475.0,1599.800048828125,11573178,2021-08-16
2021-08-23,1435.4000244140625,1435.4000244140625,1596.0,1414.8499755859375,1526.0,4068661,2021-08-23
2021-08-30,1466.0,1466.0,1550.0,1423.1500244140625,1439.949951171875,1606088,2021-08-30
2021-09-06,1490.550048828125,1490.550048828125,1508.8499755859375,1451.0,1464.0999755859375,916032,2021-09-06
2021-09-13,1451.25,1451.25,1544.0,1449.5,1485.199951171875,1870252,2021-09-13
2021-09-20,1325.5999755859375,1325.5999755859375,1452.25,1320.199951171875,1446.0,1142566,2021-09-20
2021-09-27,1289.25,1289.25,1345.0,1211.0,1345.0,2697460,2021-09-27
2021-10-04,1412.300048828125,1412.300048828125,1462.0,1286.3499755859375,1298.0,1953762,2021-10-04
2021-10-11,1350.300048828125,1350.300048828125,1440.0,1346.0,1423.5999755859375,799438,2021-10-11
2021-10-18,1259.550048828125,1259.550048828125,1361.6500244140625,1253.0,1360.0,522621,2021-10-18
2021-10-25,1197.5,1197.5,1278.0,1155.0,1278.0,464744,2021-10-25
2021-11-01,1166.449951171875,1166.449951171875,1213.0,1146.0,1199.9000244140625,373048,2021-11-01
2021-11-08,1116.5999755859375,1116.5999755859375,1174.5999755859375,1115.0,1170.25,527068,2021-11-08
2021-11-15,1049.050048828125,1049.050048828125,1150.0,1042.0999755859375,1118.0999755859375,665184,2021-11-15
2021-11-22,969.9500122070312,969.9500122070312,1048.699951171875,965.0999755859375,1045.0,1890781,2021-11-22
2021-11-29,924.2999877929688,924.2999877929688,970.0,896.2999877929688,970.0,1715805,2021-11-29
2021-12-06,968.7000122070312,968.7000122070312,977.9000244140625,880.0,923.5499877929688,1564401,2021-12-06
2021-12-13,903.5499877929688,903.5499877929688,982.75,883.25,974.0,1148237,2021-12-13
2021-12-20,827.5999755859375,827.5999755859375,901.4000244140625,825.2000122070312,892.0,924385,2021-12-20
2021-12-27,848.2999877929688,848.2999877929688,913.0,805.0,826.0,1289585,2021-12-27
2022-01-03,823.7999877929688,823.7999877929688,867.6500244140625,814.9500122070312,846.5,886605,2022-01-03
2022-01-10,844.8499755859375,844.8499755859375,853.25,811.9000244140625,833.0,844192,2022-01-10
2022-01-17,812.7000122070312,812.7000122070312,890.9500122070312,808.0,844.75,790834,2022-01-17
2022-01-24,653.25,653.25,820.0,650.0,812.75,1707878,2022-01-24
2022-01-31,727.2999877929688,727.2999877929688,768.4500122070312,661.0499877929688,664.9500122070312,2023686,2022-01-31
2022-02-07,646.75,646.75,733.0,642.5,728.0,886600,2022-02-07
2022-02-14,588.0,588.0,654.9500122070312,583.0,622.0,1165476,2022-02-14
2022-02-21,521.9500122070312,521.9500122070312,586.0,460.0,580.0,2747249,2022-02-21
2022-02-28,542.5499877929688,542.5499877929688,583.9000244140625,506.1000061035156,510.0,2036496,2022-02-28
2022-03-07,566.0499877929688,566.0499877929688,594.0,493.0,522.0,1791993,2022-03-07
2022-03-14,576.6500244140625,576.6500244140625,597.0,536.0,559.0,948761,2022-03-14
2022-03-21,619.0,619.0,647.4500122070312,556.0,580.3499755859375,1847200,2022-03-21
2022-03-28,622.2000122070312,622.2000122070312,627.9000244140625,572.5999755859375,619.0499877929688,1450271,2022-03-28
2022-04-04,620.0499877929688,620.0499877929688,661.8499755859375,615.0,622.0,844688,2022-04-04
2022-04-11,623.0,623.0,637.0,603.5,619.5999755859375,547818,2022-04-11
2022-04-18,652.9500122070312,652.9500122070312,659.7999877929688,601.5499877929688,618.0,849040,2022-04-18
2022-04-25,649.8499755859375,649.8499755859375,684.4000244140625,603.0499877929688,645.5499877929688,1224908,2022-04-25
2022-05-02,647.6500244140625,647.6500244140625,694.75,573.5499877929688,635.0,1535638,2022-05-02
2022-05-09,592.5999755859375,592.5999755859375,641.25,585.0,632.3499755859375,659555,2022-05-09
2022-05-16,579.5499877929688,579.5499877929688,603.9000244140625,552.2000122070312,595.0,422953,2022-05-16
2022-05-23,618.5,618.5,629.7000122070312,570.0,575.7000122070312,588828,2022-05-23
2022-05-30,613.9000244140625,613.9000244140625,644.9500122070312,610.0,620.0,321772,2022-05-30
2022-06-06,697.3499755859375,697.3499755859375,723.75,605.0,611.0,2011486,2022-06-06
2022-06-13,571.75,571.75,692.9500122070312,555.0,675.0,767368,2022-06-13
2022-06-20,574.8499755859375,574.8499755859375,597.25,545.1500244140625,569.0,380012,2022-06-20
2022-06-27,590.9000244140625,590.9000244140625,602.3499755859375,570.0499877929688,580.0,624932,2022-06-27
2022-07-04,673.4000244140625,673.4000244140625,689.9000244140625,573.0,590.0,1196069,2022-07-04
2022-07-11,640.0,640.0,689.0999755859375,636.0,669.0,337379,2022-07-11
2022-07-18,691.9500122070312,691.9500122070312,699.0,643.0999755859375,643.0999755859375,376610,2022-07-18
