Date,Adj Close_XCHANGING.NS,Close_XCHANGING.NS,High_XCHANGING.NS,Low_XCHANGING.NS,Open_XCHANGING.NS,Volume_XCHANGING.NS,Date
2020-07-13,36.26643371582031,46.45000076293945,48.45000076293945,43.20000076293945,44.04999923706055,248092,2020-07-13
2020-07-20,35.212398529052734,45.099998474121094,48.0,43.0,46.79999923706055,161521,2020-07-20
2020-07-27,37.63277053833008,48.20000076293945,49.75,44.599998474121094,45.099998474121094,298590,2020-07-27
2020-08-03,50.82765579223633,65.0999984741211,68.6500015258789,47.400001525878906,48.20000076293945,1762515,2020-08-03
2020-08-10,52.623416900634766,67.4000015258789,69.9000015258789,64.0999984741211,66.44999694824219,2061847,2020-08-10
2020-08-17,55.31704330444336,70.8499984741211,73.4000015258789,67.5,67.75,1283407,2020-08-17
2020-08-24,57.69837188720703,73.9000015258789,78.69999694824219,70.69999694824219,70.69999694824219,2445520,2020-08-24
2020-08-31,56.29299545288086,72.0999984741211,76.5999984741211,71.0999984741211,74.05000305175781,563789,2020-08-31
2020-09-07,60.82142639160156,77.9000015258789,79.69999694824219,72.0,72.44999694824219,835654,2020-09-07
2020-09-14,65.77926635742188,84.25,87.5999984741211,77.0999984741211,77.9000015258789,1008601,2020-09-14
2020-09-21,72.25960540771484,92.55000305175781,93.19999694824219,78.05000305175781,84.25,1652013,2020-09-21
2020-09-28,74.5628433227539,95.5,98.9000015258789,88.80000305175781,92.5999984741211,992294,2020-09-28
2020-10-05,68.35578918457031,87.55000305175781,97.3499984741211,84.0999984741211,96.75,714375,2020-10-05
2020-10-12,72.33767700195312,92.6500015258789,93.9000015258789,84.1500015258789,87.69999694824219,477790,2020-10-12
2020-10-19,69.17558288574219,88.5999984741211,93.80000305175781,87.19999694824219,93.80000305175781,155579,2020-10-19
2020-10-26,55.94165802001953,71.6500015258789,86.9000015258789,67.5,86.9000015258789,2034657,2020-10-26
2020-11-02,55.160892486572266,70.6500015258789,72.6500015258789,69.0,72.6500015258789,223089,2020-11-02
2020-11-09,55.31704330444336,70.8499984741211,72.4000015258789,67.25,71.44999694824219,592309,2020-11-09
2020-11-16,57.97163772583008,74.25,77.0,69.05000305175781,69.6500015258789,721967,2020-11-16
2020-11-23,66.16964721679688,84.75,86.0,73.30000305175781,74.94999694824219,1803336,2020-11-23
2020-11-30,61.758338928222656,79.0999984741211,85.80000305175781,75.0999984741211,84.75,1151416,2020-11-30
2020-12-07,63.2027473449707,80.94999694824219,83.94999694824219,77.6500015258789,80.5999984741211,576233,2020-12-07
2020-12-14,67.5359878540039,86.5,87.69999694824219,78.0999984741211,81.8499984741211,2694166,2020-12-14
2020-12-21,68.39482116699219,87.5999984741211,89.0,75.0999984741211,87.0,3196930,2020-12-21
2020-12-28,68.59001159667969,87.8499984741211,92.0,83.0,88.0,3615847,2020-12-28
2021-01-04,68.00444030761719,87.0999984741211,89.6500015258789,85.0,89.0,1583806,2021-01-04
2021-01-11,70.8542251586914,90.75,92.69999694824219,84.30000305175781,88.0,1264163,2021-01-11
2021-01-18,65.62311553955078,84.05000305175781,96.0,81.80000305175781,92.5,3599601,2021-01-18
2021-01-25,63.94447708129883,81.9000015258789,84.75,79.30000305175781,84.5,817001,2021-01-25
2021-02-01,59.88450241088867,76.69999694824219,87.0,76.0,86.0,1212883,2021-02-01
2021-02-08,63.78831481933594,81.69999694824219,83.9000015258789,71.0999984741211,76.0,2738805,2021-02-08
2021-02-15,55.04377746582031,70.5,85.25,66.0999984741211,82.0999984741211,3762586,2021-02-15
2021-02-22,52.93572235107422,67.80000305175781,71.0,67.5,71.0,760184,2021-02-22
2021-03-01,56.136844635009766,71.9000015258789,74.9000015258789,67.4000015258789,70.0,1457501,2021-03-01
2021-03-08,54.692440032958984,70.05000305175781,73.1500015258789,69.19999694824219,72.9000015258789,564212,2021-03-08
2021-03-15,53.208988189697266,68.1500015258789,73.9000015258789,65.05000305175781,70.94999694824219,869464,2021-03-15
2021-03-22,51.218040466308594,65.5999984741211,69.8499984741211,61.400001525878906,69.8499984741211,793062,2021-03-22
2021-03-29,51.998802185058594,66.5999984741211,67.80000305175781,60.150001525878906,65.5999984741211,469256,2021-03-29
2021-04-05,52.037841796875,66.6500015258789,69.80000305175781,64.9000015258789,67.19999694824219,529048,2021-04-05
2021-04-12,49.1099853515625,62.900001525878906,66.6500015258789,61.400001525878906,66.6500015258789,269566,2021-04-12
2021-04-19,48.79767608642578,62.5,64.3499984741211,60.04999923706055,61.54999923706055,334394,2021-04-19
