Date,Adj Close_KRSNAA.NS,Close_KRSNAA.NS,High_KRSNAA.NS,Low_KRSNAA.NS,Open_KRSNAA.NS,Volume_KRSNAA.NS,Date
2021-08-16,915.6142578125,926.9000244140625,1099.699951171875,909.0499877929688,1005.5499877929688,11537660,2021-08-16
2021-08-23,903.6121826171875,914.75,933.9500122070312,862.3499755859375,925.0,1456134,2021-08-23
2021-08-30,914.7251586914062,926.0,967.0,908.2999877929688,914.75,798852,2021-08-30
2021-09-06,885.7325439453125,896.6500244140625,937.0,893.0,929.9000244140625,283520,2021-09-06
2021-09-13,830.7107543945312,840.9500122070312,895.5,837.1500244140625,895.5,997844,2021-09-13
2021-09-20,785.3695678710938,795.0499877929688,838.5999755859375,767.8499755859375,833.0,851705,2021-09-20
2021-09-27,752.2774658203125,761.5499877929688,800.0,759.5,797.0,504420,2021-09-27
2021-10-04,805.7681884765625,815.7000122070312,823.0,748.6500244140625,774.0,1171729,2021-10-04
2021-10-11,744.3255004882812,753.5,836.7999877929688,651.2000122070312,824.7000122070312,1251434,2021-10-11
2021-10-18,691.773193359375,700.2999877929688,764.6500244140625,690.0,752.0,823516,2021-10-18
2021-10-25,662.9781494140625,671.1500244140625,719.0,626.0,715.2999877929688,518841,2021-10-25
2021-11-01,664.0648193359375,672.25,689.4000244140625,656.2000122070312,671.1500244140625,161343,2021-11-01
2021-11-08,681.0553588867188,689.4500122070312,711.0999755859375,666.2999877929688,673.5,299122,2021-11-08
2021-11-15,641.4930419921875,649.4000244140625,691.7000122070312,648.0499877929688,690.0,267653,2021-11-15
2021-11-22,699.9227905273438,708.5499877929688,747.9500122070312,628.0,670.0,628974,2021-11-22
2021-11-29,702.095947265625,710.75,743.0,680.7000122070312,743.0,424558,2021-11-29
2021-12-06,694.1934204101562,702.75,790.0,699.1500244140625,728.0,1010142,2021-12-06
2021-12-13,651.9639282226562,660.0,712.25,653.0,710.0,288937,2021-12-13
2021-12-20,637.5416870117188,645.4000244140625,682.9500122070312,629.5499877929688,665.0,474645,2021-12-20
2021-12-27,728.470947265625,737.4500122070312,767.0,640.0999755859375,642.0,1369434,2021-12-27
2022-01-03,746.6468505859375,755.8499755859375,796.0,730.7999877929688,760.0,726618,2022-01-03
2022-01-10,764.5264892578125,773.9500122070312,793.0,758.7000122070312,770.0,357105,2022-01-10
2022-01-17,677.9931030273438,686.3499755859375,774.0,678.0999755859375,774.0,237569,2022-01-17
2022-01-24,669.6954345703125,677.9500122070312,719.9500122070312,645.0,686.3499755859375,183531,2022-01-24
2022-01-31,661.6939697265625,669.8499755859375,689.0,643.0,688.7999877929688,658129,2022-01-31
2022-02-07,634.8746337890625,642.7000122070312,677.3499755859375,638.0,670.5999755859375,307288,2022-02-07
2022-02-14,595.6085815429688,602.9500122070312,647.0499877929688,596.0,635.0,410065,2022-02-14
2022-02-21,539.1050415039062,545.75,615.0,533.0499877929688,597.0,680237,2022-02-21
2022-02-28,545.4765014648438,552.2000122070312,603.0,538.0,545.2000122070312,349592,2022-02-28
2022-03-07,541.3770141601562,548.0499877929688,561.5999755859375,534.9000244140625,540.0,413364,2022-03-07
2022-03-14,535.6969604492188,542.2999877929688,554.0,533.1500244140625,549.0,445567,2022-03-14
2022-03-21,502.9012756347656,509.1000061035156,553.25,503.1499938964844,553.25,367099,2022-03-21
2022-03-28,521.7192993164062,528.1500244140625,529.2999877929688,480.0,510.0,969285,2022-03-28
2022-04-04,543.1550903320312,549.8499755859375,560.0,532.8499755859375,533.5,808380,2022-04-04
2022-04-11,536.3885498046875,543.0,556.7000122070312,531.2999877929688,549.8499755859375,253540,2022-04-11
2022-04-18,584.6436767578125,591.8499755859375,635.0,535.0999755859375,540.7999877929688,1174187,2022-04-18
2022-04-25,601.0416259765625,608.4500122070312,655.0,585.1500244140625,589.9000244140625,964158,2022-04-25
2022-05-02,553.8729858398438,560.7000122070312,619.9000244140625,551.2000122070312,600.0,463325,2022-05-02
2022-05-09,520.6820678710938,527.0999755859375,589.0,519.0,550.0,479438,2022-05-09
2022-05-16,539.1544189453125,545.7999877929688,564.9500122070312,513.0499877929688,535.0,281779,2022-05-16
2022-05-23,516.4838256835938,522.8499755859375,568.2999877929688,500.20001220703125,551.0,195917,2022-05-23
2022-05-30,568.8385009765625,575.8499755859375,600.0499877929688,512.9500122070312,549.0,500042,2022-05-30
2022-06-06,561.4793090820312,568.4000244140625,589.5,546.5,584.5,189800,2022-06-06
2022-06-13,528.9798583984375,535.5,565.0,512.7999877929688,565.0,146952,2022-06-13
2022-06-20,514.3600463867188,520.7000122070312,542.7999877929688,500.0,534.0499877929688,168072,2022-06-20
