Date,Adj Close_NATHBIOGEN.NS,Close_NATHBIOGEN.NS,High_NATHBIOGEN.NS,Low_NATHBIOGEN.NS,Open_NATHBIOGEN.NS,Volume_NATHBIOGEN.NS,Date
2020-07-13,319.22869873046875,331.6499938964844,356.0,328.0,351.95001220703125,46765,2020-07-13
2020-07-20,335.928955078125,349.0,381.79998779296875,330.04998779296875,331.5,207390,2020-07-20
2020-07-27,321.49072265625,334.0,353.29998779296875,327.1000061035156,353.29998779296875,64896,2020-07-27
2020-08-03,384.1043701171875,399.04998779296875,416.0,340.0,340.0,710552,2020-08-03
2020-08-10,316.2448425292969,328.54998779296875,409.95001220703125,321.0,390.0,970090,2020-08-10
2020-08-17,317.6886291503906,330.04998779296875,344.8500061035156,314.5,324.0,474774,2020-08-17
2020-08-24,309.50701904296875,321.54998779296875,352.79998779296875,320.1499938964844,333.1499938964844,465431,2020-08-24
2020-08-31,281.737548828125,292.70001220703125,326.8999938964844,263.70001220703125,325.75,223983,2020-08-31
2020-09-07,267.0587158203125,277.45001220703125,295.1499938964844,221.1999969482422,290.0,195986,2020-09-07
2020-09-14,267.6361999511719,278.04998779296875,293.79998779296875,272.1000061035156,278.0,118896,2020-09-14
2020-09-21,250.4066162109375,260.1499938964844,284.8999938964844,249.85000610351562,279.5,95454,2020-09-21
2020-09-28,278.8017272949219,289.6499938964844,299.70001220703125,260.5,260.5,170720,2020-09-28
2020-10-05,309.36260986328125,321.3999938964844,337.0,289.79998779296875,291.75,712349,2020-10-05
2020-10-12,302.4322814941406,314.20001220703125,330.0,302.5,321.5,171284,2020-10-12
2020-10-19,303.92425537109375,315.75,324.3999938964844,309.0,323.0,81299,2020-10-19
2020-10-26,277.5504150390625,288.3500061035156,320.0,285.5,320.0,73146,2020-10-26
2020-11-02,269.3688049316406,279.8500061035156,291.29998779296875,270.04998779296875,288.95001220703125,101261,2020-11-02
2020-11-09,265.90362548828125,276.25,285.45001220703125,253.89999389648438,276.79998779296875,225180,2020-11-09
2020-11-16,252.62051391601562,262.45001220703125,280.0,258.0,277.0,98092,2020-11-16
2020-11-23,270.8126220703125,281.3500061035156,289.0,260.29998779296875,263.0,273338,2020-11-23
2020-11-30,285.154541015625,296.25,304.54998779296875,277.5,281.3500061035156,878626,2020-11-30
2020-12-07,281.6893615722656,292.6499938964844,307.8999938964844,267.95001220703125,296.25,1212005,2020-12-07
2020-12-14,267.347412109375,277.75,295.5,274.8500061035156,291.0,403660,2020-12-14
2020-12-21,262.4384460449219,272.6499938964844,280.04998779296875,261.29998779296875,278.0,542110,2020-12-21
2020-12-28,262.4384460449219,272.6499938964844,282.5,265.29998779296875,275.79998779296875,554211,2020-12-28
2021-01-04,279.6199035644531,290.5,295.0,240.35000610351562,273.0,1073898,2021-01-04
2021-01-11,270.4275817871094,280.95001220703125,294.04998779296875,232.39999389648438,294.0,493929,2021-01-11
2021-01-18,271.05328369140625,281.6000061035156,303.3999938964844,273.1499938964844,284.04998779296875,635184,2021-01-18
2021-01-25,258.8288879394531,268.8999938964844,287.0,266.3999938964844,281.04998779296875,74023,2021-01-25
2021-02-01,264.4598083496094,274.75,291.3999938964844,266.8999938964844,272.8999938964844,109019,2021-02-01
2021-02-08,257.72198486328125,267.75,279.70001220703125,256.5,271.0,150401,2021-02-08
2021-02-15,260.8502502441406,271.0,286.8999938964844,263.5,268.0,191657,2021-02-15
2021-02-22,255.6525115966797,265.6000061035156,277.0,264.6499938964844,274.70001220703125,69345,2021-02-22
2021-03-01,298.8227844238281,310.45001220703125,315.0,265.70001220703125,265.70001220703125,735884,2021-03-01
2021-03-08,295.74261474609375,307.25,326.20001220703125,302.6499938964844,306.1000061035156,225874,2021-03-08
2021-03-15,310.3251647949219,322.3999938964844,328.95001220703125,286.04998779296875,307.25,215580,2021-03-15
2021-03-22,289.2934875488281,300.54998779296875,340.0,291.0,328.0,242622,2021-03-22
2021-03-29,308.4482421875,320.45001220703125,323.0,292.04998779296875,300.54998779296875,51934,2021-03-29
2021-04-05,356.1905212402344,370.04998779296875,381.5,315.0,318.0,898931,2021-04-05
2021-04-12,328.6135559082031,341.3999938964844,372.1499938964844,326.6499938964844,369.0,115394,2021-04-12
2021-04-19,320.046875,332.5,348.70001220703125,310.6499938964844,339.0,111150,2021-04-19
2021-04-26,338.86468505859375,352.04998779296875,364.20001220703125,333.0,333.0,148383,2021-04-26
2021-05-03,336.60272216796875,349.70001220703125,361.1000061035156,335.0,349.1000061035156,133525,2021-05-03
2021-05-10,420.2480163574219,436.6000061035156,465.95001220703125,342.70001220703125,365.0,1499639,2021-05-10
2021-05-17,407.9755859375,423.8500061035156,451.6000061035156,405.0,442.29998779296875,326373,2021-05-17
2021-05-24,399.6014099121094,415.1499938964844,442.79998779296875,412.70001220703125,426.8999938964844,207662,2021-05-24
2021-05-31,406.0023193359375,421.79998779296875,473.95001220703125,394.79998779296875,420.0,1306987,2021-05-31
2021-06-07,393.3448486328125,408.6499938964844,429.0,406.29998779296875,421.79998779296875,275819,2021-06-07
2021-06-14,398.1575927734375,413.6499938964844,447.0,401.6000061035156,415.54998779296875,586847,2021-06-14
2021-06-21,382.1311950683594,397.0,426.79998779296875,396.0,408.20001220703125,608262,2021-06-21
2021-06-28,369.762451171875,384.1499938964844,398.0,378.75,397.0,191096,2021-06-28
2021-07-05,364.1796875,378.3500061035156,390.0,375.0,386.0,127974,2021-07-05
2021-07-12,362.44708251953125,376.54998779296875,402.0,372.0,381.3500061035156,350149,2021-07-12
2021-07-19,350.75213623046875,364.3999938964844,379.20001220703125,362.0,374.0,110820,2021-07-19
2021-07-26,352.0034484863281,365.70001220703125,373.95001220703125,356.5,364.70001220703125,164669,2021-07-26
2021-08-02,365.6235046386719,379.8500061035156,400.0,366.20001220703125,366.25,440143,2021-08-02
2021-08-09,346.8538513183594,360.3500061035156,389.95001220703125,342.1499938964844,384.04998779296875,236936,2021-08-09
2021-08-16,303.8279724121094,315.6499938964844,364.0,312.29998779296875,360.3500061035156,185458,2021-08-16
2021-08-23,306.93804931640625,317.04998779296875,331.3999938964844,310.1000061035156,319.8999938964844,129649,2021-08-23
2021-08-30,325.477294921875,336.20001220703125,367.0,307.3999938964844,318.0,1996402,2021-08-30
2021-09-06,325.0416259765625,335.75,351.45001220703125,334.1000061035156,339.8999938964844,165572,2021-09-06
2021-09-13,327.41351318359375,338.20001220703125,361.8500061035156,330.04998779296875,339.95001220703125,371216,2021-09-13
2021-09-20,315.6510009765625,326.04998779296875,338.0,322.3999938964844,329.5,156364,2021-09-20
2021-09-27,314.2956237792969,324.6499938964844,337.95001220703125,320.95001220703125,325.04998779296875,175646,2021-09-27
2021-10-04,314.7796936035156,325.1499938964844,332.8999938964844,322.6000061035156,325.0,166823,2021-10-04
2021-10-11,313.7632141113281,324.1000061035156,330.0,319.25,325.5,116671,2021-10-11
2021-10-18,295.8532409667969,305.6000061035156,328.75,303.29998779296875,325.0,183946,2021-10-18
2021-10-25,277.120361328125,286.25,308.0,275.0,304.0,114899,2021-10-25
2021-11-01,291.6903381347656,301.29998779296875,331.0,288.0,288.1499938964844,477238,2021-11-01
2021-11-08,277.3623962402344,286.5,308.0,286.0,301.3500061035156,145654,2021-11-08
2021-11-15,270.3920593261719,279.29998779296875,293.8999938964844,275.6499938964844,293.8999938964844,128261,2021-11-15
2021-11-22,254.80552673339844,263.20001220703125,281.95001220703125,261.1499938964844,279.3500061035156,155976,2021-11-22
2021-11-29,251.51394653320312,259.79998779296875,269.0,257.8999938964844,259.1000061035156,148060,2021-11-29
2021-12-06,270.1015930175781,279.0,297.79998779296875,255.0500030517578,259.8999938964844,586197,2021-12-06
2021-12-13,244.20477294921875,252.25,282.8999938964844,251.0,281.95001220703125,162124,2021-12-13
2021-12-20,240.71957397460938,248.64999389648438,259.70001220703125,237.1999969482422,252.0,155588,2021-12-20
2021-12-27,255.96725463867188,264.3999938964844,278.1000061035156,247.0500030517578,248.5500030517578,130578,2021-12-27
2022-01-03,255.09596252441406,263.5,275.0,257.75,268.6499938964844,137263,2022-01-03
2022-01-10,254.0310516357422,262.3999938964844,275.0,260.45001220703125,260.79998779296875,389928,2022-01-10
2022-01-17,256.3544921875,264.79998779296875,288.5,256.0,267.0,655050,2022-01-17
2022-01-24,251.85279846191406,260.1499938964844,273.3999938964844,250.5500030517578,263.0,210064,2022-01-24
2022-01-31,243.28506469726562,251.3000030517578,266.6499938964844,248.0,260.6499938964844,368095,2022-01-31
2022-02-07,235.92745971679688,243.6999969482422,253.8000030517578,240.0,253.0,149728,2022-02-07
2022-02-14,221.8415069580078,229.14999389648438,240.0500030517578,221.5,238.0,190410,2022-02-14
2022-02-21,197.59046936035156,204.10000610351562,231.89999389648438,191.85000610351562,228.89999389648438,186445,2022-02-21
2022-02-28,197.0095977783203,203.5,213.89999389648438,199.0500030517578,207.0,99255,2022-02-28
2022-03-07,210.32106018066406,217.25,226.0,195.25,195.25,174526,2022-03-07
2022-03-14,214.04827880859375,221.10000610351562,224.39999389648438,207.1999969482422,217.0,184384,2022-03-14
2022-03-21,226.10118103027344,233.5500030517578,238.39999389648438,222.10000610351562,223.0,762710,2022-03-21
2022-03-28,218.69517517089844,225.89999389648438,237.0,212.4499969482422,231.0,321989,2022-03-28
2022-04-04,237.86366271972656,245.6999969482422,261.8999938964844,230.14999389648438,233.0,496543,2022-04-04
2022-04-11,236.7019500732422,244.5,257.8999938964844,242.5,245.6999969482422,213865,2022-04-11
2022-04-18,234.6205291748047,242.35000610351562,250.89999389648438,233.64999389648438,233.64999389648438,224028,2022-04-18
2022-04-25,224.11656188964844,231.5,243.39999389648438,216.89999389648438,240.0,160705,2022-04-25
2022-05-02,207.4651336669922,214.3000030517578,235.89999389648438,211.5500030517578,235.89999389648438,129773,2022-05-02
2022-05-09,191.4913787841797,197.8000030517578,220.0500030517578,186.60000610351562,216.35000610351562,216867,2022-05-09
2022-05-16,196.81597900390625,203.3000030517578,206.64999389648438,195.0500030517578,201.8000030517578,179319,2022-05-16
2022-05-23,187.18331909179688,193.35000610351562,205.25,188.85000610351562,204.6999969482422,100919,2022-05-23
2022-05-30,179.4868621826172,185.39999389648438,203.89999389648438,175.6999969482422,196.5,282790,2022-05-30
2022-06-06,177.30862426757812,183.14999389648438,187.0,180.1999969482422,185.39999389648438,74087,2022-06-06
2022-06-13,158.0917510986328,163.3000030517578,201.0,160.0,179.14999389648438,146745,2022-06-13
2022-06-20,156.05870056152344,161.1999969482422,166.0,150.64999389648438,166.0,110360,2022-06-20
2022-06-27,179.58473205566406,183.14999389648438,198.6999969482422,161.1999969482422,163.0,133340,2022-06-27
2022-07-04,183.55589294433594,187.1999969482422,193.5500030517578,178.4499969482422,183.14999389648438,85552,2022-07-04
2022-07-11,180.46722412109375,184.0500030517578,196.0,182.10000610351562,186.0,64234,2022-07-11
2022-07-18,193.41026306152344,197.25,211.39999389648438,185.10000610351562,185.10000610351562,2299304,2022-07-18
2022-07-25,181.7909393310547,185.39999389648438,197.9499969482422,176.8000030517578,197.9499969482422,125167,2022-07-25
2022-08-01,172.37782287597656,175.8000030517578,190.0,174.5,186.0,162133,2022-08-01
2022-08-08,174.33888244628906,177.8000030517578,183.6999969482422,173.25,174.0,62711,2022-08-08
2022-08-15,172.32879638671875,175.75,185.0,174.0,177.8000030517578,253299,2022-08-15
2022-08-22,191.5962677001953,195.39999389648438,199.0,170.0,175.10000610351562,1219156,2022-08-22
2022-08-29,173.11322021484375,176.5500030517578,205.0,175.60000610351562,190.0,535165,2022-08-29
2022-09-05,174.14279174804688,177.60000610351562,185.6999969482422,174.4499969482422,177.85000610351562,229980,2022-09-05
2022-09-12,174.19180297851562,177.64999389648438,184.89999389648438,175.0,179.0,204811,2022-09-12
2022-09-19,161.9351348876953,165.14999389648438,178.25,164.0,178.0,108639,2022-09-19
2022-09-26,155.80679321289062,158.89999389648438,167.3000030517578,155.39999389648438,165.14999389648438,86795,2022-09-26
2022-10-03,165.46505737304688,168.75,172.0,156.0,160.0,100085,2022-10-03
2022-10-10,157.13052368164062,160.25,167.5,156.10000610351562,164.0,67791,2022-10-10
2022-10-17,159.3857421875,162.5500030517578,169.9499969482422,157.0,160.0,127279,2022-10-17
2022-10-24,159.43478393554688,162.60000610351562,165.0,159.10000610351562,161.75,55004,2022-10-24
2022-10-31,168.4066619873047,171.75,174.4499969482422,160.0,163.0,107238,2022-10-31
2022-11-07,160.80752563476562,164.0,175.60000610351562,161.3000030517578,175.60000610351562,71757,2022-11-07
2022-11-14,156.248046875,159.35000610351562,164.6999969482422,154.0,163.4499969482422,101872,2022-11-14
2022-11-21,156.9834442138672,160.10000610351562,167.64999389648438,142.0,159.4499969482422,450549,2022-11-21
2022-11-28,165.955322265625,169.25,174.5500030517578,159.10000610351562,160.89999389648438,323092,2022-11-28
2022-12-05,172.77003479003906,176.1999969482422,185.14999389648438,166.10000610351562,169.25,375305,2022-12-05
2022-12-12,171.6914520263672,175.10000610351562,185.0,172.0,177.0500030517578,189252,2022-12-12
2022-12-19,149.82554626464844,152.8000030517578,176.85000610351562,150.0,174.5,175914,2022-12-19
2022-12-26,158.40521240234375,161.5500030517578,162.60000610351562,151.8000030517578,158.60000610351562,120243,2022-12-26
2023-01-02,155.12042236328125,158.1999969482422,165.5500030517578,156.5500030517578,163.0,74423,2023-01-02
2023-01-09,155.80679321289062,158.89999389648438,163.5500030517578,155.3000030517578,158.0,74437,2023-01-09
2023-01-16,156.8363494873047,159.9499969482422,163.0,157.75,158.89999389648438,67206,2023-01-16
2023-01-23,145.90341186523438,148.8000030517578,163.14999389648438,144.3000030517578,161.85000610351562,78900,2023-01-23
2023-01-30,141.09878540039062,143.89999389648438,161.0,128.85000610351562,151.60000610351562,269418,2023-01-30
2023-02-06,155.65972900390625,158.75,160.0,141.8000030517578,145.3000030517578,124762,2023-02-06
2023-02-13,141.44198608398438,144.25,162.89999389648438,141.3000030517578,162.89999389648438,158822,2023-02-13
2023-02-20,142.91278076171875,145.75,149.4499969482422,140.89999389648438,144.3000030517578,317565,2023-02-20
2023-02-27,143.9913787841797,146.85000610351562,150.0,142.5,150.0,237316,2023-02-27
2023-03-06,146.58978271484375,149.5,150.8000030517578,147.0,150.0,72540,2023-03-06
2023-03-13,144.4326171875,147.3000030517578,152.0,143.64999389648438,152.0,164345,2023-03-13
2023-03-20,138.50038146972656,141.25,152.89999389648438,138.3000030517578,151.0500030517578,169281,2023-03-20
2023-03-27,138.50038146972656,141.25,148.89999389648438,138.0500030517578,145.39999389648438,112629,2023-03-27
2023-04-03,146.68785095214844,149.60000610351562,150.8000030517578,141.25,141.25,60326,2023-04-03
2023-04-10,150.1197052001953,153.10000610351562,158.60000610351562,148.5500030517578,149.60000610351562,80679,2023-04-10
2023-04-17,165.07284545898438,168.35000610351562,169.39999389648438,150.39999389648438,150.39999389648438,120136,2023-04-17
2023-04-24,161.8370819091797,165.0500030517578,174.9499969482422,156.85000610351562,169.5,279495,2023-04-24
2023-05-01,163.2098388671875,166.4499969482422,171.60000610351562,163.0500030517578,165.0500030517578,133711,2023-05-01
2023-05-08,165.80824279785156,169.10000610351562,173.6999969482422,166.5,166.5,90952,2023-05-08
2023-05-15,158.9935302734375,162.14999389648438,169.39999389648438,160.0,167.0,102741,2023-05-15
2023-05-22,163.74911499023438,167.0,168.39999389648438,159.0,163.60000610351562,79522,2023-05-22
2023-05-29,169.53427124023438,172.89999389648438,177.0,164.9499969482422,169.4499969482422,99113,2023-05-29
2023-06-05,184.2913055419922,187.9499969482422,202.5500030517578,173.1999969482422,173.1999969482422,653579,2023-06-05
2023-06-12,188.94883728027344,192.6999969482422,198.0,184.1999969482422,189.75,333714,2023-06-12
2023-06-19,181.44776916503906,185.0500030517578,194.0,183.5500030517578,192.6999969482422,101250,2023-06-19
2023-06-26,183.31076049804688,186.9499969482422,192.9499969482422,184.0,184.0,90346,2023-06-26
2023-07-03,216.3057403564453,220.60000610351562,223.89999389648438,182.1999969482422,188.75,1462959,2023-07-03
2023-07-10,211.7117462158203,213.60000610351562,227.0,204.0500030517578,222.0500030517578,515445,2023-07-10
2023-07-17,211.26571655273438,213.14999389648438,223.6999969482422,206.3000030517578,215.64999389648438,393367,2023-07-17
2023-07-24,205.66566467285156,207.5,216.14999389648438,206.10000610351562,215.6999969482422,183072,2023-07-24
2023-07-31,233.07122802734375,235.14999389648438,241.6999969482422,206.0,206.0,732401,2023-07-31
2023-08-07,226.4800262451172,228.5,244.60000610351562,220.35000610351562,237.6999969482422,549335,2023-08-07
2023-08-14,210.27455139160156,212.14999389648438,229.1999969482422,209.9499969482422,228.5,326732,2023-08-14
2023-08-21,210.37367248535156,212.25,223.6999969482422,211.0,214.5,238988,2023-08-21
2023-08-28,207.49932861328125,209.35000610351562,217.9499969482422,208.5,215.14999389648438,271320,2023-08-28
2023-09-04,224.1012420654297,226.10000610351562,229.1999969482422,205.89999389648438,209.5500030517578,719466,2023-09-04
2023-09-11,221.47467041015625,223.4499969482422,230.9499969482422,207.5,226.1999969482422,649959,2023-09-11
2023-09-18,206.1612548828125,208.0,226.6999969482422,207.0500030517578,223.5,198822,2023-09-18
2023-09-25,206.70639038085938,208.5500030517578,211.4499969482422,200.10000610351562,211.10000610351562,181933,2023-09-25
2023-10-02,203.98069763183594,205.8000030517578,210.89999389648438,201.89999389648438,208.5500030517578,126622,2023-10-02
2023-10-09,213.198486328125,215.10000610351562,223.35000610351562,197.64999389648438,200.1999969482422,472056,2023-10-09
2023-10-16,196.69566345214844,198.4499969482422,222.0,196.5,217.25,556220,2023-10-16
2023-10-23,184.15750122070312,185.8000030517578,202.0,175.8000030517578,202.0,175574,2023-10-23
2023-10-30,188.1717071533203,189.85000610351562,196.4499969482422,181.85000610351562,181.85000610351562,154625,2023-10-30
2023-11-06,195.45672607421875,197.1999969482422,204.85000610351562,185.5500030517578,193.6999969482422,240027,2023-11-06
2023-11-13,198.43020629882812,200.1999969482422,204.89999389648438,195.0,197.6999969482422,167167,2023-11-13
2023-11-20,202.04794311523438,203.85000610351562,210.89999389648438,199.0,199.0,214086,2023-11-20
2023-11-27,195.7045135498047,197.4499969482422,208.0,196.75,203.85000610351562,122797,2023-11-27
2023-12-04,191.49208068847656,193.1999969482422,201.89999389648438,191.75,198.5,284769,2023-12-04
2023-12-11,198.82667541503906,200.60000610351562,210.5,194.0500030517578,194.1999969482422,371860,2023-12-11
2023-12-18,207.99490356445312,209.85000610351562,218.10000610351562,199.10000610351562,200.60000610351562,550517,2023-12-18
2023-12-25,205.56654357910156,207.39999389648438,211.6999969482422,200.60000610351562,209.85000610351562,194087,2023-12-25
