Date,Adj Close_NITIRAJ.NS,Close_NITIRAJ.NS,High_NITIRAJ.NS,Low_NITIRAJ.NS,Open_NITIRAJ.NS,Volume_NITIRAJ.NS,Date
2020-07-13,57.63570785522461,58.0,58.0,58.0,58.0,0,2020-07-13
2020-07-20,57.63570785522461,58.0,58.0,58.0,58.0,0,2020-07-20
2020-07-27,57.63570785522461,58.0,58.0,58.0,58.0,0,2020-07-27
2020-08-03,57.63570785522461,58.0,58.0,58.0,58.0,1500,2020-08-03
2020-08-10,57.63570785522461,58.0,58.0,58.0,58.0,0,2020-08-10
2020-08-17,57.63570785522461,58.0,58.0,58.0,58.0,0,2020-08-17
2020-08-24,57.63570785522461,58.0,58.0,58.0,58.0,0,2020-08-24
2020-08-31,57.63570785522461,58.0,58.0,58.0,58.0,0,2020-08-31
2020-09-07,52.02119445800781,52.349998474121094,58.0,52.349998474121094,58.0,4500,2020-09-07
2020-09-14,52.02119445800781,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0,2020-09-14
2020-09-21,52.02119445800781,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0,2020-09-21
2020-09-28,52.02119445800781,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0,2020-09-28
2020-10-05,52.02119445800781,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0,2020-10-05
2020-10-12,52.02119445800781,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0,2020-10-12
2020-10-19,52.02119445800781,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0,2020-10-19
2020-10-26,52.02119445800781,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0,2020-10-26
2020-11-02,52.02119445800781,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0,2020-11-02
2020-11-09,52.02119445800781,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0,2020-11-09
2020-11-16,52.02119445800781,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0,2020-11-16
2020-11-23,47.94694519042969,48.25,54.25,48.25,52.349998474121094,27000,2020-11-23
2020-11-30,47.64883041381836,47.95000076293945,52.75,47.95000076293945,48.25,46500,2020-11-30
2020-12-07,52.56774139404297,52.900001525878906,52.900001525878906,47.95000076293945,47.95000076293945,25500,2020-12-07
2020-12-14,55.64826965332031,56.0,56.0,55.400001525878906,55.400001525878906,21000,2020-12-14
2020-12-21,57.23822021484375,57.599998474121094,61.20000076293945,55.0,56.0,16500,2020-12-21
