Date,Adj Close_NINSYS.NS,Close_NINSYS.NS,High_NINSYS.NS,Low_NINSYS.NS,Open_NINSYS.NS,Volume_NINSYS.NS,Date
2023-02-20,198.47222900390625,198.47222900390625,198.47222900390625,147.52777099609375,167.22222900390625,77529,2023-02-20
2023-02-27,169.77777099609375,169.77777099609375,218.80555725097656,169.77777099609375,207.77777099609375,21514,2023-02-27
2023-03-06,168.9166717529297,168.9166717529297,168.9166717529297,145.5833282470703,161.38888549804688,19531,2023-03-06
2023-03-13,146.63888549804688,146.63888549804688,186.11111450195312,144.5,177.36111450195312,30376,2023-03-13
2023-03-20,148.75,148.75,163.36111450195312,141.69444274902344,153.80555725097656,37928,2023-03-20
2023-03-27,144.75,144.75,152.02777099609375,136.6666717529297,152.02777099609375,9283,2023-03-27
2023-04-03,167.52777099609375,167.52777099609375,167.52777099609375,147.94444274902344,151.11111450195312,8250,2023-04-03
2023-04-10,203.22222900390625,203.22222900390625,203.22222900390625,159.22222900390625,175.0,25783,2023-04-10
2023-04-17,234.5833282470703,234.5833282470703,259.25,212.13888549804688,212.22222900390625,36668,2023-04-17
2023-04-24,221.75,221.75,222.86111450195312,192.22222900390625,222.86111450195312,5992,2023-04-24
2023-05-01,226.86111450195312,226.86111450195312,244.4166717529297,213.97222900390625,221.75,9139,2023-05-01
2023-05-08,225.63888549804688,225.63888549804688,230.55555725097656,202.77777099609375,226.11111450195312,14773,2023-05-08
2023-05-15,229.94444274902344,229.94444274902344,236.6666717529297,216.6666717529297,233.3333282470703,9547,2023-05-15
2023-05-22,224.0,224.0,241.4166717529297,212.77777099609375,241.38888549804688,10150,2023-05-22
2023-05-29,250.5,250.5,250.5,219.44444274902344,232.22222900390625,34845,2023-05-29
2023-06-05,281.5833435058594,281.5833435058594,304.4166564941406,256.97222900390625,262.1111145019531,35392,2023-06-05
2023-06-12,359.27777099609375,359.27777099609375,359.27777099609375,295.6388854980469,295.6388854980469,32942,2023-06-12
2023-06-19,359.27777099609375,359.27777099609375,359.27777099609375,359.27777099609375,359.27777099609375,0,2023-06-19
2023-06-26,352.1111145019531,352.1111145019531,352.1111145019531,352.1111145019531,352.1111145019531,529,2023-06-26
2023-07-03,345.0833435058594,345.0833435058594,345.0833435058594,345.0833435058594,345.0833435058594,225,2023-07-03
2023-07-10,338.1944580078125,338.1944580078125,338.1944580078125,338.1944580078125,338.1944580078125,230,2023-07-10
2023-07-17,331.4444580078125,331.4444580078125,331.4444580078125,331.4444580078125,331.4444580078125,216,2023-07-17
2023-07-24,361.3055419921875,361.3055419921875,367.27777099609375,300.5555419921875,314.8888854980469,49059,2023-07-24
2023-07-31,395.20001220703125,395.20001220703125,408.04998779296875,350.0,379.3611145019531,114559,2023-07-31
2023-08-07,394.95001220703125,394.95001220703125,415.0,380.25,390.0,33505,2023-08-07
2023-08-14,403.6499938964844,403.6499938964844,424.45001220703125,380.0,400.0,34858,2023-08-14
2023-08-21,356.3500061035156,356.3500061035156,400.0,345.0,396.0,38499,2023-08-21
2023-08-28,356.6000061035156,356.6000061035156,367.8999938964844,350.0,361.95001220703125,15871,2023-08-28
2023-09-04,349.04998779296875,349.04998779296875,365.0,340.0,365.0,13395,2023-09-04
2023-09-11,357.04998779296875,357.04998779296875,359.5,315.1499938964844,355.0,14495,2023-09-11
2023-09-18,339.20001220703125,339.20001220703125,357.95001220703125,335.5,357.04998779296875,5756,2023-09-18
2023-09-25,355.75,355.75,359.8500061035156,316.5,336.0,20610,2023-09-25
2023-10-02,369.95001220703125,369.95001220703125,382.0,346.0,355.75,24450,2023-10-02
2023-10-09,359.79998779296875,359.79998779296875,377.3500061035156,336.0,357.0,32576,2023-10-09
2023-10-16,346.6000061035156,346.6000061035156,366.95001220703125,338.0,366.8500061035156,18985,2023-10-16
