Date,Adj Close_HEIDELBERG.NS,Close_HEIDELBERG.NS,High_HEIDELBERG.NS,Low_HEIDELBERG.NS,Open_HEIDELBERG.NS,Volume_HEIDELBERG.NS,Date
2020-07-13,146.03738403320312,175.10000610351562,177.6999969482422,171.6999969482422,176.75,518405,2020-07-13
2020-07-20,144.57785034179688,173.35000610351562,183.0,172.5,177.39999389648438,1592418,2020-07-20
2020-07-27,154.41932678222656,185.14999389648438,189.64999389648438,172.0,173.64999389648438,3021899,2020-07-27
2020-08-03,152.66787719726562,183.0500030517578,192.60000610351562,182.35000610351562,187.0,1853780,2020-08-03
2020-08-10,160.25747680664062,192.14999389648438,201.75,178.4499969482422,185.0,3920371,2020-08-10
2020-08-17,162.3842315673828,194.6999969482422,198.5,185.5,195.35000610351562,3524586,2020-08-17
2020-08-24,163.3016815185547,195.8000030517578,205.5,194.1999969482422,194.89999389648438,2610698,2020-08-24
2020-08-31,154.4610137939453,185.1999969482422,198.1999969482422,184.1999969482422,197.5,1056682,2020-08-31
2020-09-07,150.45770263671875,180.39999389648438,189.85000610351562,180.0,186.0,3140977,2020-09-07
2020-09-14,162.94371032714844,189.0,192.5500030517578,181.35000610351562,181.35000610351562,1808646,2020-09-14
2020-09-21,153.20155334472656,177.6999969482422,190.1999969482422,174.1999969482422,189.0,1016473,2020-09-21
2020-09-28,162.42640686035156,188.39999389648438,189.8000030517578,177.60000610351562,178.89999389648438,795331,2020-09-28
2020-10-05,161.13319396972656,186.89999389648438,194.75,186.0,190.0,1846121,2020-10-05
2020-10-12,157.727783203125,182.9499969482422,190.39999389648438,181.89999389648438,188.5,851818,2020-10-12
2020-10-19,163.97825622558594,190.1999969482422,200.0,184.0,184.6999969482422,3510007,2020-10-19
2020-10-26,159.19338989257812,184.64999389648438,191.1999969482422,181.1999969482422,188.75,1304246,2020-10-26
2020-11-02,165.74563598632812,192.25,193.6999969482422,182.0,185.0,1050785,2020-11-02
2020-11-09,166.69400024414062,193.35000610351562,195.0,185.10000610351562,193.89999389648438,1339636,2020-11-09
2020-11-16,170.2718505859375,197.5,207.39999389648438,192.5,193.14999389648438,2472658,2020-11-16
2020-11-23,179.53981018066406,208.25,209.9499969482422,197.60000610351562,198.0,2542290,2020-11-23
2020-11-30,180.10020446777344,208.89999389648438,218.0,195.6999969482422,208.25,2384452,2020-11-30
2020-12-07,179.75534057617188,208.5,216.0500030517578,205.64999389648438,210.10000610351562,1935602,2020-12-07
2020-12-14,177.9448699951172,206.39999389648438,215.89999389648438,204.0,209.0,1806619,2020-12-14
2020-12-21,185.18679809570312,214.8000030517578,218.0,200.39999389648438,208.1999969482422,2138000,2020-12-21
2020-12-28,194.4978790283203,225.60000610351562,234.75,215.0500030517578,216.0,3384252,2020-12-28
2021-01-04,203.03302001953125,235.5,243.6999969482422,223.9499969482422,226.89999389648438,3068631,2021-01-04
2021-01-11,190.96310424804688,221.5,237.25,220.10000610351562,237.25,1258615,2021-01-11
2021-01-18,190.40272521972656,220.85000610351562,226.0,213.0500030517578,220.10000610351562,802381,2021-01-18
