Date,Adj Close_KMEW.NS,Close_KMEW.NS,High_KMEW.NS,Low_KMEW.NS,Open_KMEW.NS,Volume_KMEW.NS,Date
2024-11-11,2111.449951171875,2111.449951171875,2189.050048828125,1915.0,1915.0,66526,2024-11-11
2024-11-18,2027.0999755859375,2027.0999755859375,2159.0,1902.050048828125,2159.0,29665,2024-11-18
2024-11-25,2128.35009765625,2128.35009765625,2238.699951171875,1992.0999755859375,2057.5,72582,2024-11-25
2024-12-02,2338.10009765625,2338.10009765625,2485.449951171875,2145.949951171875,2145.949951171875,290392,2024-12-02
2024-12-09,2250.64990234375,2250.64990234375,2369.949951171875,2162.60009765625,2358.75,89767,2024-12-09
2024-12-16,2187.60009765625,2187.60009765625,2340.0,2102.0,2275.0,67035,2024-12-16
2024-12-23,2341.199951171875,2341.199951171875,2425.0,2150.0,2230.0,171142,2024-12-23
2024-12-30,2216.89990234375,2216.89990234375,2375.949951171875,2185.25,2352.949951171875,66867,2024-12-30
2025-01-06,2015.75,2015.75,2225.0,1977.050048828125,2219.949951171875,54561,2025-01-06
2025-01-13,1971.0,1971.0,2084.699951171875,1823.1500244140625,2015.75,77788,2025-01-13
2025-01-20,2060.300048828125,2060.300048828125,2140.0,1925.0,2000.550048828125,77997,2025-01-20
2025-01-27,1889.4000244140625,1889.4000244140625,2040.0,1740.0,2040.0,47738,2025-01-27
2025-02-03,1943.75,1943.75,2109.0,1866.050048828125,1871.0,48965,2025-02-03
2025-02-10,1773.5,1773.5,1976.199951171875,1700.0,1976.199951171875,65761,2025-02-10
2025-02-17,1695.6500244140625,1695.6500244140625,1851.800048828125,1636.550048828125,1805.0,41108,2025-02-17
2025-02-24,1513.6500244140625,1513.6500244140625,1729.550048828125,1480.050048828125,1729.550048828125,30227,2025-02-24
2025-03-03,1666.4000244140625,1666.4000244140625,1700.0,1437.550048828125,1500.0999755859375,63009,2025-03-03
2025-03-10,1515.5999755859375,1515.5999755859375,1675.0,1439.949951171875,1670.0,45240,2025-03-10
2025-03-17,1562.75,1562.75,1622.0,1460.0,1546.800048828125,44025,2025-03-17
2025-03-24,1395.050048828125,1395.050048828125,1730.0,1375.0,1577.0,78638,2025-03-24
2025-03-31,1444.5999755859375,1444.5999755859375,1497.9000244140625,1400.050048828125,1416.0,30575,2025-03-31
2025-04-07,1382.550048828125,1382.550048828125,1412.0,1264.050048828125,1399.0999755859375,53941,2025-04-07
2025-04-14,1480.5999755859375,1480.5999755859375,1512.9000244140625,1381.0999755859375,1390.0999755859375,22362,2025-04-14
2025-04-21,1394.9000244140625,1394.9000244140625,1525.9000244140625,1350.0,1489.5999755859375,30919,2025-04-21
2025-04-28,1376.300048828125,1376.300048828125,1479.5,1318.300048828125,1394.9000244140625,38103,2025-04-28
2025-05-05,1407.699951171875,1407.699951171875,1469.800048828125,1301.0,1389.0999755859375,86226,2025-05-05
2025-05-12,1566.199951171875,1566.199951171875,1640.0,1412.0999755859375,1439.0,65709,2025-05-12
2025-05-19,1588.199951171875,1588.199951171875,1647.0,1496.0999755859375,1578.699951171875,99572,2025-05-19
2025-05-26,1551.9000244140625,1551.9000244140625,1635.800048828125,1520.0,1610.0,46241,2025-05-26
2025-06-02,1586.0,1586.0,1690.0,1465.4000244140625,1540.0,150480,2025-06-02
2025-06-09,1659.4000244140625,1659.4000244140625,1800.0,1562.800048828125,1598.699951171875,213149,2025-06-09
2025-06-16,1682.4000244140625,1682.4000244140625,1746.0,1591.699951171875,1678.0,98922,2025-06-16
2025-06-23,1615.800048828125,1615.800048828125,1759.0,1589.199951171875,1694.800048828125,483238,2025-06-23
2025-06-30,1646.0999755859375,1646.0999755859375,1680.800048828125,1525.9000244140625,1637.0,184325,2025-06-30
2025-07-07,1641.199951171875,1641.199951171875,1756.0,1574.9000244140625,1650.0,451224,2025-07-07
2025-07-14,1742.199951171875,1742.199951171875,1765.800048828125,1611.5999755859375,1658.0,141395,2025-07-14
