Date,Adj Close_HONDAPOWER.NS,Close_HONDAPOWER.NS,High_HONDAPOWER.NS,Low_HONDAPOWER.NS,Open_HONDAPOWER.NS,Volume_HONDAPOWER.NS,Date
2020-07-13,947.40087890625,993.6500244140625,1045.0,980.0,1045.0,14570,2020-07-13
2020-07-20,960.4631958007812,1007.3499755859375,1017.4000244140625,982.0,990.0499877929688,10109,2020-07-20
2020-07-27,970.0454711914062,1017.4000244140625,1054.0,985.0,1015.0,22561,2020-07-27
2020-08-03,990.4017944335938,1038.75,1104.0,985.4500122070312,1028.6500244140625,27692,2020-08-03
2020-08-10,987.5890502929688,1035.800048828125,1158.75,1015.4000244140625,1040.0,67339,2020-08-10
2020-08-17,1000.8897705078125,1049.75,1070.050048828125,1020.0,1059.0,43398,2020-08-17
2020-08-24,1008.6604614257812,1057.9000244140625,1080.0,1026.25,1049.800048828125,27921,2020-08-24
2020-08-31,960.4631958007812,1007.3499755859375,1077.0,1000.0,1077.0,19332,2020-08-31
2020-09-07,954.7901611328125,1001.4000244140625,1068.0,998.0,1035.0,17488,2020-09-07
2020-09-14,1010.2420043945312,1046.449951171875,1100.0,1002.3499755859375,1025.0,102453,2020-09-14
2020-09-21,980.604248046875,1015.75,1074.949951171875,975.25,1074.949951171875,32234,2020-09-21
2020-09-28,978.9147338867188,1014.0,1030.050048828125,1000.25,1021.0,10255,2020-09-28
2020-10-05,955.4556274414062,989.7000122070312,1041.0,975.9500122070312,1041.0,22228,2020-10-05
2020-10-12,950.6286010742188,984.7000122070312,1018.6500244140625,978.0499877929688,994.6500244140625,15698,2020-10-12
2020-10-19,966.412841796875,1001.0499877929688,1018.0,980.0999755859375,989.5499877929688,9340,2020-10-19
2020-10-26,952.3662719726562,986.5,1027.75,968.0,1001.0499877929688,13739,2020-10-26
2020-11-02,933.15478515625,966.5999755859375,1009.7000122070312,957.0,990.9000244140625,19084,2020-11-02
2020-11-09,939.6229858398438,973.2999877929688,998.9500122070312,953.75,967.0,24067,2020-11-09
2020-11-16,917.8050537109375,950.7000122070312,994.7000122070312,948.2000122070312,972.1500244140625,32232,2020-11-16
2020-11-23,925.47998046875,958.6500244140625,975.9500122070312,931.9000244140625,955.5,94051,2020-11-23
2020-11-30,981.4248046875,1016.5999755859375,1048.300048828125,958.6500244140625,958.6500244140625,63272,2020-11-30
2020-12-07,990.4512939453125,1025.949951171875,1048.9000244140625,992.25,1036.949951171875,52099,2020-12-07
2020-12-14,1075.599609375,1114.1500244140625,1243.9000244140625,1030.449951171875,1040.0,535363,2020-12-14
2020-12-21,1021.392333984375,1058.0,1120.0,1004.4500122070312,1108.0,40479,2020-12-21
2020-12-28,1012.317626953125,1048.5999755859375,1075.0,1041.0,1063.300048828125,37206,2020-12-28
2021-01-04,1002.0360717773438,1037.949951171875,1070.0,1030.3499755859375,1053.8499755859375,68873,2021-01-04
2021-01-11,1028.92236328125,1065.800048828125,1128.0999755859375,1036.0,1058.0,102292,2021-01-11
2021-01-18,1010.1936645507812,1046.4000244140625,1071.1500244140625,1042.75,1065.800048828125,25980,2021-01-18
2021-01-25,989.9685668945312,1025.449951171875,1071.5,1014.0999755859375,1054.050048828125,15008,2021-01-25
2021-02-01,1025.7366943359375,1062.5,1087.0,1020.0,1025.449951171875,31856,2021-02-01
2021-02-08,1033.604736328125,1070.6500244140625,1098.0,1040.199951171875,1053.0,39293,2021-02-08
2021-02-15,994.2163696289062,1029.8499755859375,1081.0,1022.4500122070312,1073.0,51514,2021-02-15
2021-02-22,1014.2483520507812,1050.5999755859375,1059.800048828125,979.0,1023.0499877929688,64071,2021-02-22
2021-03-01,1027.9088134765625,1064.75,1126.949951171875,1047.050048828125,1055.9000244140625,114606,2021-03-01
2021-03-08,1023.3714599609375,1060.050048828125,1098.0,1048.0,1088.0,29430,2021-03-08
2021-03-15,976.5494995117188,1011.5499877929688,1071.949951171875,983.9500122070312,1060.0999755859375,54257,2021-03-15
2021-03-22,961.1030883789062,995.5499877929688,1035.0,971.25,1028.0,37041,2021-03-22
2021-03-29,946.6220703125,980.5499877929688,1009.5499877929688,953.0,995.5499877929688,27052,2021-03-29
2021-04-05,950.3389892578125,984.4000244140625,1034.0,959.5499877929688,974.0499877929688,23395,2021-04-05
2021-04-12,925.47998046875,958.6500244140625,984.75,940.2999877929688,984.75,47062,2021-04-12
2021-04-19,896.8558349609375,929.0,958.0,920.1500244140625,958.0,17167,2021-04-19
2021-04-26,970.0331420898438,1004.7999877929688,1025.75,915.0,940.0,55361,2021-04-26
2021-05-03,952.5111083984375,986.6500244140625,1010.0,980.0,981.0999755859375,35202,2021-05-03
