Date,Adj Close_DALMIASUG.NS,Close_DALMIASUG.NS,High_DALMIASUG.NS,Low_DALMIASUG.NS,Open_DALMIASUG.NS,Volume_DALMIASUG.NS,Date
2020-07-13,108.53844451904297,115.0999984741211,118.69999694824219,112.0999984741211,115.0,1169015,2020-07-13
2020-07-20,109.95291900634766,116.5999984741211,120.9000015258789,114.0,115.0,742215,2020-07-20
2020-07-27,116.78961181640625,123.8499984741211,124.94999694824219,114.80000305175781,117.55000305175781,1128146,2020-07-27
2020-08-03,119.57144165039062,126.80000305175781,134.4499969482422,121.0,134.4499969482422,2214859,2020-08-03
2020-08-10,127.35113525390625,135.0500030517578,147.75,128.0,128.14999389648438,3901494,2020-08-10
2020-08-17,139.18569946289062,147.60000610351562,149.39999389648438,135.0500030517578,139.0,2324908,2020-08-17
2020-08-24,132.91476440429688,140.9499969482422,153.8000030517578,140.0,151.0,1711875,2020-08-24
2020-08-31,126.26669311523438,133.89999389648438,141.10000610351562,126.0,140.9499969482422,1289516,2020-08-31
2020-09-07,123.76776123046875,131.25,137.0,127.0,134.9499969482422,514022,2020-09-07
2020-09-14,126.64389038085938,134.3000030517578,138.6999969482422,130.1999969482422,132.4499969482422,723766,2020-09-14
2020-09-21,117.07251739501953,124.1500015258789,134.1999969482422,121.0,131.10000610351562,407313,2020-09-21
2020-09-28,120.70304107666016,128.0,130.39999389648438,125.30000305175781,126.4000015258789,292441,2020-09-28
2020-10-05,124.99366760253906,132.5500030517578,136.25,127.30000305175781,129.9499969482422,571752,2020-10-05
2020-10-12,121.31597900390625,128.64999389648438,133.5,125.4000015258789,133.5,235059,2020-10-12
2020-10-19,123.2962646484375,130.75,133.1999969482422,126.69999694824219,129.35000610351562,345421,2020-10-19
2020-10-26,123.01335906982422,130.4499969482422,134.4499969482422,122.55000305175781,130.0,447492,2020-10-26
2020-11-02,128.34127807617188,136.10000610351562,141.25,126.0,130.0,635364,2020-11-02
2020-11-09,120.84449005126953,128.14999389648438,145.39999389648438,123.8499984741211,139.0,979956,2020-11-09
2020-11-16,123.15481567382812,130.60000610351562,132.89999389648438,127.0999984741211,128.14999389648438,600935,2020-11-16
2020-11-23,129.66146850585938,137.5,146.8000030517578,131.25,131.5,1881798,2020-11-23
2020-11-30,131.02882385253906,138.9499969482422,142.5,134.5500030517578,137.5,662615,2020-11-30
2020-12-07,140.2229766845703,148.6999969482422,158.89999389648438,132.85000610351562,137.0,4644894,2020-12-07
2020-12-14,135.27227783203125,143.4499969482422,157.0,142.0,149.6999969482422,1238253,2020-12-14
2020-12-21,133.3862762451172,141.4499969482422,147.3000030517578,131.0,144.1999969482422,687241,2020-12-21
2020-12-28,134.32928466796875,142.4499969482422,145.5500030517578,138.0,142.1999969482422,367998,2020-12-28
2021-01-04,134.32928466796875,142.4499969482422,150.0,140.4499969482422,143.3000030517578,1159461,2021-01-04
2021-01-11,132.53761291503906,140.5500030517578,144.4499969482422,140.0,143.1999969482422,875606,2021-01-11
2021-01-18,129.0485382080078,136.85000610351562,141.60000610351562,136.0500030517578,140.9499969482422,421776,2021-01-18
2021-01-25,130.651611328125,138.5500030517578,139.8000030517578,133.10000610351562,137.5500030517578,282578,2021-01-25
2021-02-01,133.76348876953125,141.85000610351562,145.0,136.4499969482422,138.8000030517578,579517,2021-02-01
2021-02-08,134.04640197753906,142.14999389648438,143.89999389648438,137.5,142.0,655683,2021-02-08
2021-02-15,136.35671997070312,144.60000610351562,152.39999389648438,139.0,142.8000030517578,1081475,2021-02-15
2021-02-22,151.3502960205078,160.5,167.75,142.25,145.35000610351562,2741152,2021-02-22
2021-03-01,158.4698944091797,168.0500030517578,184.0,158.60000610351562,160.60000610351562,2487697,2021-03-01
2021-03-08,162.9490966796875,172.8000030517578,182.0,169.3000030517578,169.39999389648438,1364092,2021-03-08
2021-03-15,152.76478576660156,162.0,178.0,155.5,175.25,1056096,2021-03-15
