Date,Adj Close_SIKKO.NS,Close_SIKKO.NS,High_SIKKO.NS,Low_SIKKO.NS,Open_SIKKO.NS,Volume_SIKKO.NS,Date
2020-07-13,8.321537017822266,8.333333015441895,8.333333015441895,7.0,7.0,12000,2020-07-13
2020-07-20,8.321537017822266,8.333333015441895,8.333333015441895,8.333333015441895,8.333333015441895,0,2020-07-20
2020-07-27,8.654398918151855,8.666666030883789,8.666666030883789,7.3333330154418945,8.333333015441895,36000,2020-07-27
2020-08-03,9.153690338134766,9.166666030883789,9.166666030883789,8.666666030883789,8.666666030883789,60000,2020-08-03
2020-08-10,9.320121765136719,9.333333015441895,9.333333015441895,9.149999618530273,9.149999618530273,36000,2020-08-10
2020-08-17,9.486553192138672,9.5,11.266666412353516,9.066665649414062,11.199999809265137,60000,2020-08-17
2020-08-24,9.652982711791992,9.666666030883789,9.666666030883789,9.5,9.5,12000,2020-08-24
2020-08-31,7.722386837005615,7.733333110809326,8.416666030883789,7.733333110809326,8.416666030883789,36000,2020-08-31
2020-09-07,7.655814170837402,7.666666030883789,7.733333110809326,7.666666030883789,7.733333110809326,12000,2020-09-07
2020-09-14,7.655814170837402,7.666666030883789,7.666666030883789,7.666666030883789,7.666666030883789,0,2020-09-14
2020-09-21,8.654398918151855,8.666666030883789,8.666666030883789,7.3333330154418945,7.666666030883789,36000,2020-09-21
2020-09-28,8.654398918151855,8.666666030883789,8.666666030883789,8.666666030883789,8.666666030883789,12000,2020-09-28
2020-10-05,8.654398918151855,8.666666030883789,8.666666030883789,8.666666030883789,8.666666030883789,0,2020-10-05
2020-10-12,8.820829391479492,8.833333015441895,9.333333015441895,7.766665935516357,9.333333015441895,168000,2020-10-12
2020-10-19,8.820829391479492,8.833333015441895,8.833333015441895,8.833333015441895,8.833333015441895,0,2020-10-19
2020-10-26,8.820829391479492,8.833333015441895,8.833333015441895,8.833333015441895,8.833333015441895,0,2020-10-26
2020-11-02,8.254964828491211,8.266666412353516,9.5,8.266666412353516,8.333333015441895,96000,2020-11-02
2020-11-09,8.654398918151855,8.666666030883789,8.666666030883789,7.5,8.366665840148926,72000,2020-11-09
2020-11-16,8.654398918151855,8.666666030883789,8.666666030883789,8.666666030883789,8.666666030883789,0,2020-11-16
2020-11-23,8.787544250488281,8.800000190734863,8.800000190734863,8.666666030883789,8.666666030883789,36000,2020-11-23
2020-11-30,8.820829391479492,8.833333015441895,8.866665840148926,8.800000190734863,8.800000190734863,48000,2020-11-30
2020-12-07,8.72097110748291,8.733332633972168,8.816665649414062,8.733332633972168,8.800000190734863,36000,2020-12-07
2020-12-14,8.85411548614502,8.866665840148926,8.866665840148926,8.733332633972168,8.733332633972168,36000,2020-12-14
2020-12-21,8.92068862915039,8.933333396911621,8.933333396911621,8.866665840148926,8.866665840148926,12000,2020-12-21
2020-12-28,9.320121765136719,9.333333015441895,9.333333015441895,8.933333396911621,8.933333396911621,24000,2020-12-28
2021-01-04,8.987260818481445,9.0,9.0,8.833333015441895,9.0,48000,2021-01-04
2021-01-11,9.020545959472656,9.033332824707031,9.133333206176758,8.966666221618652,8.966666221618652,120000,2021-01-11
2021-01-18,9.020545959472656,9.033332824707031,9.233332633972168,9.033332824707031,9.100000381469727,132000,2021-01-18
2021-01-25,9.120405197143555,9.133333206176758,9.266666412353516,9.033332824707031,9.033332824707031,72000,2021-01-25
2021-02-01,9.120405197143555,9.133333206176758,9.133333206176758,9.133333206176758,9.133333206176758,0,2021-02-01
2021-02-08,10.7181396484375,10.733332633972168,10.733332633972168,9.133333206176758,9.133333206176758,24000,2021-02-08
2021-02-15,7.722386837005615,7.733333110809326,10.333333015441895,7.516665935516357,9.5,264000,2021-02-15
2021-02-22,7.1731648445129395,7.183332920074463,8.166666030883789,7.183332920074463,7.733333110809326,36000,2021-02-22
2021-03-01,7.422811031341553,7.433332920074463,7.533332824707031,7.183332920074463,7.183332920074463,60000,2021-03-01
2021-03-08,7.788959503173828,7.800000190734863,9.199999809265137,6.599999904632568,6.699999809265137,156000,2021-03-08
2021-03-15,9.652982711791992,9.666666030883789,9.666666030883789,7.566666126251221,8.133333206176758,108000,2021-03-15
2021-03-22,15.44477367401123,15.466666221618652,15.466666221618652,7.733333110809326,7.800000190734863,204000,2021-03-22
2021-03-29,16.60978889465332,16.633333206176758,17.0,15.266666412353516,15.466666221618652,204000,2021-03-29
2021-04-05,18.14095115661621,18.16666603088379,18.366666793823242,17.333332061767578,17.333332061767578,216000,2021-04-05
2021-04-12,18.041091918945312,18.066665649414062,18.200000762939453,17.266666412353516,18.16666603088379,120000,2021-04-12
2021-04-19,18.041091918945312,18.066665649414062,18.066665649414062,18.066665649414062,18.066665649414062,0,2021-04-19
2021-04-26,16.87607765197754,16.899999618530273,17.933332443237305,16.733333587646484,17.866666793823242,168000,2021-04-26
2021-05-03,16.975936889648438,17.0,17.566665649414062,16.66666603088379,17.566665649414062,72000,2021-05-03
2021-05-10,16.90936279296875,16.933332443237305,17.0,16.933332443237305,17.0,12000,2021-05-10
2021-05-17,16.809505462646484,16.833332061767578,16.933332443237305,16.833332061767578,16.933332443237305,12000,2021-05-17
2021-05-24,16.809505462646484,16.833332061767578,16.833332061767578,16.833332061767578,16.833332061767578,0,2021-05-24
2021-05-31,15.977352142333984,16.0,16.833332061767578,16.0,16.833332061767578,12000,2021-05-31
2021-06-07,16.70964813232422,16.733333587646484,16.733333587646484,16.66666603088379,16.66666603088379,36000,2021-06-07
2021-06-14,16.70964813232422,16.733333587646484,16.733333587646484,16.733333587646484,16.733333587646484,12000,2021-06-14
2021-06-21,17.375370025634766,17.399999618530273,17.399999618530273,16.733333587646484,16.733333587646484,12000,2021-06-21
2021-06-28,17.641658782958984,17.66666603088379,17.66666603088379,17.399999618530273,17.399999618530273,12000,2021-06-28
2021-07-05,17.208940505981445,17.233333587646484,17.66666603088379,16.833332061767578,17.66666603088379,48000,2021-07-05
2021-07-12,17.208940505981445,17.233333587646484,17.233333587646484,17.233333587646484,17.233333587646484,0,2021-07-12
2021-07-19,17.97452163696289,18.0,18.0,17.233333587646484,17.233333587646484,12000,2021-07-19
2021-07-26,17.641658782958984,17.66666603088379,18.0,17.66666603088379,18.0,12000,2021-07-26
2021-08-02,18.30738067626953,18.333332061767578,18.700000762939453,17.799999237060547,17.799999237060547,60000,2021-08-02
2021-08-09,20.770557403564453,20.799999237060547,20.799999237060547,18.333332061767578,18.333332061767578,60000,2021-08-09
2021-08-16,19.73868751525879,19.766666412353516,19.766666412353516,19.766666412353516,19.766666412353516,12000,2021-08-16
2021-08-23,20.6041259765625,20.633333206176758,20.633333206176758,19.66666603088379,19.766666412353516,24000,2021-08-23
2021-08-30,21.635997772216797,21.66666603088379,21.66666603088379,21.600000381469727,21.600000381469727,24000,2021-08-30
2021-09-06,21.635997772216797,21.66666603088379,21.66666603088379,21.66666603088379,21.66666603088379,0,2021-09-06
2021-09-13,21.635997772216797,21.66666603088379,21.66666603088379,21.66666603088379,21.66666603088379,0,2021-09-13
2021-09-20,21.96885871887207,22.0,22.0,21.66666603088379,21.66666603088379,12000,2021-09-20
2021-09-27,21.96885871887207,22.0,22.0,22.0,22.0,0,2021-09-27
2021-10-04,21.96885871887207,22.0,22.0,22.0,22.0,0,2021-10-04
2021-10-11,23.034015655517578,23.066665649414062,23.066665649414062,23.066665649414062,23.066665649414062,12000,2021-10-11
2021-10-18,25.696908950805664,25.733333587646484,25.733333587646484,23.066665649414062,23.066665649414062,62325,2021-10-18
2021-10-25,32.6870002746582,32.733333587646484,32.733333587646484,26.866666793823242,27.0,136838,2021-10-25
2021-11-01,39.67708969116211,39.733333587646484,39.733333587646484,33.46666717529297,34.36666488647461,42131,2021-11-01
2021-11-08,50.52837371826172,50.599998474121094,50.599998474121094,39.733333587646484,41.70000076293945,90715,2021-11-08
2021-11-15,41.208251953125,41.266666412353516,53.099998474121094,41.266666412353516,53.099998474121094,80373,2021-11-15
2021-11-22,36.082183837890625,36.133331298828125,40.666664123535156,35.79999923706055,39.233333587646484,137273,2021-11-22
2021-11-29,30.656545639038086,30.700000762939453,36.53333282470703,29.766666412353516,34.33333206176758,92978,2021-11-29
2021-12-06,37.21391677856445,37.266666412353516,37.266666412353516,30.03333282470703,31.0,43509,2021-12-06
2021-12-13,43.604854583740234,43.666664123535156,47.43333435058594,37.20000076293945,39.099998474121094,198618,2021-12-13
2021-12-20,45.868316650390625,45.93333435058594,47.266666412353516,39.5,41.733333587646484,98887,2021-12-20
2021-12-27,43.371856689453125,43.43333435058594,48.06666564941406,42.599998474121094,45.33333206176758,73722,2021-12-27
2022-01-03,45.53545379638672,45.599998474121094,46.56666564941406,42.633331298828125,42.666664123535156,68063,2022-01-03
2022-01-10,46.833614349365234,46.900001525878906,49.166664123535156,45.43333435058594,45.633331298828125,73449,2022-01-10
