Date,Adj Close_WIPL.NS,Close_WIPL.NS,High_WIPL.NS,Low_WIPL.NS,Open_WIPL.NS,Volume_WIPL.NS,Date
2021-01-18,47.24728775024414,49.0,55.29999923706055,49.0,55.29999923706055,2879,2021-01-18
2021-01-25,47.970462799072266,49.75,51.25,47.0,48.5,15091,2021-01-25
2021-02-01,47.536556243896484,49.29999923706055,49.75,47.0,49.75,21979,2021-02-01
2021-02-08,48.211517333984375,50.0,53.54999923706055,48.099998474121094,49.5,9623,2021-02-08
2021-02-15,49.995338439941406,51.849998474121094,53.54999923706055,49.0,49.5,19093,2021-02-15
2021-02-22,50.622093200683594,52.5,54.0,49.0,51.849998474121094,1513,2021-02-22
2021-03-01,53.99690246582031,56.0,58.0,52.0,52.5,19467,2021-03-01
2021-03-08,54.623653411865234,56.650001525878906,58.0,51.349998474121094,56.0,5376,2021-03-08
2021-03-15,51.10420608520508,53.0,58.95000076293945,53.0,56.650001525878906,38987,2021-03-15
2021-03-22,56.407474517822266,58.5,58.5,52.0,53.0,59179,2021-03-22
2021-03-29,55.97357177734375,58.04999923706055,60.0,56.0,58.5,2294,2021-03-29
2021-04-05,58.72163009643555,60.900001525878906,61.0,58.0,58.0,9297,2021-04-05
2021-04-12,55.925357818603516,58.0,60.0,57.900001525878906,57.900001525878906,883,2021-04-12
2021-04-19,54.96113204956055,57.0,58.75,57.0,57.5,11591,2021-04-19
2021-04-26,54.96113204956055,57.0,59.5,55.0,57.0,1136,2021-04-26
2021-05-03,54.4790153503418,56.5,59.5,55.0,55.0,838,2021-05-03
2021-05-10,57.85382080078125,60.0,60.20000076293945,56.0,58.5,1074,2021-05-10
2021-05-17,53.659423828125,55.650001525878906,60.099998474121094,55.5,60.0,1291,2021-05-17
2021-05-24,54.91291809082031,56.95000076293945,60.75,54.54999923706055,55.5,13958,2021-05-24
2021-05-31,64.65165710449219,67.05000305175781,67.05000305175781,57.0,59.70000076293945,42180,2021-05-31
2021-06-07,65.47123718261719,67.9000015258789,73.5,65.0,67.05000305175781,17847,2021-06-07
2021-06-14,66.9657974243164,69.44999694824219,70.9000015258789,64.0,66.55000305175781,8917,2021-06-14
2021-06-21,67.20684814453125,69.69999694824219,71.25,65.0,70.0999984741211,10413,2021-06-21
2021-06-28,64.60343933105469,67.0,69.8499984741211,64.0,66.5,5596,2021-06-28
2021-07-05,64.1695327758789,66.55000305175781,68.0,61.0,67.0,11205,2021-07-05
2021-07-12,62.48213195800781,64.80000305175781,70.0,62.29999923706055,68.0,8730,2021-07-12
2021-07-19,62.67497253417969,65.0,68.0,61.75,68.0,2118,2021-07-19
2021-07-26,61.61431884765625,63.900001525878906,67.5999984741211,59.900001525878906,67.5999984741211,26604,2021-07-26
2021-08-02,60.74651336669922,63.0,66.69999694824219,60.04999923706055,64.0,4707,2021-08-02
2021-08-09,62.444305419921875,63.95000076293945,65.44999694824219,60.0,65.44999694824219,3165,2021-08-09
2021-08-16,61.32137680053711,62.79999923706055,66.5,58.5,63.95000076293945,914,2021-08-16
2021-08-23,62.493125915527344,64.0,65.5999984741211,59.849998474121094,63.0,1261,2021-08-23
2021-08-30,62.00490188598633,63.5,67.3499984741211,60.0,64.0,24334,2021-08-30
2021-09-06,62.493125915527344,64.0,66.44999694824219,61.0,63.5,27208,2021-09-06
2021-09-13,63.37194061279297,64.9000015258789,67.1500015258789,60.099998474121094,65.30000305175781,40545,2021-09-13
2021-09-20,61.90725326538086,63.400001525878906,65.0,59.0,63.900001525878906,36421,2021-09-20
2021-09-27,59.56376647949219,61.0,66.0,60.0,65.5,5364,2021-09-27
2021-10-04,58.24555206298828,59.650001525878906,66.69999694824219,59.0,64.05000305175781,10096,2021-10-04
2021-10-11,58.24555206298828,59.650001525878906,62.0,56.70000076293945,62.0,23942,2021-10-11
2021-10-18,54.681488037109375,56.0,59.900001525878906,55.20000076293945,59.650001525878906,5090,2021-10-18
2021-10-25,56.5367546081543,57.900001525878906,60.0,55.150001525878906,56.0,1939,2021-10-25
2021-11-01,57.17144775390625,58.54999923706055,58.900001525878906,54.400001525878906,58.900001525878906,13300,2021-11-01
2021-11-08,54.681488037109375,56.0,58.54999923706055,55.0,58.54999923706055,9745,2021-11-08
2021-11-15,51.312713623046875,52.54999923706055,58.54999923706055,52.349998474121094,56.0,13691,2021-11-15
2021-11-22,51.50800704956055,52.75,55.0,52.0,52.0,2822,2021-11-22
2021-11-29,51.45918273925781,52.70000076293945,55.0,50.20000076293945,55.0,2692,2021-11-29
2021-12-06,51.75212097167969,53.0,55.5,50.5,51.0,9789,2021-12-06
2021-12-13,49.79921340942383,51.0,55.0,50.5,55.0,26047,2021-12-13
2021-12-20,48.96923065185547,50.150001525878906,52.0,47.599998474121094,51.0,4308,2021-12-20
2021-12-27,48.822757720947266,50.0,52.0,48.04999923706055,48.04999923706055,12910,2021-12-27
2022-01-03,51.75212097167969,53.0,54.5,50.0,50.0,8185,2022-01-03
2022-01-10,57.95261001586914,59.349998474121094,60.0,53.0,54.0,11567,2022-01-10
2022-01-17,59.56376647949219,61.0,64.5,57.75,59.349998474121094,11504,2022-01-17
2022-01-24,62.00490188598633,63.5,63.75,58.900001525878906,61.0,8230,2022-01-24
2022-01-31,62.34666061401367,63.849998474121094,64.80000305175781,60.0,63.5,2324,2022-01-31
2022-02-07,58.587303161621094,60.0,63.79999923706055,59.0,61.0,1389,2022-02-07
2022-02-14,60.24728012084961,61.70000076293945,62.95000076293945,57.0,61.20000076293945,2880,2022-02-14
2022-02-21,57.65967559814453,59.04999923706055,64.9000015258789,56.099998474121094,62.0,5193,2022-02-21
2022-02-28,58.587303161621094,60.0,60.04999923706055,56.04999923706055,56.099998474121094,276,2022-02-28
2022-03-07,61.51667404174805,63.0,65.4000015258789,57.0,60.0,2871,2022-03-07
2022-03-14,61.51667404174805,63.0,66.0,58.54999923706055,66.0,5973,2022-03-14
2022-03-21,59.51494216918945,60.95000076293945,64.6500015258789,58.0,64.6500015258789,2957,2022-03-21
2022-03-28,55.560298919677734,56.900001525878906,61.0,56.0,59.75,3021,2022-03-28
