Date,Adj Close_INOXINDIA.NS,Close_INOXINDIA.NS,High_INOXINDIA.NS,Low_INOXINDIA.NS,Open_INOXINDIA.NS,Volume_INOXINDIA.NS,Date
2023-12-18,909.1638793945312,910.6500244140625,990.0,855.0999755859375,949.6500244140625,31384139,2023-12-18
2023-12-25,881.1596069335938,882.5999755859375,944.3499755859375,876.5999755859375,910.6500244140625,6836776,2023-12-25
2024-01-01,887.0999145507812,888.5499877929688,912.8499755859375,865.0499877929688,884.9000244140625,2970892,2024-01-01
2024-01-08,876.46728515625,877.9000244140625,893.25,858.0999755859375,888.5499877929688,1827673,2024-01-08
2024-01-15,869.2291259765625,870.6500244140625,889.5,839.5499877929688,877.9000244140625,1285667,2024-01-15
2024-01-22,852.2069091796875,853.5999755859375,872.0,801.5499877929688,870.6500244140625,1608309,2024-01-22
2024-01-29,905.4199829101562,906.9000244140625,943.7999877929688,859.1500244140625,863.4000244140625,4220174,2024-01-29
2024-02-05,1013.9924926757812,1015.6500244140625,1089.5,901.4000244140625,908.0,10529737,2024-02-05
2024-02-12,1174.2305908203125,1176.1500244140625,1225.0,936.6500244140625,1022.5,11088836,2024-02-12
2024-02-19,1274.5665283203125,1276.6500244140625,1294.0,1095.199951171875,1175.0,3757858,2024-02-19
2024-02-26,1233.8331298828125,1235.8499755859375,1323.0,1163.0,1290.0,3132213,2024-02-26
2024-03-04,1158.007080078125,1159.9000244140625,1279.6500244140625,1110.0,1279.6500244140625,1875820,2024-03-04
2024-03-11,1154.9122314453125,1156.800048828125,1199.0,1060.1500244140625,1125.0,2695857,2024-03-11
2024-03-18,1150.4195556640625,1152.300048828125,1197.9000244140625,1080.0,1162.0,1988780,2024-03-18
2024-03-25,1220.6546630859375,1222.6500244140625,1259.75,1108.5,1152.300048828125,2042085,2024-03-25
2024-04-01,1419.8291015625,1422.1500244140625,1434.0,1185.0,1234.0,6518586,2024-04-01
2024-04-08,1354.2362060546875,1356.449951171875,1424.0,1342.0,1421.0,1914073,2024-04-08
2024-04-15,1333.570068359375,1335.75,1373.550048828125,1274.25,1323.800048828125,2154414,2024-04-15
2024-04-22,1367.9139404296875,1370.1500244140625,1445.0,1335.75,1361.0,2850395,2024-04-22
2024-04-29,1388.3804931640625,1390.6500244140625,1473.0,1344.0,1377.699951171875,2182467,2024-04-29
2024-05-06,1298.4276123046875,1300.550048828125,1417.0,1279.0999755859375,1403.0,1794425,2024-05-06
2024-05-13,1337.9129638671875,1340.0999755859375,1353.4000244140625,1251.199951171875,1304.949951171875,2316428,2024-05-13
2024-05-20,1262.186767578125,1264.25,1359.949951171875,1253.1500244140625,1340.0999755859375,1268929,2024-05-20
2024-05-27,1257.893798828125,1259.949951171875,1284.699951171875,1197.0999755859375,1271.4000244140625,2148412,2024-05-27
2024-06-03,1256.595947265625,1258.6500244140625,1337.5999755859375,1111.1500244140625,1284.5,2088612,2024-06-03
2024-06-10,1332.4219970703125,1334.5999755859375,1354.0,1255.5,1270.0,1128545,2024-06-10
2024-06-17,1304.0682373046875,1306.199951171875,1405.0,1299.75,1334.5999755859375,1263275,2024-06-17
2024-06-24,1313.3531494140625,1315.5,1335.800048828125,1286.050048828125,1304.0,1093935,2024-06-24
2024-07-01,1439.447021484375,1441.800048828125,1465.0,1311.6500244140625,1316.0,2483456,2024-07-01
2024-07-08,1317.14697265625,1319.300048828125,1506.9000244140625,1310.0,1450.0999755859375,1641322,2024-07-08
2024-07-15,1262.935546875,1265.0,1348.1500244140625,1258.25,1327.0,772078,2024-07-15
2024-07-22,1279.5084228515625,1281.5999755859375,1323.0,1221.050048828125,1264.949951171875,1000650,2024-07-22
2024-07-29,1290.6402587890625,1292.75,1332.0,1287.0,1290.0,881398,2024-07-29
2024-08-05,1204.5809326171875,1206.550048828125,1283.9000244140625,1161.5,1280.0,1265144,2024-08-05
2024-08-12,1187.0595703125,1189.0,1250.0,1162.0,1200.050048828125,1081223,2024-08-12
2024-08-19,1210.7708740234375,1212.75,1227.0,1179.9000244140625,1190.0,642037,2024-08-19
2024-08-26,1174.2305908203125,1176.1500244140625,1219.949951171875,1165.0999755859375,1219.949951171875,794261,2024-08-26
2024-09-02,1180.9195556640625,1182.8499755859375,1189.9000244140625,1159.0,1180.0,731058,2024-09-02
2024-09-09,1177.02587890625,1178.949951171875,1247.0,1153.550048828125,1175.0,1542467,2024-09-09
2024-09-16,1092.2645263671875,1094.050048828125,1192.0,1079.550048828125,1192.0,1457414,2024-09-16
2024-09-23,1163.69775390625,1165.5999755859375,1173.8499755859375,1095.75,1104.949951171875,926685,2024-09-23
2024-09-30,1140.3858642578125,1142.25,1180.0,1107.949951171875,1165.0,642917,2024-09-30
2024-10-07,1174.080810546875,1176.0,1200.0,1085.0,1142.1500244140625,901051,2024-10-07
2024-10-14,1144.8785400390625,1146.75,1200.0,1134.550048828125,1180.0,475026,2024-10-14
2024-10-21,1084.1278076171875,1085.9000244140625,1158.050048828125,1063.25,1140.0,516789,2024-10-21
