Date,Adj Close_HSCL.NS,Close_HSCL.NS,High_HSCL.NS,Low_HSCL.NS,Open_HSCL.NS,Volume_HSCL.NS,Date
2020-07-13,49.5271110534668,50.150001525878906,52.79999923706055,48.5,51.900001525878906,4927295,2020-07-13
2020-07-20,44.93486404418945,45.5,52.5,42.0,50.25,9071021,2020-07-20
2020-07-27,42.26839828491211,42.79999923706055,45.849998474121094,42.45000076293945,45.849998474121094,3628631,2020-07-27
2020-08-03,45.5767936706543,46.150001525878906,46.79999923706055,41.95000076293945,42.54999923706055,4894657,2020-08-03
2020-08-10,44.44107437133789,45.0,48.0,44.599998474121094,46.400001525878906,4431256,2020-08-10
2020-08-17,59.79793167114258,60.54999923706055,63.900001525878906,44.54999923706055,45.20000076293945,43988916,2020-08-17
2020-08-24,55.008174896240234,55.70000076293945,62.79999923706055,55.25,62.599998474121094,13335457,2020-08-24
2020-08-31,54.02059555053711,54.70000076293945,57.54999923706055,49.20000076293945,56.29999923706055,11471089,2020-08-31
2020-09-07,50.415931701660156,51.04999923706055,55.0,49.5,55.0,6252312,2020-09-07
2020-09-14,51.60102844238281,52.25,55.900001525878906,51.349998474121094,51.400001525878906,6433197,2020-09-14
2020-09-21,50.31035614013672,50.79999923706055,54.79999923706055,48.0,53.099998474121094,5795316,2020-09-21
2020-09-28,53.429996490478516,53.95000076293945,59.5,51.150001525878906,51.599998474121094,15056336,2020-09-28
2020-10-05,50.5084228515625,51.0,55.0,50.79999923706055,54.400001525878906,4243407,2020-10-05
2020-10-12,49.41903305053711,49.900001525878906,51.79999923706055,48.79999923706055,51.400001525878906,3219689,2020-10-12
2020-10-19,49.6666259765625,50.150001525878906,50.599998474121094,49.150001525878906,50.349998474121094,2551555,2020-10-19
2020-10-26,46.69553756713867,47.150001525878906,52.349998474121094,47.0,50.20000076293945,4612228,2020-10-26
2020-11-02,44.566261291503906,45.0,47.599998474121094,44.599998474121094,47.0,3960236,2020-11-02
2020-11-09,46.2498779296875,46.70000076293945,47.70000076293945,45.0,45.400001525878906,5860944,2020-11-09
2020-11-16,38.87168502807617,39.25,47.150001525878906,38.900001525878906,46.599998474121094,44724718,2020-11-16
2020-11-23,40.60481262207031,41.0,42.650001525878906,37.5,39.29999923706055,31049977,2020-11-23
2020-11-30,43.08071517944336,43.5,44.599998474121094,41.0,41.0,17007238,2020-11-30
2020-12-07,41.89228439331055,42.29999923706055,44.54999923706055,41.75,43.900001525878906,13933081,2020-12-07
2020-12-14,44.417701721191406,44.849998474121094,47.349998474121094,42.5,42.599998474121094,22921156,2020-12-14
2020-12-21,41.49613952636719,41.900001525878906,44.70000076293945,38.79999923706055,44.70000076293945,13482636,2020-12-21
2020-12-28,43.87300109863281,44.29999923706055,44.75,41.95000076293945,42.349998474121094,13691617,2020-12-28
2021-01-04,50.161800384521484,50.650001525878906,51.70000076293945,44.04999923706055,45.0,45284722,2021-01-04
2021-01-11,50.5084228515625,51.0,54.349998474121094,48.349998474121094,51.349998474121094,42026459,2021-01-11
2021-01-18,46.79457473754883,47.25,50.95000076293945,46.400001525878906,50.95000076293945,14852297,2021-01-18
2021-01-25,44.417701721191406,44.849998474121094,48.099998474121094,43.79999923706055,47.75,9731265,2021-01-25
2021-02-01,46.79457473754883,47.25,48.54999923706055,44.45000076293945,45.29999923706055,12274555,2021-02-01
2021-02-08,45.06144332885742,45.5,49.400001525878906,44.650001525878906,47.599998474121094,15376490,2021-02-08
2021-02-15,45.011924743652344,45.45000076293945,46.75,44.400001525878906,45.900001525878906,11532855,2021-02-15
2021-02-22,51.795902252197266,52.29999923706055,56.400001525878906,39.70000076293945,45.75,233743743,2021-02-22
2021-03-01,45.259517669677734,45.70000076293945,55.0,43.75,53.70000076293945,157786328,2021-03-01
2021-03-08,45.110958099365234,45.54999923706055,47.70000076293945,44.599998474121094,46.20000076293945,29174398,2021-03-08
2021-03-15,42.09035873413086,42.5,46.45000076293945,40.5,45.900001525878906,29855251,2021-03-15
2021-03-22,41.050479888916016,41.45000076293945,43.95000076293945,41.099998474121094,42.79999923706055,18676571,2021-03-22
2021-03-29,43.57590103149414,44.0,44.5,41.25,41.45000076293945,11855623,2021-03-29
2021-04-05,44.566261291503906,45.0,46.70000076293945,42.0,43.650001525878906,35138248,2021-04-05
2021-04-12,42.58553695678711,43.0,43.70000076293945,41.599998474121094,43.20000076293945,33146771,2021-04-12
2021-04-19,44.02156066894531,44.45000076293945,45.900001525878906,41.099998474121094,41.75,26433598,2021-04-19
2021-04-26,44.17011260986328,44.599998474121094,47.70000076293945,44.20000076293945,44.849998474121094,29864541,2021-04-26
2021-05-03,48.2306022644043,48.70000076293945,49.75,44.04999923706055,44.599998474121094,49060487,2021-05-03
2021-05-10,49.56758117675781,50.04999923706055,53.5,49.150001525878906,49.29999923706055,68944841,2021-05-10
2021-05-17,49.2209587097168,49.70000076293945,52.25,48.79999923706055,50.650001525878906,32531262,2021-05-17
2021-05-24,51.399757385253906,51.900001525878906,56.099998474121094,49.29999923706055,50.0,81803986,2021-05-24
2021-05-31,50.656982421875,51.150001525878906,53.45000076293945,50.70000076293945,51.900001525878906,35038231,2021-05-31
2021-06-07,54.3708381652832,54.900001525878906,58.45000076293945,51.20000076293945,51.650001525878906,87078220,2021-06-07
2021-06-14,55.75734329223633,56.29999923706055,62.150001525878906,52.150001525878906,54.900001525878906,168200414,2021-06-14
2021-06-21,58.4808349609375,59.04999923706055,62.29999923706055,54.150001525878906,55.0,79091176,2021-06-21
2021-06-28,54.7669792175293,55.29999923706055,61.0,54.0,59.599998474121094,54049687,2021-06-28
2021-07-05,54.32132339477539,54.849998474121094,57.650001525878906,54.349998474121094,55.79999923706055,31020813,2021-07-05
2021-07-12,53.87565612792969,54.400001525878906,56.849998474121094,54.20000076293945,55.25,26527848,2021-07-12
2021-07-19,53.38047409057617,53.900001525878906,55.70000076293945,50.849998474121094,54.0,22994280,2021-07-19
2021-07-26,51.399757385253906,51.900001525878906,53.79999923706055,50.79999923706055,53.54999923706055,57510733,2021-07-26
2021-08-02,50.5084228515625,51.0,52.45000076293945,47.29999923706055,52.349998474121094,34754036,2021-08-02
2021-08-09,49.518070220947266,50.0,52.599998474121094,46.29999923706055,51.95000076293945,29612927,2021-08-09
2021-08-16,44.17011260986328,44.599998474121094,50.400001525878906,44.099998474121094,50.400001525878906,13827481,2021-08-16
2021-08-23,45.754695892333984,46.20000076293945,46.79999923706055,42.0,44.75,18744765,2021-08-23
2021-08-30,46.3984260559082,46.849998474121094,48.45000076293945,46.20000076293945,46.599998474121094,15399165,2021-08-30
2021-09-06,45.90324783325195,46.349998474121094,47.29999923706055,45.349998474121094,47.0,8346794,2021-09-06
2021-09-13,49.56758117675781,50.04999923706055,50.900001525878906,46.349998474121094,46.45000076293945,29993269,2021-09-13
2021-09-20,51.84541320800781,52.349998474121094,55.650001525878906,47.849998474121094,49.0,72514257,2021-09-20
2021-09-27,51.21134567260742,51.54999923706055,53.95000076293945,50.5,52.75,25474693,2021-09-27
2021-10-04,51.608726501464844,51.95000076293945,56.099998474121094,51.79999923706055,51.900001525878906,39349378,2021-10-04
2021-10-11,50.317264556884766,50.650001525878906,52.45000076293945,50.25,52.29999923706055,18328122,2021-10-11
2021-10-18,55.13540267944336,55.5,58.70000076293945,49.400001525878906,51.150001525878906,114220778,2021-10-18
2021-10-25,52.30412673950195,52.650001525878906,55.900001525878906,49.75,55.650001525878906,48558430,2021-10-25
2021-11-01,51.4100341796875,51.75,53.849998474121094,50.849998474121094,52.79999923706055,18837635,2021-11-01
2021-11-08,51.012664794921875,51.349998474121094,53.79999923706055,51.0,52.0,20504052,2021-11-08
2021-11-15,46.54222869873047,46.849998474121094,50.349998474121094,43.0,50.0,20081663,2021-11-15
2021-11-22,46.09518814086914,46.400001525878906,47.75,45.150001525878906,47.25,19026363,2021-11-22
2021-11-29,45.35011291503906,45.650001525878906,46.45000076293945,44.0,46.04999923706055,12546659,2021-11-29
2021-12-06,46.14485549926758,46.45000076293945,47.45000076293945,45.099998474121094,45.70000076293945,16318088,2021-12-06
