Date,Adj Close_GNA.NS,Close_GNA.NS,High_GNA.NS,Low_GNA.NS,Open_GNA.NS,Volume_GNA.NS,Date
2020-07-13,86.26155090332031,88.5999984741211,92.42500305175781,86.0,89.44999694824219,494282,2020-07-13
2020-07-20,85.53134155273438,87.8499984741211,95.5,85.05000305175781,88.25,1003674,2020-07-20
2020-07-27,83.70584106445312,85.9749984741211,89.5999984741211,85.6500015258789,88.4749984741211,217692,2020-07-27
2020-08-03,103.08060455322266,105.875,107.5,85.8499984741211,85.8499984741211,4670526,2020-08-03
2020-08-10,97.72577667236328,100.375,108.5,97.55000305175781,106.42500305175781,814354,2020-08-10
2020-08-17,109.2386703491211,112.19999694824219,121.94999694824219,99.0,101.57499694824219,2764724,2020-08-17
2020-08-24,113.86329650878906,116.94999694824219,128.4499969482422,110.5,112.625,1820154,2020-08-24
2020-08-31,110.67475128173828,113.67500305175781,119.9749984741211,107.0,119.19999694824219,630604,2020-08-31
2020-09-07,104.46800231933594,107.30000305175781,117.1500015258789,105.875,115.3499984741211,308014,2020-09-07
2020-09-14,116.90582275390625,120.07499694824219,128.0,109.42500305175781,109.44999694824219,919792,2020-09-14
2020-09-21,106.00143432617188,108.875,122.25,103.6500015258789,117.5250015258789,443960,2020-09-21
2020-09-28,109.67679595947266,112.6500015258789,116.4000015258789,109.0,109.5,172182,2020-09-28
2020-10-05,116.10260009765625,119.25,119.92500305175781,111.19999694824219,117.44999694824219,482126,2020-10-05
2020-10-12,116.24864196777344,119.4000015258789,134.85000610351562,117.5999984741211,120.17500305175781,2075002,2020-10-12
2020-10-19,120.58118438720703,123.8499984741211,128.85000610351562,118.67500305175781,120.25,452296,2020-10-19
2020-10-26,111.28324890136719,114.30000305175781,123.69999694824219,112.67500305175781,123.69999694824219,193528,2020-10-26
2020-11-02,112.18383026123047,115.2249984741211,118.44999694824219,113.0,115.5,187554,2020-11-02
2020-11-09,120.24043273925781,123.5,127.4749984741211,113.5,116.4000015258789,430070,2020-11-09
2020-11-16,123.38030242919922,126.7249984741211,131.47500610351562,122.67500305175781,125.4749984741211,510740,2020-11-16
2020-11-23,123.98882293701172,127.3499984741211,132.0,124.55000305175781,127.92500305175781,324688,2020-11-23
2020-11-30,129.1245880126953,132.625,137.5,125.42500305175781,127.3499984741211,635728,2020-11-30
2020-12-07,126.22810363769531,129.64999389648438,135.0,126.5250015258789,133.35000610351562,455906,2020-12-07
2020-12-14,127.90760040283203,131.375,135.27499389648438,126.625,128.64999389648438,411980,2020-12-14
2020-12-21,122.89350891113281,126.2249984741211,130.60000610351562,114.32499694824219,129.5,325208,2020-12-21
2020-12-28,130.3415985107422,133.875,139.0,126.0,126.0,1500352,2020-12-28
2021-01-04,157.3348388671875,161.60000610351562,163.85000610351562,135.5749969482422,136.0,2921188,2021-01-04
2021-01-11,182.81898498535156,187.77499389648438,211.9499969482422,158.52499389648438,163.3000030517578,9547384,2021-01-11
2021-01-18,187.83306884765625,192.9250030517578,198.75,175.6750030517578,189.0,1741332,2021-01-18
2021-01-25,177.318115234375,182.125,196.375,179.6750030517578,194.0,644116,2021-01-25
2021-02-01,183.45184326171875,188.4250030517578,200.0,179.8249969482422,182.5,863182,2021-02-01
2021-02-08,196.5225067138672,201.85000610351562,213.35000610351562,180.1750030517578,189.85000610351562,1951422,2021-02-08
2021-02-15,198.95652770996094,204.35000610351562,215.0,192.5749969482422,202.75,1613442,2021-02-15
2021-02-22,187.83306884765625,192.9250030517578,209.4499969482422,166.8000030517578,204.52499389648438,1242962,2021-02-22
2021-03-01,192.1412811279297,197.35000610351562,207.0,192.60000610351562,196.5,807084,2021-03-01
2021-03-08,189.48818969726562,194.625,200.72500610351562,192.3249969482422,198.89999389648438,544600,2021-03-08
2021-03-15,181.504638671875,186.4250030517578,196.75,177.10000610351562,195.97500610351562,523498,2021-03-15
