Date,Adj Close_SYMPHONY.NS,Close_SYMPHONY.NS,High_SYMPHONY.NS,Low_SYMPHONY.NS,Open_SYMPHONY.NS,Volume_SYMPHONY.NS,Date
2020-07-13,816.6842041015625,852.3499755859375,884.0,845.0499877929688,884.0,71068,2020-07-13
2020-07-20,810.5520629882812,845.9500122070312,885.25,842.0,856.0,105587,2020-07-20
2020-07-27,810.168701171875,845.5499877929688,875.0,835.0,850.2000122070312,106902,2020-07-27
2020-08-03,812.9954223632812,848.5,865.0,835.0,849.7999877929688,170238,2020-08-03
2020-08-10,798.7188720703125,833.5999755859375,874.9000244140625,820.0,848.5,291180,2020-08-10
2020-08-17,855.6812133789062,893.0499877929688,906.0,835.0,854.0,526193,2020-08-17
2020-08-24,863.442138671875,901.1500244140625,936.0,876.5,918.0,618311,2020-08-24
2020-08-31,812.5162353515625,848.0,905.7000122070312,836.2000122070312,903.0499877929688,256243,2020-08-31
2020-09-07,799.6290283203125,834.5499877929688,868.25,820.4000244140625,849.0,109157,2020-09-07
2020-09-14,873.4070434570312,911.5499877929688,935.0,840.0,840.0,314879,2020-09-14
2020-09-21,822.6727294921875,858.5999755859375,925.0,835.0,918.7000122070312,207339,2020-09-21
2020-09-28,874.173583984375,912.3499755859375,970.3499755859375,865.3499755859375,873.9500122070312,586036,2020-09-28
2020-10-05,825.3556518554688,861.4000244140625,919.6500244140625,850.5499877929688,915.0,241385,2020-10-05
2020-10-12,802.8868408203125,837.9500122070312,888.0,833.0,888.0,137774,2020-10-12
2020-10-19,830.5775756835938,866.8499755859375,872.0,835.5,845.0,177684,2020-10-19
2020-10-26,810.216552734375,845.5999755859375,881.0,841.0,867.0,88317,2020-10-26
2020-11-02,810.6957397460938,846.0999755859375,854.0,834.0999755859375,849.8499755859375,191991,2020-11-02
2020-11-09,803.0304565429688,838.0999755859375,855.0,820.4000244140625,855.0,207273,2020-11-09
2020-11-16,801.784912109375,836.7999877929688,855.0,827.9500122070312,827.9500122070312,169837,2020-11-16
2020-11-23,808.8753662109375,844.2000122070312,856.0,830.0999755859375,846.7999877929688,235178,2020-11-23
2020-11-30,835.3203125,871.7999877929688,891.7000122070312,820.0,844.2000122070312,1284573,2020-11-30
2020-12-07,865.4544067382812,903.25,921.25,875.0,884.7000122070312,1015886,2020-12-07
2020-12-14,896.594482421875,935.75,957.9500122070312,907.5999755859375,910.0,622862,2020-12-14
2020-12-21,943.2566528320312,984.4500122070312,1009.5,870.0,928.2000122070312,961797,2020-12-21
2020-12-28,979.4270629882812,1022.2000122070312,1046.6500244140625,994.4000244140625,1019.7000122070312,722649,2020-12-28
2021-01-04,1008.842529296875,1052.9000244140625,1066.75,1010.0499877929688,1039.0,284049,2021-01-04
2021-01-11,988.0025024414062,1031.1500244140625,1108.449951171875,1024.0,1050.0,324691,2021-01-11
2021-01-18,949.1973876953125,990.6500244140625,1073.0,950.1500244140625,1035.0,541089,2021-01-18
2021-01-25,962.08447265625,1004.0999755859375,1040.0,961.0,995.0,291166,2021-01-25
2021-02-01,959.018310546875,1000.9000244140625,1038.9000244140625,990.0,1002.0,182093,2021-02-01
2021-02-08,1021.7411499023438,1065.300048828125,1083.6500244140625,1001.0499877929688,1005.7999877929688,863980,2021-02-08
2021-02-15,1002.2711791992188,1045.0,1080.0,1038.449951171875,1070.9000244140625,241732,2021-02-15
2021-02-22,1075.7872314453125,1121.6500244140625,1169.699951171875,1021.0,1039.0,932261,2021-02-22
2021-03-01,1298.492919921875,1353.8499755859375,1528.800048828125,1145.199951171875,1152.0,3036896,2021-03-01
2021-03-08,1287.1751708984375,1342.050048828125,1385.0,1321.050048828125,1381.0,151064,2021-03-08
2021-03-15,1203.01318359375,1254.300048828125,1350.0,1166.4000244140625,1350.0,191758,2021-03-15
2021-03-22,1213.5634765625,1265.300048828125,1334.3499755859375,1234.5,1265.0,214048,2021-03-22
2021-03-29,1241.0418701171875,1293.949951171875,1314.0,1250.0,1265.300048828125,100131,2021-03-29
2021-04-05,1249.626220703125,1302.9000244140625,1350.0,1251.0,1296.9000244140625,234771,2021-04-05
2021-04-12,1143.787841796875,1192.550048828125,1290.0,1162.699951171875,1290.0,191476,2021-04-12
2021-04-19,1140.04736328125,1188.6500244140625,1355.0,1100.0,1150.0,1613466,2021-04-19
2021-04-26,1128.5379638671875,1176.6500244140625,1322.0,1170.0,1190.949951171875,1353674,2021-04-26
2021-05-03,1054.014892578125,1098.949951171875,1194.949951171875,1090.0999755859375,1165.0,603207,2021-05-03
2021-05-10,1016.5140380859375,1059.8499755859375,1120.0,1054.5,1120.0,277568,2021-05-10
2021-05-17,1038.9571533203125,1083.25,1123.0,1059.8499755859375,1083.0,547445,2021-05-17
2021-05-24,1042.2657470703125,1086.699951171875,1180.699951171875,1081.1500244140625,1100.0,494804,2021-05-24
2021-05-31,1027.3038330078125,1071.0999755859375,1098.199951171875,1062.0,1080.0,516973,2021-05-31
2021-06-07,1029.4141845703125,1073.300048828125,1095.0,1063.0,1080.0,769468,2021-06-07
2021-06-14,1027.6397705078125,1071.449951171875,1149.0,1064.050048828125,1083.0,1344053,2021-06-14
2021-06-21,986.49365234375,1028.550048828125,1083.8499755859375,1025.0,1062.0,571279,2021-06-21
2021-06-28,977.813720703125,1019.5,1060.0,1015.0,1037.9000244140625,546122,2021-06-28
2021-07-05,1028.9822998046875,1072.8499755859375,1080.0,1019.0,1028.949951171875,757113,2021-07-05
2021-07-12,1028.454833984375,1072.300048828125,1095.0,1050.5,1086.25,484619,2021-07-12
2021-07-19,1025.721435546875,1069.449951171875,1129.4000244140625,1055.0999755859375,1071.0,971295,2021-07-19
2021-07-26,903.3386840820312,941.8499755859375,1048.0,938.0,1030.0,889320,2021-07-26
2021-08-02,909.1258544921875,943.9000244140625,967.8499755859375,910.2000122070312,953.5499877929688,397693,2021-08-02
2021-08-09,887.88818359375,921.8499755859375,955.0,890.0,945.0,369292,2021-08-09
2021-08-16,877.6787109375,911.25,946.0,897.6500244140625,920.0499877929688,205720,2021-08-16
2021-08-23,913.3156127929688,948.25,953.5499877929688,895.0,927.7000122070312,244441,2021-08-23
2021-08-30,931.7601318359375,967.4000244140625,997.0,944.0,959.9000244140625,467003,2021-08-30
2021-09-06,966.0484619140625,1003.0,1035.9000244140625,970.0499877929688,978.0,932988,2021-09-06
2021-09-13,989.4052734375,1027.25,1040.0,989.0499877929688,990.0999755859375,505314,2021-09-13
2021-09-20,1021.5747680664062,1060.6500244140625,1064.5,991.2000122070312,1027.25,664776,2021-09-20
2021-09-27,1025.8125,1065.050048828125,1080.0,1032.0,1065.0,386691,2021-09-27
2021-10-04,1031.447021484375,1070.9000244140625,1101.0,1045.0,1060.0,366377,2021-10-04
2021-10-11,1032.8916015625,1072.4000244140625,1089.0,1051.0,1082.0,162165,2021-10-11
2021-10-18,1005.77880859375,1044.25,1110.0,1022.9000244140625,1075.0,497142,2021-10-18
2021-10-25,996.8212890625,1034.949951171875,1106.5,1008.0,1052.949951171875,346783,2021-10-25
2021-11-01,1011.076416015625,1049.75,1060.949951171875,1015.6500244140625,1040.4000244140625,88957,2021-11-01
2021-11-08,1002.2877807617188,1038.5999755859375,1063.9000244140625,1031.25,1051.550048828125,96676,2021-11-08
2021-11-15,989.4528198242188,1025.300048828125,1046.3499755859375,1011.4000244140625,1038.5999755859375,86099,2021-11-15
2021-11-22,959.29541015625,994.0499877929688,1032.25,982.0,1003.0,133248,2021-11-22
2021-11-29,954.084228515625,988.6500244140625,998.0,900.1500244140625,955.0,131566,2021-11-29
2021-12-06,944.2889404296875,978.5,1000.0,944.0999755859375,979.7000122070312,105659,2021-12-06
2021-12-13,944.9644775390625,979.2000122070312,1028.5,975.0499877929688,978.0,380336,2021-12-13
