Date,Adj Close_HERANBA.NS,Close_HERANBA.NS,High_HERANBA.NS,Low_HERANBA.NS,Open_HERANBA.NS,Volume_HERANBA.NS,Date
2021-03-01,804.0734252929688,812.5999755859375,945.0,796.5499877929688,900.0,16523452,2021-03-01
2021-03-08,753.7569580078125,761.75,836.9500122070312,731.2000122070312,826.0,8951091,2021-03-08
2021-03-15,632.6908569335938,639.4000244140625,763.6500244140625,627.0499877929688,760.9000244140625,3668708,2021-03-15
2021-03-22,623.7357177734375,630.3499755859375,668.6500244140625,627.0,640.0,2012285,2021-03-22
2021-03-29,625.5169677734375,632.1500244140625,649.0,627.2000122070312,630.3499755859375,1172206,2021-03-29
2021-04-05,651.0956420898438,658.0,689.0,602.0999755859375,632.0,3309228,2021-04-05
2021-04-12,639.0731811523438,645.8499755859375,662.4000244140625,627.0999755859375,640.0,1153541,2021-04-12
2021-04-19,652.7283935546875,659.6500244140625,703.0,620.0499877929688,627.0999755859375,2647743,2021-04-19
2021-04-26,707.596435546875,715.0999755859375,728.0,661.9500122070312,668.0,2929962,2021-04-26
2021-05-03,700.719482421875,708.1500244140625,742.0,702.5499877929688,710.5,2059315,2021-05-03
2021-05-10,725.1107788085938,732.7999877929688,744.0,702.7999877929688,714.9000244140625,1568467,2021-05-10
2021-05-17,716.60107421875,724.2000122070312,769.7999877929688,716.3499755859375,740.0,2323048,2021-05-17
2021-05-24,720.41064453125,728.0499877929688,744.7000122070312,713.0,729.0,1359641,2021-05-24
2021-05-31,759.100341796875,767.1500244140625,789.7999877929688,721.9000244140625,735.0,2487226,2021-05-31
2021-06-07,760.8815307617188,768.9500122070312,822.9000244140625,760.0,774.0,4225388,2021-06-07
2021-06-14,705.4196166992188,712.9000244140625,789.7999877929688,687.6500244140625,775.1500244140625,1830182,2021-06-14
2021-06-21,695.2771606445312,702.6500244140625,729.0,686.2000122070312,703.4500122070312,822000,2021-06-21
2021-06-28,695.5740356445312,702.9500122070312,709.7999877929688,686.2000122070312,704.9500122070312,709946,2021-06-28
2021-07-05,708.8829345703125,716.4000244140625,753.8499755859375,706.75,709.7000122070312,1535473,2021-07-05
2021-07-12,716.7000122070312,724.2999877929688,739.9000244140625,713.0,716.5,529952,2021-07-12
2021-07-19,798.9775390625,807.4500122070312,828.0,719.0,724.0,3734711,2021-07-19
2021-07-26,801.40185546875,809.9000244140625,849.0,797.1500244140625,813.0,2129849,2021-07-26
2021-08-02,806.6956787109375,815.25,847.7999877929688,786.2000122070312,816.0,1574491,2021-08-02
2021-08-09,828.8111572265625,837.5999755859375,866.8499755859375,727.1500244140625,818.9000244140625,3759857,2021-08-09
