Date,Adj Close_SANSTAR.NS,Close_SANSTAR.NS,High_SANSTAR.NS,Low_SANSTAR.NS,Open_SANSTAR.NS,Volume_SANSTAR.NS,Date
2024-07-22,115.06999969482422,115.06999969482422,128.7899932861328,107.0999984741211,109.0,89682149,2024-07-22
2024-07-29,120.23999786376953,120.23999786376953,123.5,112.41999816894531,117.3499984741211,38307399,2024-07-29
2024-08-05,113.73999786376953,113.73999786376953,117.20999908447266,110.0,115.75,14200802,2024-08-05
2024-08-12,112.41000366210938,112.41000366210938,119.5,110.5,113.69999694824219,11166215,2024-08-12
2024-08-19,133.94000244140625,133.94000244140625,144.0,113.11000061035156,113.11000061035156,51085066,2024-08-19
2024-08-26,136.27999877929688,136.27999877929688,139.86000061035156,127.0999984741211,134.6199951171875,20369599,2024-08-26
2024-09-02,136.10000610351562,136.10000610351562,146.3000030517578,131.7899932861328,136.6999969482422,20140954,2024-09-02
2024-09-09,148.22999572753906,148.22999572753906,158.8000030517578,129.16000366210938,135.08999633789062,35529448,2024-09-09
2024-09-16,140.0,140.0,155.1999969482422,138.1999969482422,149.0,12784409,2024-09-16
2024-09-23,137.6300048828125,137.6300048828125,146.0,136.1199951171875,142.2100067138672,12214157,2024-09-23
2024-09-30,129.27000427246094,129.27000427246094,138.16000366210938,127.5,136.88999938964844,5750457,2024-09-30
2024-10-07,127.56999969482422,127.56999969482422,131.88999938964844,120.1500015258789,130.8000030517578,7747993,2024-10-07
2024-10-14,126.7699966430664,126.7699966430664,132.39999389648438,123.80000305175781,128.10000610351562,4257171,2024-10-14
2024-10-21,118.80000305175781,118.80000305175781,127.83000183105469,116.5,127.69999694824219,4959922,2024-10-21
2024-10-28,120.87999725341797,120.87999725341797,123.0,116.61000061035156,123.0,3478138,2024-10-28
2024-11-04,120.58000183105469,120.58000183105469,125.11000061035156,117.44999694824219,121.69999694824219,3865526,2024-11-04
2024-11-11,112.69000244140625,112.69000244140625,120.4800033569336,112.30000305175781,120.4800033569336,2243031,2024-11-11
2024-11-18,111.0,111.0,116.19000244140625,104.94999694824219,105.30000305175781,4717198,2024-11-18
2024-11-25,119.52999877929688,119.52999877929688,123.44999694824219,111.0999984741211,114.5,3241332,2024-11-25
2024-12-02,127.98999786376953,127.98999786376953,130.39999389648438,117.75,119.0,4811316,2024-12-02
2024-12-09,129.02000427246094,129.02000427246094,137.8000030517578,125.94000244140625,127.6500015258789,6280219,2024-12-09
2024-12-16,117.63999938964844,117.63999938964844,131.0399932861328,117.05000305175781,129.08999633789062,2112449,2024-12-16
2024-12-23,122.3499984741211,122.3499984741211,123.4000015258789,117.5,118.5999984741211,1765313,2024-12-23
2024-12-30,130.25,130.25,133.8000030517578,117.68000030517578,120.0,3546372,2024-12-30
