Date,Adj Close_REPRO.NS,Close_REPRO.NS,High_REPRO.NS,Low_REPRO.NS,Open_REPRO.NS,Volume_REPRO.NS,Date
2020-07-13,383.79998779296875,383.79998779296875,401.95001220703125,381.0,387.5,28819,2020-07-13
2020-07-20,364.70001220703125,364.70001220703125,397.3999938964844,362.0,397.3999938964844,21830,2020-07-20
2020-07-27,374.8500061035156,374.8500061035156,404.79998779296875,364.0,378.45001220703125,17678,2020-07-27
2020-08-03,384.45001220703125,384.45001220703125,397.0,362.54998779296875,373.75,19483,2020-08-03
2020-08-10,382.25,382.25,405.0,371.04998779296875,390.0,18396,2020-08-10
2020-08-17,386.8999938964844,386.8999938964844,400.0,371.0,379.04998779296875,30383,2020-08-17
2020-08-24,418.1000061035156,418.1000061035156,447.0,380.0,392.0,105380,2020-08-24
2020-08-31,397.79998779296875,397.79998779296875,426.0,376.0,425.0,20785,2020-08-31
2020-09-07,399.8999938964844,399.8999938964844,430.0,384.20001220703125,390.04998779296875,43258,2020-09-07
2020-09-14,408.79998779296875,408.79998779296875,456.79998779296875,399.0,409.0,57844,2020-09-14
2020-09-21,385.8999938964844,385.8999938964844,414.45001220703125,375.1499938964844,408.8500061035156,22345,2020-09-21
2020-09-28,383.1000061035156,383.1000061035156,397.5,380.04998779296875,382.20001220703125,12435,2020-09-28
2020-10-05,371.6499938964844,371.6499938964844,390.95001220703125,368.0,387.04998779296875,10657,2020-10-05
2020-10-12,376.20001220703125,376.20001220703125,380.0,361.0,379.29998779296875,9307,2020-10-12
2020-10-19,372.79998779296875,372.79998779296875,389.95001220703125,365.0,376.5,10432,2020-10-19
2020-10-26,352.5,352.5,375.8500061035156,337.6000061035156,373.0,16220,2020-10-26
2020-11-02,355.29998779296875,355.29998779296875,379.95001220703125,344.0,352.5,43848,2020-11-02
2020-11-09,372.70001220703125,372.70001220703125,399.0,335.04998779296875,351.0,43378,2020-11-09
2020-11-16,369.6499938964844,369.6499938964844,409.0,356.0,361.8999938964844,45092,2020-11-16
2020-11-23,350.70001220703125,350.70001220703125,377.95001220703125,346.70001220703125,377.95001220703125,40056,2020-11-23
