Date,Adj Close_VRLLOG.NS,Close_VRLLOG.NS,High_VRLLOG.NS,Low_VRLLOG.NS,Open_VRLLOG.NS,Volume_VRLLOG.NS,Date
2020-07-13,146.79226684570312,153.60000610351562,155.14999389648438,149.0500030517578,152.0500030517578,166318,2020-07-13
2020-07-20,143.8296661376953,150.5,157.75,149.10000610351562,155.0,311842,2020-07-20
2020-07-27,141.3448944091797,147.89999389648438,152.0,146.5500030517578,151.0500030517578,237465,2020-07-27
2020-08-03,141.63160705566406,148.1999969482422,151.1999969482422,144.0,144.0,255976,2020-08-03
2020-08-10,143.25625610351562,149.89999389648438,155.0,148.3000030517578,148.3000030517578,1063417,2020-08-10
2020-08-17,157.35250854492188,164.64999389648438,173.0,148.35000610351562,149.85000610351562,6571958,2020-08-17
2020-08-24,166.76596069335938,174.5,187.0,164.0,166.39999389648438,4583400,2020-08-24
2020-08-31,155.68006896972656,162.89999389648438,185.0,159.0,185.0,1035910,2020-08-31
2020-09-07,152.00071716308594,159.0500030517578,163.89999389648438,152.0500030517578,162.89999389648438,632581,2020-09-07
2020-09-14,159.35943603515625,166.75,169.3000030517578,160.14999389648438,160.85000610351562,825537,2020-09-14
2020-09-21,154.1510009765625,161.3000030517578,168.3000030517578,153.60000610351562,166.75,635623,2020-09-21
2020-09-28,158.54708862304688,165.89999389648438,170.5500030517578,161.10000610351562,162.14999389648438,632080,2020-09-28
2020-10-05,155.10667419433594,162.3000030517578,168.5,159.0500030517578,166.5500030517578,333838,2020-10-05
2020-10-12,149.42037963867188,156.35000610351562,164.85000610351562,152.25,164.85000610351562,355511,2020-10-12
2020-10-19,148.5602569580078,155.4499969482422,157.9499969482422,153.0,157.9499969482422,241798,2020-10-19
2020-10-26,143.11289978027344,149.75,164.5,149.25,155.0,554678,2020-10-26
2020-11-02,145.93214416503906,152.6999969482422,154.89999389648438,149.0,150.5,380859,2020-11-02
2020-11-09,161.5574951171875,169.0500030517578,170.6999969482422,153.5,157.0,1753396,2020-11-09
2020-11-16,168.10389709472656,175.89999389648438,193.0500030517578,165.5,165.5,3387349,2020-11-16
2020-11-23,171.4010009765625,179.35000610351562,184.0,168.89999389648438,176.10000610351562,1356200,2020-11-23
2020-11-30,178.5207977294922,186.8000030517578,189.9499969482422,178.25,179.35000610351562,1553512,2020-11-30
2020-12-07,197.25210571289062,206.39999389648438,214.25,187.0,187.0,3564743,2020-12-07
2020-12-14,190.65792846679688,199.5,211.1999969482422,197.0500030517578,208.89999389648438,1580448,2020-12-14
2020-12-21,189.79782104492188,198.60000610351562,200.60000610351562,171.75,199.64999389648438,1381558,2020-12-21
2020-12-28,196.9654083251953,206.10000610351562,207.5,199.0,201.9499969482422,1515712,2020-12-28
2021-01-04,195.7707977294922,204.85000610351562,209.6999969482422,200.89999389648438,208.5,1170000,2021-01-04
