Date,Adj Close_INNOVANA.NS,Close_INNOVANA.NS,High_INNOVANA.NS,Low_INNOVANA.NS,Open_INNOVANA.NS,Volume_INNOVANA.NS,Date
2020-07-13,47.59772491455078,48.32500076293945,53.5,48.32500076293945,53.5,58000,2020-07-13
2020-07-20,45.012229919433594,45.70000076293945,50.724998474121094,45.5,45.92499923706055,340000,2020-07-20
2020-07-27,43.09157943725586,43.75,47.974998474121094,42.5,47.974998474121094,140000,2020-07-27
2020-08-03,49.83848571777344,50.599998474121094,50.599998474121094,43.75,43.75,122000,2020-08-03
2020-08-10,52.32548522949219,53.125,58.54999923706055,52.349998474121094,53.125,74000,2020-08-10
2020-08-17,57.69346618652344,58.57500076293945,58.57500076293945,50.625,55.775001525878906,70000,2020-08-17
2020-08-24,59.294010162353516,60.20000076293945,61.5,57.150001525878906,61.5,40000,2020-08-24
2020-08-31,52.20236587524414,53.0,57.900001525878906,50.650001525878906,57.20000076293945,84000,2020-08-31
2020-09-07,60.57444763183594,61.5,61.5,55.650001525878906,55.650001525878906,38000,2020-09-07
2020-09-14,53.1380729675293,53.95000076293945,62.5,53.95000076293945,62.0,76000,2020-09-14
2020-09-21,50.50333023071289,51.275001525878906,51.275001525878906,51.275001525878906,51.275001525878906,2000,2020-09-21
2020-09-28,43.36244201660156,44.025001525878906,51.275001525878906,44.025001525878906,51.275001525878906,2000,2020-09-28
2020-10-05,36.76327133178711,37.32500076293945,41.82500076293945,35.900001525878906,41.82500076293945,246000,2020-10-05
2020-10-12,40.013607025146484,40.625,40.625,35.125,35.474998474121094,142000,2020-10-12
2020-10-19,39.81661605834961,40.42499923706055,42.650001525878906,38.5,42.650001525878906,10000,2020-10-19
2020-10-26,40.87543869018555,41.5,42.42499923706055,39.525001525878906,42.42499923706055,58000,2020-10-26
2020-11-02,40.85081100463867,41.474998474121094,41.5,39.5,41.5,10000,2020-11-02
2020-11-09,39.398014068603516,40.0,40.0,38.025001525878906,39.42499923706055,26000,2020-11-09
2020-11-16,39.15177917480469,39.75,40.0,37.875,40.0,16000,2020-11-16
2020-11-23,36.44316482543945,37.0,38.400001525878906,36.5,37.79999923706055,34000,2020-11-23
2020-11-30,38.70854949951172,39.29999923706055,39.29999923706055,36.0,37.0,26000,2020-11-30
2020-12-07,44.175018310546875,44.849998474121094,44.849998474121094,40.07500076293945,41.25,48000,2020-12-07
2020-12-14,39.8904914855957,40.5,44.849998474121094,40.5,44.849998474121094,18000,2020-12-14
