Date,Adj Close_POWERMECH.NS,Close_POWERMECH.NS,High_POWERMECH.NS,Low_POWERMECH.NS,Open_POWERMECH.NS,Volume_POWERMECH.NS,Date
2020-07-13,219.1750030517578,219.1750030517578,229.02499389648438,214.0,225.39999389648438,139714,2020-07-13
2020-07-20,225.10000610351562,225.10000610351562,237.5,220.5,220.8000030517578,478624,2020-07-20
2020-07-27,210.8000030517578,210.8000030517578,229.4499969482422,210.0,226.0,198384,2020-07-27
2020-08-03,203.1999969482422,203.1999969482422,213.875,202.0500030517578,207.5500030517578,334278,2020-08-03
2020-08-10,203.10000610351562,203.10000610351562,214.97500610351562,201.9250030517578,204.97500610351562,854754,2020-08-10
2020-08-17,217.5749969482422,217.5749969482422,228.5,199.14999389648438,210.0,2051946,2020-08-17
2020-08-24,234.5500030517578,234.5500030517578,278.3999938964844,219.0,219.5,2855608,2020-08-24
2020-08-31,222.75,222.75,238.375,209.5,234.5500030517578,846550,2020-08-31
2020-09-07,216.375,216.375,224.39999389648438,210.5,224.25,333560,2020-09-07
2020-09-14,216.9499969482422,216.9499969482422,224.64999389648438,210.10000610351562,216.5,732530,2020-09-14
2020-09-21,199.72500610351562,199.72500610351562,219.9499969482422,176.75,219.9499969482422,766872,2020-09-21
2020-09-28,203.02499389648438,203.02499389648438,209.60000610351562,199.75,201.9499969482422,257066,2020-09-28
2020-10-05,199.5,199.5,208.875,197.5,207.4499969482422,444492,2020-10-05
2020-10-12,192.625,192.625,203.5,190.5,201.5,244028,2020-10-12
2020-10-19,193.5,193.5,197.1999969482422,191.89999389648438,192.75,155472,2020-10-19
2020-10-26,188.27499389648438,188.27499389648438,195.64999389648438,185.5,195.64999389648438,96276,2020-10-26
2020-11-02,192.0,192.0,200.89999389648438,181.77499389648438,181.77499389648438,141880,2020-11-02
2020-11-09,186.125,186.125,197.5,180.10000610351562,192.10000610351562,306008,2020-11-09
2020-11-16,184.97500610351562,184.97500610351562,192.39999389648438,182.5749969482422,190.25,631518,2020-11-16
2020-11-23,212.6999969482422,212.6999969482422,216.9499969482422,185.3000030517578,187.0,3430886,2020-11-23
