Date,Adj Close_VRAJ.NS,Close_VRAJ.NS,High_VRAJ.NS,Low_VRAJ.NS,Open_VRAJ.NS,Volume_VRAJ.NS,Date
2024-07-01,260.1400146484375,260.1400146484375,273.0,240.0,240.0,4072959,2024-07-01
2024-07-08,233.07000732421875,233.07000732421875,259.8900146484375,226.0500030517578,259.8900146484375,1810340,2024-07-08
2024-07-15,236.1699981689453,236.1699981689453,256.6499938964844,233.0,236.9499969482422,2413644,2024-07-15
2024-07-22,238.5500030517578,238.5500030517578,250.99000549316406,225.00999450683594,236.1699981689453,951332,2024-07-22
2024-07-29,226.30999755859375,226.30999755859375,241.99000549316406,220.0,241.8000030517578,1011886,2024-07-29
2024-08-05,222.38999938964844,222.38999938964844,230.60000610351562,210.85000610351562,224.25,1016360,2024-08-05
2024-08-12,214.61000061035156,214.61000061035156,222.97000122070312,212.0,220.0,434942,2024-08-12
2024-08-19,221.14999389648438,221.14999389648438,224.49000549316406,209.89999389648438,218.89999389648438,741976,2024-08-19
2024-08-26,217.24000549316406,217.24000549316406,227.5,215.5,223.4499969482422,661031,2024-08-26
2024-09-02,214.60000610351562,214.60000610351562,225.10000610351562,213.30999755859375,220.0,849633,2024-09-02
2024-09-09,258.04998779296875,258.04998779296875,276.8399963378906,210.67999267578125,212.27000427246094,12612565,2024-09-09
2024-09-16,246.52999877929688,246.52999877929688,260.0,240.4499969482422,259.0199890136719,2051758,2024-09-16
2024-09-23,271.3599853515625,271.3599853515625,296.70001220703125,246.89999389648438,248.0,8547389,2024-09-23
2024-09-30,252.64999389648438,252.64999389648438,290.0,244.60000610351562,275.0,3178185,2024-09-30
2024-10-07,243.4499969482422,243.4499969482422,254.4499969482422,225.9499969482422,253.0,2088319,2024-10-07
2024-10-14,238.3000030517578,238.3000030517578,247.39999389648438,228.14999389648438,245.0,638364,2024-10-14
2024-10-21,222.6999969482422,222.6999969482422,239.89999389648438,215.5,238.5500030517578,748283,2024-10-21
2024-10-28,228.0,228.0,239.5500030517578,219.0500030517578,226.4499969482422,768116,2024-10-28
2024-11-04,232.5500030517578,232.5500030517578,246.10000610351562,221.41000366210938,229.9499969482422,983226,2024-11-04
2024-11-11,218.69000244140625,218.69000244140625,237.88999938964844,212.14999389648438,237.88999938964844,466129,2024-11-11
2024-11-18,216.5800018310547,216.5800018310547,224.0,211.2100067138672,216.1999969482422,321691,2024-11-18
2024-11-25,222.39999389648438,222.39999389648438,226.0,213.61000061035156,223.8000030517578,402761,2024-11-25
2024-12-02,228.8300018310547,228.8300018310547,231.39999389648438,220.25,222.0,428028,2024-12-02
2024-12-09,232.52000427246094,232.52000427246094,255.8800048828125,225.30999755859375,232.0,2301984,2024-12-09
2024-12-16,224.5500030517578,224.5500030517578,239.52000427246094,214.14999389648438,233.39999389648438,549932,2024-12-16
2024-12-23,222.69000244140625,222.69000244140625,235.7899932861328,221.25999450683594,225.99000549316406,838998,2024-12-23
2024-12-30,222.1699981689453,222.1699981689453,227.6999969482422,217.85000610351562,223.64999389648438,281789,2024-12-30
2025-01-06,215.9199981689453,215.9199981689453,224.89999389648438,211.05999755859375,223.6999969482422,428692,2025-01-06
2025-01-13,206.1999969482422,206.1999969482422,218.89999389648438,190.0,212.6999969482422,633702,2025-01-13
2025-01-20,193.1199951171875,193.1199951171875,213.0,192.0,207.25,322752,2025-01-20
2025-01-27,191.17999267578125,191.17999267578125,196.60000610351562,179.2100067138672,195.97999572753906,244379,2025-01-27
2025-02-03,188.14999389648438,188.14999389648438,196.94000244140625,186.7100067138672,191.17999267578125,155819,2025-02-03
2025-02-10,168.61000061035156,168.61000061035156,191.0,160.5500030517578,191.0,300596,2025-02-10
2025-02-17,162.52000427246094,162.52000427246094,172.7899932861328,156.7899932861328,166.10000610351562,368259,2025-02-17
2025-02-24,149.72999572753906,149.72999572753906,164.25,146.64999389648438,161.0,161989,2025-02-24
2025-03-03,181.2899932861328,181.2899932861328,188.4499969482422,142.5,147.0,468992,2025-03-03
2025-03-10,158.74000549316406,158.74000549316406,184.5,157.89999389648438,184.0,475655,2025-03-10
2025-03-17,172.49000549316406,172.49000549316406,174.5399932861328,151.19000244140625,161.10000610351562,373692,2025-03-17
2025-03-24,153.3699951171875,153.3699951171875,177.49000549316406,151.58999633789062,173.9499969482422,569544,2025-03-24
2025-03-31,157.4600067138672,157.4600067138672,166.0,153.3699951171875,153.3699951171875,144691,2025-03-31
2025-04-07,159.2899932861328,159.2899932861328,164.97000122070312,135.0,135.0,253888,2025-04-07
2025-04-14,157.89999389648438,157.89999389648438,163.74000549316406,157.0,162.0,173295,2025-04-14
2025-04-21,154.86000061035156,154.86000061035156,166.0,150.30999755859375,157.8000030517578,274107,2025-04-21
2025-04-28,151.0,151.0,157.5399932861328,151.0,154.86000061035156,101418,2025-04-28
2025-05-05,147.61000061035156,147.61000061035156,153.88999938964844,143.25,150.50999450683594,151401,2025-05-05
2025-05-12,186.9199981689453,186.9199981689453,194.19000244140625,151.9499969482422,154.0,905210,2025-05-12
2025-05-19,182.9199981689453,182.9199981689453,187.9499969482422,173.00999450683594,186.9199981689453,254545,2025-05-19
2025-05-26,182.88999938964844,182.88999938964844,186.0,179.25,184.4499969482422,169513,2025-05-26
2025-06-02,176.6300048828125,176.6300048828125,182.0800018310547,174.61000061035156,180.0,121211,2025-06-02
2025-06-09,178.0800018310547,178.0800018310547,188.58999633789062,175.80999755859375,176.63999938964844,207378,2025-06-09
