Date,Adj Close_JLHL.NS,Close_JLHL.NS,High_JLHL.NS,Low_JLHL.NS,Open_JLHL.NS,Volume_JLHL.NS,Date
2023-09-18,1062.289306640625,1063.800048828125,1108.949951171875,970.0,973.0,15419927,2023-09-18
2023-09-25,1074.521728515625,1076.050048828125,1144.0,1049.800048828125,1065.0,1753687,2023-09-25
2023-10-02,1152.6107177734375,1154.25,1165.050048828125,1054.3499755859375,1076.050048828125,759336,2023-10-02
2023-10-09,1057.4959716796875,1059.0,1140.0,1049.0,1140.0,513333,2023-10-09
2023-10-16,1032.63134765625,1034.0999755859375,1070.8499755859375,1025.0,1059.0,483888,2023-10-16
2023-10-23,1028.1876220703125,1029.6500244140625,1048.949951171875,995.4000244140625,1030.0,560680,2023-10-23
2023-10-30,1016.6539916992188,1018.0999755859375,1049.699951171875,976.9000244140625,1040.949951171875,286624,2023-10-30
2023-11-06,1027.3887939453125,1028.8499755859375,1040.0,994.4000244140625,1018.0499877929688,301038,2023-11-06
2023-11-13,997.9806518554688,999.4000244140625,1038.0,992.5,1035.5999755859375,190233,2023-11-13
2023-11-20,1053.6014404296875,1055.0999755859375,1078.550048828125,993.1500244140625,1007.75,441800,2023-11-20
2023-11-27,1091.747314453125,1093.300048828125,1120.0,1050.5,1055.0999755859375,283040,2023-11-27
2023-12-04,1128.1954345703125,1129.800048828125,1221.0,1082.699951171875,1093.300048828125,240522,2023-12-04
2023-12-11,1148.9658203125,1150.5999755859375,1158.0,1062.949951171875,1129.800048828125,481964,2023-12-11
2023-12-18,1146.169921875,1147.800048828125,1199.0,1129.0999755859375,1155.050048828125,672250,2023-12-18
2023-12-25,1088.35205078125,1089.9000244140625,1155.699951171875,1081.0999755859375,1147.800048828125,375266,2023-12-25
2024-01-01,1136.0343017578125,1137.6500244140625,1160.0,1082.0,1099.0,280607,2024-01-01
2024-01-08,1117.2608642578125,1118.8499755859375,1149.0,1099.0,1149.0,267586,2024-01-08
2024-01-15,1105.5277099609375,1107.0999755859375,1132.449951171875,1083.199951171875,1118.8499755859375,271448,2024-01-15
2024-01-22,1054.650146484375,1056.1500244140625,1107.0999755859375,1050.0,1107.0999755859375,115091,2024-01-22
2024-01-29,1071.9254150390625,1073.449951171875,1087.0,1051.6500244140625,1057.0,229396,2024-01-29
2024-02-05,1133.537841796875,1135.1500244140625,1154.949951171875,1077.1500244140625,1078.8499755859375,157202,2024-02-05
2024-02-12,1295.157958984375,1297.0,1306.949951171875,1155.0,1155.0999755859375,659815,2024-02-12
2024-02-19,1523.283447265625,1525.449951171875,1653.949951171875,1291.0,1297.0,628083,2024-02-19
2024-02-26,1308.888427734375,1310.75,1580.5,1301.3499755859375,1534.0,560939,2024-02-26
2024-03-04,1284.2235107421875,1286.050048828125,1360.0,1245.8499755859375,1360.0,137819,2024-03-04
2024-03-11,1113.216796875,1114.800048828125,1291.25,1082.050048828125,1286.050048828125,260733,2024-03-11
2024-03-18,1161.4481201171875,1163.0999755859375,1190.0,1101.1500244140625,1114.800048828125,239125,2024-03-18
2024-03-25,1194.8006591796875,1196.5,1222.0,1150.199951171875,1170.0,155591,2024-03-25
2024-04-01,1207.93212890625,1209.6500244140625,1240.0,1180.050048828125,1207.300048828125,158528,2024-04-01
2024-04-08,1261.5557861328125,1263.3499755859375,1283.0,1210.0,1210.0,115984,2024-04-08
