Date,Adj Close_HINDCOPPER.NS,Close_HINDCOPPER.NS,High_HINDCOPPER.NS,Low_HINDCOPPER.NS,Open_HINDCOPPER.NS,Volume_HINDCOPPER.NS,Date
2020-07-13,38.4521369934082,39.29999923706055,41.5,34.75,37.79999923706055,8706514,2020-07-13
2020-07-20,35.37009811401367,36.150001525878906,39.599998474121094,35.0,39.599998474121094,9541307,2020-07-20
2020-07-27,34.68519973754883,35.45000076293945,38.70000076293945,35.099998474121094,36.20000076293945,6845457,2020-07-27
2020-08-03,36.103919982910156,36.900001525878906,37.849998474121094,35.0,35.0,5046511,2020-08-03
2020-08-10,36.935577392578125,37.75,39.849998474121094,36.79999923706055,37.20000076293945,7433453,2020-08-10
2020-08-17,39.08811569213867,39.95000076293945,41.650001525878906,37.099998474121094,38.099998474121094,14315209,2020-08-17
2020-08-24,37.131263732910156,37.95000076293945,40.25,37.5,40.20000076293945,5785496,2020-08-24
2020-08-31,35.56578063964844,36.349998474121094,38.45000076293945,35.5,38.0,2994276,2020-08-31
2020-09-07,36.59313201904297,37.400001525878906,38.0,33.79999923706055,36.5,4977894,2020-09-07
2020-09-14,35.71254348754883,36.5,38.45000076293945,36.0,38.0,3981060,2020-09-14
2020-09-21,33.11971664428711,33.849998474121094,36.70000076293945,32.54999923706055,36.70000076293945,2690876,2020-09-21
2020-09-28,32.48373794555664,33.20000076293945,34.650001525878906,33.0,34.099998474121094,1315354,2020-09-28
2020-10-05,32.19021224975586,32.900001525878906,34.20000076293945,32.650001525878906,33.25,1618111,2020-10-05
2020-10-12,31.358549118041992,32.04999923706055,34.900001525878906,31.299999237060547,32.900001525878906,1443425,2020-10-12
2020-10-19,33.90245819091797,34.650001525878906,37.29999923706055,31.950000762939453,32.150001525878906,10647106,2020-10-19
2020-10-26,32.239131927490234,32.95000076293945,35.04999923706055,32.79999923706055,34.650001525878906,2009101,2020-10-26
2020-11-02,33.51108932495117,34.25,34.95000076293945,32.150001525878906,33.0,2155199,2020-11-02
2020-11-09,33.85353088378906,34.599998474121094,35.900001525878906,34.25,34.5,4514522,2020-11-09
2020-11-16,36.15283966064453,36.95000076293945,38.79999923706055,34.45000076293945,34.45000076293945,9136849,2020-11-16
2020-11-23,40.55575180053711,41.45000076293945,42.0,36.29999923706055,37.0,14448008,2020-11-23
2020-11-30,43.58887481689453,44.54999923706055,45.099998474121094,40.650001525878906,41.45000076293945,10958101,2020-11-30
2020-12-07,43.34426498413086,44.29999923706055,47.900001525878906,42.25,44.29999923706055,14600393,2020-12-07
2020-12-14,62.472496032714844,63.849998474121094,67.44999694824219,44.54999923706055,45.0,81661340,2020-12-14
2020-12-21,59.096927642822266,60.400001525878906,64.0,52.29999923706055,63.900001525878906,20835260,2020-12-21
2020-12-28,60.76024627685547,62.099998474121094,63.849998474121094,60.150001525878906,60.79999923706055,15135478,2020-12-28
2021-01-04,66.0926742553711,67.55000305175781,69.6500015258789,59.400001525878906,62.95000076293945,30535983,2021-01-04
2021-01-11,62.32573318481445,63.70000076293945,69.5,62.25,67.8499984741211,20677065,2021-01-11
2021-01-18,55.86811828613281,57.099998474121094,64.0999984741211,56.54999923706055,64.0,9345694,2021-01-18
2021-01-25,58.85232162475586,60.150001525878906,61.349998474121094,53.599998474121094,57.75,15901040,2021-01-25
2021-02-01,69.4682388305664,71.0,76.19999694824219,58.0,60.650001525878906,23080674,2021-02-01
2021-02-08,71.18048858642578,72.75,78.8499984741211,69.0999984741211,71.6500015258789,23491034,2021-02-08
2021-02-15,84.095703125,85.94999694824219,91.30000305175781,72.80000305175781,73.4000015258789,32589018,2021-02-15
2021-02-22,146.6171112060547,149.85000610351562,154.5500030517578,88.80000305175781,88.80000305175781,123295985,2021-02-22
2021-03-01,139.0343475341797,142.10000610351562,165.14999389648438,128.9499969482422,157.0,55126057,2021-03-01
2021-03-08,130.66879272460938,133.5500030517578,147.89999389648438,130.0,147.89999389648438,19705369,2021-03-08
2021-03-15,123.13490295410156,125.8499984741211,137.8000030517578,114.0,135.0,16794824,2021-03-15
2021-03-22,120.59099578857422,123.25,130.60000610351562,119.0,127.0,14726388,2021-03-22
2021-03-29,122.84136962890625,125.55000305175781,127.19999694824219,118.80000305175781,123.25,6051333,2021-03-29
2021-04-05,140.69766235351562,143.8000030517578,149.39999389648438,126.0,128.39999389648438,33413428,2021-04-05
2021-04-12,145.7365264892578,148.9499969482422,150.9499969482422,130.1999969482422,138.10000610351562,21654599,2021-04-12
2021-04-19,135.31631469726562,138.3000030517578,148.3000030517578,135.60000610351562,146.5,26059344,2021-04-19
2021-04-26,151.4603271484375,154.8000030517578,165.0,137.5,141.39999389648438,54600373,2021-04-26
2021-05-03,168.24032592773438,171.9499969482422,171.9499969482422,150.60000610351562,155.0,42334694,2021-05-03
2021-05-10,167.3108367919922,171.0,196.75,165.0,185.0,59200711,2021-05-10
2021-05-17,165.35397338867188,169.0,186.60000610351562,166.35000610351562,173.6999969482422,33343032,2021-05-17
2021-05-24,170.29502868652344,174.0500030517578,184.0,166.3000030517578,170.0,35856343,2021-05-24
2021-05-31,155.56973266601562,159.0,175.75,158.0,175.60000610351562,33005125,2021-05-31
2021-06-07,165.69644165039062,169.35000610351562,171.6999969482422,157.0500030517578,161.60000610351562,33335749,2021-06-07
2021-06-14,141.0400848388672,144.14999389648438,172.6999969482422,141.35000610351562,170.5,38450999,2021-06-14
2021-06-21,150.92221069335938,154.25,156.64999389648438,135.9499969482422,140.0500030517578,24573510,2021-06-21
2021-06-28,137.7623748779297,140.8000030517578,151.89999389648438,140.39999389648438,146.1999969482422,15885605,2021-06-28
2021-07-05,142.8501739501953,146.0,150.8000030517578,142.0500030517578,142.0500030517578,20567319,2021-07-05
