Date,Adj Close_MASTERTR.NS,Close_MASTERTR.NS,High_MASTERTR.NS,Low_MASTERTR.NS,Open_MASTERTR.NS,Volume_MASTERTR.NS,Date
2024-11-11,164.52000427246094,164.52000427246094,197.0,159.5,181.0,1447878,2024-11-11
2024-11-18,159.02000427246094,159.02000427246094,170.0500030517578,157.0500030517578,168.94000244140625,177590,2024-11-18
2024-11-25,170.38999938964844,170.38999938964844,179.8000030517578,155.11000061035156,159.85000610351562,324482,2024-11-25
2024-12-02,176.6999969482422,176.6999969482422,186.57000732421875,167.1999969482422,174.99000549316406,602958,2024-12-02
2024-12-09,176.0800018310547,176.0800018310547,196.3000030517578,173.10000610351562,179.35000610351562,910801,2024-12-09
2024-12-16,166.5500030517578,166.5500030517578,181.6999969482422,165.6999969482422,181.6999969482422,213956,2024-12-16
2024-12-23,167.61000061035156,167.61000061035156,175.0,165.3000030517578,169.0500030517578,102074,2024-12-23
2024-12-30,169.61000061035156,169.61000061035156,176.69000244140625,163.0,171.85000610351562,144671,2024-12-30
2025-01-06,161.39999389648438,161.39999389648438,170.99000549316406,158.10000610351562,170.99000549316406,107066,2025-01-06
2025-01-13,148.14999389648438,148.14999389648438,167.44000244140625,141.24000549316406,158.0,276866,2025-01-13
2025-01-20,139.85000610351562,139.85000610351562,152.85000610351562,136.10000610351562,152.85000610351562,135197,2025-01-20
2025-01-27,133.38999938964844,133.38999938964844,142.1999969482422,125.20999908447266,142.1999969482422,178731,2025-01-27
2025-02-03,131.25,131.25,137.8800048828125,123.61000061035156,134.0,123770,2025-02-03
2025-02-10,118.30000305175781,118.30000305175781,138.0,115.0,133.8000030517578,208908,2025-02-10
2025-02-17,134.02000427246094,134.02000427246094,136.17999267578125,106.0,120.48999786376953,317865,2025-02-17
2025-02-24,123.68000030517578,123.68000030517578,136.64999389648438,120.51000213623047,134.0,191684,2025-02-24
2025-03-03,117.76000213623047,117.76000213623047,129.2899932861328,112.26000213623047,124.0,230123,2025-03-03
2025-03-10,109.1500015258789,109.1500015258789,120.05999755859375,106.05000305175781,115.0,90750,2025-03-10
2025-03-17,121.68000030517578,121.68000030517578,127.80000305175781,105.19999694824219,111.25,730911,2025-03-17
2025-03-24,126.12000274658203,126.12000274658203,137.7100067138672,117.9800033569336,123.13999938964844,630230,2025-03-24
2025-03-31,139.2899932861328,139.2899932861328,143.5,119.30999755859375,127.91999816894531,705108,2025-03-31
2025-04-07,130.4499969482422,130.4499969482422,136.80999755859375,121.5,127.0,213233,2025-04-07
2025-04-14,134.11000061035156,134.11000061035156,139.19000244140625,130.5,130.5,82743,2025-04-14
2025-04-21,135.36000061035156,135.36000061035156,145.50999450683594,132.91000366210938,133.14999389648438,370455,2025-04-21
2025-04-28,141.1199951171875,141.1199951171875,150.0,133.77000427246094,134.2100067138672,477187,2025-04-28
2025-05-05,144.58999633789062,144.58999633789062,153.7899932861328,140.0,141.1199951171875,968912,2025-05-05
2025-05-12,162.88999938964844,162.88999938964844,164.3000030517578,150.0,150.0,1012468,2025-05-12
2025-05-19,160.80999755859375,160.80999755859375,167.38999938964844,156.5500030517578,162.0,1104894,2025-05-19
2025-05-26,155.32000732421875,155.32000732421875,174.39999389648438,151.25999450683594,163.1999969482422,1500959,2025-05-26
2025-06-02,153.02000427246094,153.02000427246094,163.30999755859375,150.99000549316406,153.0,550516,2025-06-02
2025-06-09,159.7899932861328,159.7899932861328,169.8000030517578,153.2899932861328,153.75,1595734,2025-06-09
2025-06-16,150.47999572753906,150.47999572753906,166.8000030517578,147.9600067138672,160.5800018310547,579913,2025-06-16
2025-06-23,146.4199981689453,146.4199981689453,156.86000061035156,146.0,146.14999389648438,5308833,2025-06-23
2025-06-30,141.42999267578125,141.42999267578125,147.08999633789062,138.25999450683594,146.8000030517578,1385438,2025-06-30
2025-07-07,132.35000610351562,132.35000610351562,142.99000549316406,130.61000061035156,142.85000610351562,442733,2025-07-07
2025-07-14,128.9199981689453,128.9199981689453,134.94000244140625,128.30999755859375,132.10000610351562,107894,2025-07-14
