Date,Adj Close_ORCHASP.NS,Close_ORCHASP.NS,High_ORCHASP.NS,Low_ORCHASP.NS,Open_ORCHASP.NS,Volume_ORCHASP.NS,Date
2025-02-03,3.5799999237060547,3.5799999237060547,3.7899999618530273,3.450000047683716,3.7899999618530273,630507,2025-02-03
2025-02-10,3.119999885559082,3.119999885559082,3.890000104904175,2.6600000858306885,3.890000104904175,3699392,2025-02-10
2025-02-17,3.1700000762939453,3.1700000762939453,3.2899999618530273,3.049999952316284,3.119999885559082,9409521,2025-02-17
2025-02-24,3.0399999618530273,3.0399999618530273,3.3299999237060547,2.990000009536743,3.1700000762939453,913716,2025-02-24
2025-03-03,2.9800000190734863,2.9800000190734863,3.059999942779541,2.7799999713897705,3.0399999618530273,1053821,2025-03-03
2025-03-10,2.880000114440918,2.880000114440918,3.440000057220459,2.549999952316284,3.440000057220459,737066,2025-03-10
2025-03-17,2.6500000953674316,2.6500000953674316,2.950000047683716,2.5999999046325684,2.8499999046325684,1048746,2025-03-17
2025-03-24,2.180000066757202,2.180000066757202,2.7699999809265137,2.109999895095825,2.6500000953674316,2584957,2025-03-24
2025-03-31,3.5399999618530273,3.5399999618530273,3.940000057220459,2.1500000953674316,2.180000066757202,9080127,2025-03-31
2025-04-07,3.5199999809265137,3.5199999809265137,3.930000066757202,3.180000066757202,3.259999990463257,5089441,2025-04-07
2025-04-14,3.4100000858306885,3.4100000858306885,3.799999952316284,3.380000114440918,3.549999952316284,1946308,2025-04-14
2025-04-21,3.190000057220459,3.190000057220459,3.5,3.109999895095825,3.4000000953674316,1071555,2025-04-21
2025-04-28,2.9700000286102295,2.9700000286102295,3.200000047683716,2.950000047683716,3.069999933242798,560231,2025-04-28
2025-05-05,2.799999952316284,2.799999952316284,3.1500000953674316,2.7300000190734863,2.9100000858306885,739755,2025-05-05
2025-05-12,3.0799999237060547,3.0799999237060547,3.1700000762939453,2.799999952316284,2.9000000953674316,1047974,2025-05-12
2025-05-19,3.240000009536743,3.240000009536743,3.259999990463257,2.9000000953674316,3.119999885559082,1501153,2025-05-19
2025-05-26,3.1600000858306885,3.1600000858306885,3.5199999809265137,3.1600000858306885,3.390000104904175,1792640,2025-05-26
2025-06-02,2.930000066757202,2.930000066757202,3.1500000953674316,2.9100000858306885,3.1500000953674316,435336,2025-06-02
2025-06-09,2.930000066757202,2.930000066757202,3.0299999713897705,2.930000066757202,2.9800000190734863,586472,2025-06-09
2025-06-16,2.740000009536743,2.740000009536743,2.940000057220459,2.690000057220459,2.9000000953674316,354522,2025-06-16
2025-06-23,2.890000104904175,2.890000104904175,2.890000104904175,2.680000066757202,2.740000009536743,404806,2025-06-23
2025-06-30,3.1600000858306885,3.1600000858306885,3.1600000858306885,2.940000057220459,2.940000057220459,416385,2025-06-30
2025-07-07,3.059999942779541,3.059999942779541,3.309999942779541,2.9800000190734863,3.2200000286102295,1172034,2025-07-07
2025-07-14,3.009999990463257,3.009999990463257,3.1600000858306885,2.930000066757202,3.1600000858306885,238254,2025-07-14
