Date,Adj Close_MAXHEALTH.NS,Close_MAXHEALTH.NS,High_MAXHEALTH.NS,Low_MAXHEALTH.NS,Open_MAXHEALTH.NS,Volume_MAXHEALTH.NS,Date
2020-08-17,111.24356842041016,111.75,111.75,106.44999694824219,106.44999694824219,807716,2020-08-17
2020-08-24,111.44266510009766,111.94999694824219,129.3000030517578,111.94999694824219,117.30000305175781,4933933,2020-08-24
2020-08-31,114.72771453857422,115.25,120.9000015258789,101.0999984741211,107.19999694824219,3867680,2020-08-31
2020-09-07,130.953857421875,131.5500030517578,133.9499969482422,105.5999984741211,115.6500015258789,14142599,2020-09-07
2020-09-14,116.32046508789062,116.8499984741211,129.35000610351562,115.25,127.0,7238366,2020-09-14
2020-09-21,109.4019546508789,109.9000015258789,119.30000305175781,107.0,117.94999694824219,4427051,2020-09-21
2020-09-28,115.37477111816406,115.9000015258789,119.5,111.3499984741211,111.55000305175781,9539712,2020-09-28
2020-10-05,110.19833374023438,110.69999694824219,117.6500015258789,109.55000305175781,116.05000305175781,2263111,2020-10-05
2020-10-12,107.61012268066406,108.0999984741211,114.5,106.30000305175781,111.25,1917512,2020-10-12
2020-10-19,104.82280731201172,105.30000305175781,109.80000305175781,104.4000015258789,108.69999694824219,1041080,2020-10-19
2020-10-26,106.06714630126953,106.55000305175781,110.9000015258789,102.3499984741211,105.05000305175781,1245336,2020-10-26
2020-11-02,113.98110961914062,114.5,116.80000305175781,106.25,106.5,2378305,2020-11-02
2020-11-09,121.69599151611328,122.25,124.80000305175781,97.1500015258789,115.69999694824219,5325021,2020-11-09
2020-11-16,123.33851623535156,123.9000015258789,125.0,118.0999984741211,122.19999694824219,2278516,2020-11-16
2020-11-23,126.4742431640625,127.05000305175781,129.1999969482422,122.0999984741211,124.4000015258789,2022027,2020-11-23
2020-11-30,138.7682647705078,139.39999389648438,141.0,126.0,127.05000305175781,2935363,2020-11-30
2020-12-07,140.11215209960938,140.75,151.89999389648438,138.0,142.89999389648438,4546379,2020-12-07
2020-12-14,139.6144256591797,140.25,142.60000610351562,135.0,141.9499969482422,1727333,2020-12-14
2020-12-21,140.7592010498047,141.39999389648438,147.3000030517578,128.5,140.0,2672635,2020-12-21
2020-12-28,141.85421752929688,142.5,146.0,139.64999389648438,142.85000610351562,1640203,2020-12-28
2021-01-04,153.60073852539062,154.3000030517578,158.4499969482422,140.0,145.8000030517578,3613201,2021-01-04
2021-01-11,159.2251434326172,159.9499969482422,167.4499969482422,155.0,155.0500030517578,3376076,2021-01-11
2021-01-18,161.91290283203125,162.64999389648438,170.0,158.5,160.0,2638167,2021-01-18
2021-01-25,161.46495056152344,162.1999969482422,165.0,158.6999969482422,163.10000610351562,1184410,2021-01-25
2021-02-01,178.38790893554688,179.1999969482422,182.0,163.0,163.4499969482422,3684026,2021-02-01
2021-02-08,197.2520294189453,198.14999389648438,208.0,177.5,183.5,6386938,2021-02-08
2021-02-15,205.81304931640625,206.75,213.39999389648438,189.5,199.75,4098514,2021-02-15
2021-02-22,180.4783935546875,181.3000030517578,210.85000610351562,178.0,208.39999389648438,5005488,2021-02-22
2021-03-01,197.94886779785156,198.85000610351562,200.6999969482422,180.60000610351562,182.9499969482422,5557358,2021-03-01
2021-03-08,205.31532287597656,206.25,209.4499969482422,196.0,201.0,8533717,2021-03-08
2021-03-15,198.546142578125,199.4499969482422,214.39999389648438,181.25,207.0,4643787,2021-03-15
2021-03-22,197.79953002929688,198.6999969482422,206.14999389648438,197.5,198.1999969482422,5906820,2021-03-22
2021-03-29,217.21116638183594,218.1999969482422,221.0,198.6999969482422,198.6999969482422,1941937,2021-03-29
2021-04-05,217.90798950195312,218.89999389648438,239.0,213.0,222.39999389648438,6425263,2021-04-05
2021-04-12,221.04373168945312,222.0500030517578,227.0,212.0,216.6999969482422,3782704,2021-04-12
2021-04-19,223.43284606933594,224.4499969482422,241.9499969482422,217.0500030517578,221.0,9774766,2021-04-19
2021-04-26,225.9215087890625,226.9499969482422,235.0,222.1999969482422,227.89999389648438,3573006,2021-04-26
2021-05-03,226.3197021484375,227.35000610351562,239.5,224.5500030517578,227.6999969482422,21173177,2021-05-03
2021-05-10,219.10256958007812,220.10000610351562,241.3000030517578,215.5,228.9499969482422,18355023,2021-05-10
2021-05-17,226.22015380859375,227.25,234.0,214.5,222.0,36775871,2021-05-17
2021-05-24,223.5323944091797,224.5500030517578,237.89999389648438,222.35000610351562,228.0,21311211,2021-05-24
2021-05-31,244.73587036132812,245.85000610351562,254.0,218.25,225.0500030517578,22475645,2021-05-31
2021-06-07,254.1928253173828,255.35000610351562,259.1499938964844,235.0500030517578,248.10000610351562,10324049,2021-06-07
2021-06-14,249.3150177001953,250.4499969482422,258.0,240.1999969482422,253.0,5018244,2021-06-14
