Date,Adj Close_FIRSTCRY.NS,Close_FIRSTCRY.NS,High_FIRSTCRY.NS,Low_FIRSTCRY.NS,Open_FIRSTCRY.NS,Volume_FIRSTCRY.NS,Date
2024-08-12,669.9000244140625,669.9000244140625,707.7000122070312,633.2999877929688,651.0,76848724,2024-08-12
2024-08-19,638.6500244140625,638.6500244140625,704.0,621.9000244140625,674.0,11414534,2024-08-19
2024-08-26,640.5499877929688,640.5499877929688,650.5,621.0,639.9500122070312,5697626,2024-08-26
2024-09-02,622.7999877929688,622.7999877929688,650.0,605.0,639.0499877929688,4161427,2024-09-02
2024-09-09,655.75,655.75,663.2999877929688,587.5999755859375,623.0,5793059,2024-09-09
2024-09-16,652.4500122070312,652.4500122070312,688.4500122070312,632.75,660.0,5182275,2024-09-16
2024-09-23,625.75,625.75,672.9500122070312,621.0999755859375,656.0499877929688,2517448,2024-09-23
2024-09-30,653.0,653.0,668.0,611.4000244140625,625.75,3370577,2024-09-30
2024-10-07,682.4000244140625,682.4000244140625,697.5,617.7999877929688,645.0999755859375,3607020,2024-10-07
2024-10-14,682.4000244140625,682.4000244140625,734.0,673.0,682.4000244140625,3895246,2024-10-14
2024-10-21,619.7999877929688,619.7999877929688,697.7000122070312,617.0,688.9500122070312,1766297,2024-10-21
2024-10-28,635.2000122070312,635.2000122070312,705.1500244140625,610.0,621.0,2097430,2024-10-28
2024-11-04,564.4500122070312,564.4500122070312,637.0999755859375,552.8499755859375,634.6500244140625,3394130,2024-11-04
2024-11-11,519.0499877929688,519.0499877929688,575.1500244140625,514.5,570.0,4594417,2024-11-11
2024-11-18,545.4000244140625,545.4000244140625,582.0,526.0499877929688,544.0,6824350,2024-11-18
2024-11-25,604.3499755859375,604.3499755859375,620.9500122070312,542.0999755859375,553.7000122070312,3132003,2024-11-25
2024-12-02,591.2000122070312,591.2000122070312,617.9000244140625,582.4500122070312,598.0,1872604,2024-12-02
2024-12-09,590.4500122070312,590.4500122070312,623.7000122070312,578.0499877929688,591.0999755859375,2448424,2024-12-09
2024-12-16,638.75,638.75,654.3499755859375,594.6500244140625,594.6500244140625,3718963,2024-12-16
2024-12-23,636.0999755859375,636.0999755859375,651.0,604.2999877929688,634.0499877929688,1584242,2024-12-23
2024-12-30,649.0,649.0,664.6500244140625,605.0499877929688,628.2000122070312,1109182,2024-12-30
2025-01-06,544.25,544.25,649.0,533.2999877929688,649.0,3220339,2025-01-06
2025-01-13,490.5,490.5,540.0,482.54998779296875,540.0,4426000,2025-01-13
2025-01-20,468.45001220703125,468.45001220703125,494.8999938964844,435.29998779296875,491.04998779296875,3355589,2025-01-20
2025-01-27,505.95001220703125,505.95001220703125,512.2999877929688,440.1499938964844,468.45001220703125,2910803,2025-01-27
2025-02-03,418.3999938964844,418.3999938964844,498.95001220703125,411.04998779296875,498.3500061035156,4368849,2025-02-03
2025-02-10,405.3500061035156,405.3500061035156,458.0,391.29998779296875,458.0,4858580,2025-02-10
2025-02-17,405.1499938964844,405.1499938964844,420.70001220703125,373.3500061035156,405.3500061035156,2570847,2025-02-17
2025-02-24,376.54998779296875,376.54998779296875,399.04998779296875,374.6000061035156,390.0,1862113,2025-02-24
2025-03-03,392.75,392.75,428.70001220703125,356.0,383.70001220703125,7081932,2025-03-03
2025-03-10,377.1000061035156,377.1000061035156,399.70001220703125,362.1499938964844,392.75,2116283,2025-03-10
2025-03-17,364.79998779296875,364.79998779296875,384.0,361.54998779296875,384.0,4427604,2025-03-17
2025-03-24,367.8999938964844,367.8999938964844,400.70001220703125,346.95001220703125,368.95001220703125,5687991,2025-03-24
2025-03-31,357.5,357.5,375.20001220703125,351.6499938964844,367.8999938964844,1218473,2025-03-31
2025-04-07,327.0,327.0,339.75,286.04998779296875,302.95001220703125,4732794,2025-04-07
2025-04-14,348.6000061035156,348.6000061035156,356.0,327.0,327.0,4477085,2025-04-14
2025-04-21,339.04998779296875,339.04998779296875,373.8500061035156,334.3500061035156,348.29998779296875,2187442,2025-04-21
2025-04-28,331.6499938964844,331.6499938964844,352.29998779296875,327.1000061035156,330.04998779296875,2783830,2025-04-28
2025-05-05,320.1499938964844,320.1499938964844,336.54998779296875,313.45001220703125,332.95001220703125,1187576,2025-05-05
2025-05-12,358.79998779296875,358.79998779296875,363.20001220703125,330.29998779296875,340.0,2980665,2025-05-12
2025-05-19,373.04998779296875,373.04998779296875,375.0,341.04998779296875,363.95001220703125,4058846,2025-05-19
2025-05-26,348.45001220703125,348.45001220703125,383.79998779296875,347.0,379.0,6121486,2025-05-26
2025-06-02,414.8999938964844,414.8999938964844,431.25,339.04998779296875,348.5,98039535,2025-06-02
2025-06-09,378.1000061035156,378.1000061035156,421.0,370.20001220703125,416.0,13331286,2025-06-09
2025-06-16,339.8999938964844,339.8999938964844,392.0,338.6499938964844,380.0,12683929,2025-06-16
2025-06-23,390.79998779296875,390.79998779296875,412.0,332.70001220703125,341.54998779296875,90212994,2025-06-23
2025-06-30,364.29998779296875,364.29998779296875,391.95001220703125,360.20001220703125,387.0,8337635,2025-06-30
2025-07-07,379.8500061035156,379.8500061035156,387.70001220703125,362.6000061035156,366.6499938964844,12596190,2025-07-07
2025-07-14,378.3500061035156,378.3500061035156,393.0,375.20001220703125,380.8999938964844,2649236,2025-07-14
