Date,Adj Close_VENUSPIPES.NS,Close_VENUSPIPES.NS,High_VENUSPIPES.NS,Low_VENUSPIPES.NS,Open_VENUSPIPES.NS,Volume_VENUSPIPES.NS,Date
2022-05-23,332.0151672363281,332.6499938964844,358.79998779296875,321.3999938964844,337.5,2605064,2022-05-23
2022-05-30,332.4143981933594,333.04998779296875,345.0,321.1000061035156,345.0,432606,2022-05-30
2022-06-06,328.7713623046875,329.3999938964844,336.5,327.0,332.0,289234,2022-06-06
2022-06-13,328.0228271484375,328.6499938964844,335.0,326.04998779296875,327.0,408616,2022-06-13
2022-06-20,325.9767150878906,326.6000061035156,329.54998779296875,325.1000061035156,328.70001220703125,179074,2022-06-20
2022-06-27,336.30694580078125,336.95001220703125,363.0,325.0,330.0,902738,2022-06-27
2022-07-04,341.0978088378906,341.75,345.45001220703125,336.04998779296875,339.0,305620,2022-07-04
2022-07-11,334.1610412597656,334.79998779296875,342.20001220703125,330.5,339.25,274593,2022-07-11
2022-07-18,365.2516174316406,365.95001220703125,369.20001220703125,336.45001220703125,337.8500061035156,590134,2022-07-18
2022-07-25,386.01190185546875,386.75,389.0,355.0,365.95001220703125,471024,2022-07-25
2022-08-01,393.0484619140625,393.79998779296875,414.0,386.0,391.0,664430,2022-08-01
2022-08-08,385.8622131347656,386.6000061035156,420.20001220703125,380.0,398.0,491025,2022-08-08
2022-08-15,400.3844299316406,401.1499938964844,410.0,386.6000061035156,386.6000061035156,248308,2022-08-15
2022-08-22,408.06976318359375,408.8500061035156,414.8999938964844,388.29998779296875,399.1000061035156,806542,2022-08-22
2022-08-29,399.6358642578125,400.3999938964844,420.0,400.1000061035156,402.8500061035156,477072,2022-08-29
2022-09-05,436.0661926269531,436.8999938964844,447.0,396.6000061035156,409.95001220703125,2278701,2022-09-05
2022-09-12,511.57183837890625,512.5499877929688,520.0,450.1000061035156,454.79998779296875,1782868,2022-09-12
2022-09-19,553.841064453125,554.9000244140625,588.0,515.0,515.0,955245,2022-09-19
2022-09-26,567.4649658203125,568.5499877929688,586.0,521.6500244140625,545.0499877929688,627172,2022-09-26
2022-10-03,625.2045288085938,626.4000244140625,652.0,563.8499755859375,573.0,759992,2022-10-03
2022-10-10,671.2664794921875,672.5499877929688,700.0,607.7000122070312,630.5,1204456,2022-10-10
2022-10-17,731.3016967773438,732.7000122070312,740.0,660.0,672.5499877929688,953848,2022-10-17
2022-10-24,754.656982421875,756.0999755859375,774.8499755859375,735.4500122070312,745.0,469208,2022-10-24
2022-10-31,751.2635498046875,752.7000122070312,768.7999877929688,742.0,764.7000122070312,444191,2022-10-31
2022-11-07,730.3036499023438,731.7000122070312,767.7999877929688,700.0,755.0,545077,2022-11-07
2022-11-14,701.3589477539062,702.7000122070312,738.7000122070312,686.4500122070312,738.7000122070312,801882,2022-11-14
2022-11-21,662.955810546875,663.75,708.5,645.25,707.9500122070312,1978240,2022-11-21
2022-11-28,712.2966918945312,713.1500244140625,725.0,644.5499877929688,668.0,2586517,2022-11-28
2022-12-05,732.2728271484375,733.1500244140625,736.0,712.0,721.0499877929688,690284,2022-12-05
2022-12-12,741.6615600585938,742.5499877929688,747.0,726.5999755859375,744.75,376820,2022-12-12
2022-12-19,700.9603271484375,701.7999877929688,761.8499755859375,675.0,747.0,1056531,2022-12-19
2022-12-26,713.9447631835938,714.7999877929688,719.0,693.0,704.9500122070312,1198460,2022-12-26
2023-01-02,718.189697265625,719.0499877929688,728.0,712.0,717.0,330206,2023-01-02
2023-01-09,724.9815673828125,725.8499755859375,729.5,721.0,723.5999755859375,483951,2023-01-09
2023-01-16,722.1849365234375,723.0499877929688,728.0,717.75,728.0,404420,2023-01-16
2023-01-23,729.4761352539062,730.3499755859375,762.5999755859375,726.7000122070312,726.7000122070312,398899,2023-01-23
2023-01-30,733.121826171875,734.0,745.0,729.0,730.9000244140625,320042,2023-01-30
2023-02-06,730.0755004882812,730.9500122070312,738.0,720.2000122070312,737.75,427051,2023-02-06
2023-02-13,724.8816528320312,725.75,735.0,712.0,731.0,595502,2023-02-13
2023-02-20,720.6367797851562,721.5,729.9500122070312,714.9500122070312,729.9500122070312,589802,2023-02-20
2023-02-27,729.8257446289062,730.7000122070312,732.0,717.5,722.0,462778,2023-02-27
2023-03-06,728.277587890625,729.1500244140625,735.0,726.0,734.0,203926,2023-03-06
2023-03-13,728.7770385742188,729.6500244140625,734.0,724.5,729.9500122070312,239125,2023-03-13
2023-03-20,722.1849365234375,723.0499877929688,733.4500122070312,711.0,730.0,376346,2023-03-20
2023-03-27,745.107421875,746.0,755.9000244140625,721.0,725.9500122070312,472546,2023-03-27
2023-04-03,777.3687744140625,778.2999877929688,821.75,746.0,746.0,464834,2023-04-03
2023-04-10,853.3277587890625,854.3499755859375,867.5999755859375,737.9500122070312,781.0,2396145,2023-04-10
2023-04-17,882.3430786132812,883.4000244140625,924.0,860.5,870.0,821176,2023-04-17
2023-04-24,876.200439453125,877.25,904.6500244140625,875.0999755859375,885.0,215277,2023-04-24
2023-05-01,867.4608764648438,868.5,884.7000122070312,860.25,877.25,324904,2023-05-01
2023-05-08,930.0859375,931.2000122070312,966.9500122070312,867.0,872.0,734562,2023-05-08
2023-05-15,914.3047485351562,915.4000244140625,964.9500122070312,905.8499755859375,936.5,417893,2023-05-15
2023-05-22,1024.4727783203125,1025.699951171875,1040.5999755859375,913.0999755859375,923.0,1484458,2023-05-22
2023-05-29,1077.3594970703125,1078.6500244140625,1120.050048828125,1010.9000244140625,1034.9000244140625,628614,2023-05-29
2023-06-05,1098.484130859375,1099.800048828125,1120.0,1081.949951171875,1081.949951171875,504523,2023-06-05
2023-06-12,1131.0450439453125,1132.4000244140625,1143.550048828125,1093.050048828125,1099.800048828125,408890,2023-06-12
2023-06-19,1132.7430419921875,1134.0999755859375,1146.0,1130.550048828125,1142.199951171875,269913,2023-06-19
2023-06-26,1145.87744140625,1147.25,1173.1500244140625,1133.0,1134.0999755859375,251047,2023-06-26
2023-07-03,1159.1614990234375,1160.550048828125,1169.949951171875,1140.949951171875,1155.0,215141,2023-07-03
2023-07-10,1183.5322265625,1184.949951171875,1200.9000244140625,1161.0,1165.050048828125,297926,2023-07-10
2023-07-17,1200.4620361328125,1201.9000244140625,1217.0,1185.050048828125,1186.0,365671,2023-07-17
