Date,Adj Close_NUVOCO.NS,Close_NUVOCO.NS,High_NUVOCO.NS,Low_NUVOCO.NS,Open_NUVOCO.NS,Volume_NUVOCO.NS,Date
2021-08-23,535.9000244140625,535.9000244140625,564.9500122070312,485.0,485.0,31595076,2021-08-23
2021-08-30,560.8499755859375,560.8499755859375,571.9000244140625,529.2000122070312,542.0,5694652,2021-08-30
2021-09-06,546.75,546.75,577.9000244140625,542.0999755859375,562.0,2882022,2021-09-06
2021-09-13,538.5999755859375,538.5999755859375,569.4000244140625,537.5,545.0,3683619,2021-09-13
2021-09-20,553.4500122070312,553.4500122070312,562.0,532.0,536.0,2466286,2021-09-20
2021-09-27,545.75,545.75,562.4000244140625,538.6500244140625,560.0,1582534,2021-09-27
2021-10-04,547.75,547.75,561.0,542.3499755859375,548.0999755859375,2564760,2021-10-04
2021-10-11,528.9000244140625,528.9000244140625,558.0,526.9500122070312,544.0999755859375,1303319,2021-10-11
2021-10-18,508.54998779296875,508.54998779296875,534.7000122070312,504.20001220703125,534.7000122070312,1732939,2021-10-18
2021-10-25,527.8499755859375,527.8499755859375,541.2999877929688,495.6000061035156,510.0,1243192,2021-10-25
2021-11-01,538.7999877929688,538.7999877929688,555.4000244140625,517.4000244140625,517.4000244140625,1411477,2021-11-01
2021-11-08,514.5499877929688,514.5499877929688,560.0,511.0,540.0,2546984,2021-11-08
2021-11-15,514.4500122070312,514.4500122070312,540.3499755859375,501.20001220703125,516.0,3218769,2021-11-15
2021-11-22,519.0999755859375,519.0999755859375,547.0,511.3500061035156,521.0,1988560,2021-11-22
2021-11-29,523.0,523.0,556.0499877929688,500.0,517.0,3103166,2021-11-29
2021-12-06,531.8499755859375,531.8499755859375,541.0,516.0,520.0,913151,2021-12-06
2021-12-13,521.7999877929688,521.7999877929688,538.7999877929688,516.0,531.8499755859375,628859,2021-12-13
2021-12-20,497.1499938964844,497.1499938964844,518.8499755859375,496.0,515.0,491321,2021-12-20
2021-12-27,499.3500061035156,499.3500061035156,511.0,485.25,500.0,851075,2021-12-27
2022-01-03,489.04998779296875,489.04998779296875,501.75,486.3999938964844,498.1000061035156,854401,2022-01-03
2022-01-10,510.79998779296875,510.79998779296875,516.0,487.1000061035156,489.3999938964844,865484,2022-01-10
2022-01-17,496.0,496.0,516.4000244140625,490.04998779296875,510.0,772210,2022-01-17
2022-01-24,448.6000061035156,448.6000061035156,495.1499938964844,438.6499938964844,494.0,1666335,2022-01-24
2022-01-31,453.54998779296875,453.54998779296875,467.70001220703125,446.54998779296875,459.0,1285928,2022-01-31
2022-02-07,401.04998779296875,401.04998779296875,459.0,398.0,451.5,2028372,2022-02-07
2022-02-14,382.8999938964844,382.8999938964844,397.0,377.1000061035156,380.0,1133007,2022-02-14
