Date,Adj Close_CHALET.NS,Close_CHALET.NS,High_CHALET.NS,Low_CHALET.NS,Open_CHALET.NS,Volume_CHALET.NS,Date
2020-07-13,130.0500030517578,130.0500030517578,134.5,126.0,133.0500030517578,367616,2020-07-13
2020-07-20,128.9499969482422,128.9499969482422,132.89999389648438,127.0,130.89999389648438,486050,2020-07-20
2020-07-27,127.9000015258789,127.9000015258789,134.89999389648438,126.0,129.89999389648438,675657,2020-07-27
2020-08-03,128.0,128.0,131.5,127.0,127.9000015258789,554270,2020-08-03
2020-08-10,140.6999969482422,140.6999969482422,149.89999389648438,127.69999694824219,128.8000030517578,3214174,2020-08-10
2020-08-17,160.5,160.5,165.89999389648438,133.6999969482422,141.0,2839110,2020-08-17
2020-08-24,164.89999389648438,164.89999389648438,174.5,162.0,165.0,2046882,2020-08-24
2020-08-31,154.25,154.25,178.0,131.9499969482422,178.0,1271909,2020-08-31
2020-09-07,152.5,152.5,155.5,140.64999389648438,154.25,727262,2020-09-07
2020-09-14,156.35000610351562,156.35000610351562,158.60000610351562,148.9499969482422,156.60000610351562,863474,2020-09-14
2020-09-21,139.85000610351562,139.85000610351562,157.85000610351562,135.0,157.85000610351562,562271,2020-09-21
2020-09-28,145.10000610351562,145.10000610351562,149.75,137.60000610351562,141.10000610351562,761648,2020-09-28
2020-10-05,136.14999389648438,136.14999389648438,147.64999389648438,134.64999389648438,146.89999389648438,643690,2020-10-05
2020-10-12,135.85000610351562,135.85000610351562,138.89999389648438,127.3499984741211,137.1999969482422,417811,2020-10-12
2020-10-19,142.0,142.0,148.0,133.60000610351562,139.8000030517578,511030,2020-10-19
2020-10-26,136.39999389648438,136.39999389648438,143.89999389648438,135.1999969482422,142.3000030517578,227275,2020-10-26
2020-11-02,138.4499969482422,138.4499969482422,141.39999389648438,135.0,135.8000030517578,269788,2020-11-02
2020-11-09,143.14999389648438,143.14999389648438,152.0,137.5,140.6999969482422,1518256,2020-11-09
2020-11-16,152.39999389648438,152.39999389648438,161.89999389648438,141.75,141.75,1985973,2020-11-16
2020-11-23,150.85000610351562,150.85000610351562,155.0,147.0,152.39999389648438,1290002,2020-11-23
2020-11-30,181.4499969482422,181.4499969482422,183.39999389648438,149.75,150.85000610351562,3849887,2020-11-30
2020-12-07,192.3000030517578,192.3000030517578,217.6999969482422,184.0500030517578,185.89999389648438,4231063,2020-12-07
2020-12-14,194.9499969482422,194.9499969482422,209.0,190.1999969482422,195.75,2332021,2020-12-14
