Date,Adj Close_POLYMED.NS,Close_POLYMED.NS,High_POLYMED.NS,Low_POLYMED.NS,Open_POLYMED.NS,Volume_POLYMED.NS,Date
2020-07-13,381.80743408203125,385.1000061035156,409.0,365.0,381.0,1372494,2020-07-13
2020-07-20,372.9339599609375,376.1499938964844,398.20001220703125,368.0,388.45001220703125,583002,2020-07-20
2020-07-27,386.86383056640625,390.20001220703125,432.1499938964844,374.5,378.04998779296875,2870062,2020-07-27
2020-08-03,404.3133239746094,407.79998779296875,421.0,383.1000061035156,385.5,880249,2020-08-03
2020-08-10,394.2996826171875,397.70001220703125,447.3999938964844,394.6000061035156,410.75,1173150,2020-08-10
2020-08-17,426.6705322265625,430.3500061035156,456.20001220703125,392.0,401.3500061035156,1450387,2020-08-17
2020-08-24,420.7714538574219,424.3999938964844,445.0,421.20001220703125,433.8500061035156,551417,2020-08-24
2020-08-31,443.1286315917969,446.95001220703125,497.70001220703125,365.0,426.3999938964844,2426269,2020-08-31
2020-09-07,472.6738586425781,476.75,491.75,430.0,449.70001220703125,1573198,2020-09-07
2020-09-14,491.16436767578125,495.3999938964844,519.2999877929688,476.1000061035156,481.95001220703125,1565033,2020-09-14
2020-09-21,450.316650390625,454.20001220703125,507.45001220703125,443.0,498.0,1188485,2020-09-21
2020-09-28,462.9576416015625,466.95001220703125,472.0,452.0,452.0,373828,2020-09-28
2020-10-05,471.48406982421875,475.54998779296875,508.79998779296875,458.8500061035156,470.3500061035156,832176,2020-10-05
2020-10-12,508.1677551269531,512.5499877929688,538.0,468.0,473.1499938964844,1583589,2020-10-12
2020-10-19,489.0823059082031,493.29998779296875,542.75,477.0,514.9000244140625,945427,2020-10-19
2020-10-26,477.2345275878906,481.3500061035156,502.0,473.25,499.0,558802,2020-10-26
2020-11-02,487.54559326171875,491.75,508.95001220703125,471.0,482.20001220703125,508236,2020-11-02
2020-11-09,481.2994689941406,485.45001220703125,503.0,473.0,497.0,328096,2020-11-09
2020-11-16,485.9096984863281,490.1000061035156,495.6000061035156,475.04998779296875,479.0,216198,2020-11-16
2020-11-23,485.4139709472656,489.6000061035156,505.45001220703125,481.0,489.45001220703125,229668,2020-11-23
2020-11-30,490.7677917480469,495.0,499.0,482.0,489.6000061035156,370929,2020-11-30
2020-12-07,528.0958862304688,532.6500244140625,558.7999877929688,495.0,496.70001220703125,1230067,2020-12-07
2020-12-14,502.3677978515625,506.70001220703125,542.0,502.1000061035156,535.8499755859375,359275,2020-12-14
2020-12-21,511.3404235839844,515.75,525.0499877929688,449.25,506.0,294158,2020-12-21
2020-12-28,504.9950866699219,509.3500061035156,529.0,498.5,517.9500122070312,247804,2020-12-28
2021-01-04,508.01904296875,512.4000244140625,528.0,505.20001220703125,514.2000122070312,463081,2021-01-04
2021-01-11,516.3472290039062,520.7999877929688,554.4000244140625,503.25,514.9000244140625,605425,2021-01-11
2021-01-18,506.2344055175781,510.6000061035156,529.2999877929688,485.0,520.7999877929688,343440,2021-01-18
2021-01-25,502.2190246582031,506.54998779296875,528.0,505.0,514.0999755859375,201532,2021-01-25
2021-02-01,549.0155639648438,553.75,570.0,487.79998779296875,506.54998779296875,1476172,2021-02-01
2021-02-08,586.5914306640625,591.6500244140625,597.0,545.0,564.9500122070312,1288016,2021-02-08
2021-02-15,654.0100708007812,659.6500244140625,689.7000122070312,591.0,597.0,3424157,2021-02-15
2021-02-22,698.0303955078125,704.0499877929688,749.75,672.8499755859375,672.8499755859375,2207208,2021-02-22
2021-03-01,708.440673828125,714.5499877929688,727.0999755859375,688.4000244140625,705.2999877929688,628928,2021-03-01
2021-03-08,827.1668090820312,834.2999877929688,844.7000122070312,702.0,718.9000244140625,975365,2021-03-08
2021-03-15,808.47802734375,815.4500122070312,917.5,765.5499877929688,839.9000244140625,1298446,2021-03-15
2021-03-22,805.9497680664062,812.9000244140625,839.9000244140625,775.0,818.2999877929688,379881,2021-03-22
2021-03-29,830.0420532226562,837.2000122070312,845.0,800.25,812.9000244140625,192910,2021-03-29
2021-04-05,868.9068603515625,876.4000244140625,959.4000244140625,830.0499877929688,835.0,777732,2021-04-05
2021-04-12,867.518798828125,875.0,885.4000244140625,815.5499877929688,869.9000244140625,227370,2021-04-12
2021-04-19,1015.3440551757812,1024.0999755859375,1085.1500244140625,873.0499877929688,884.2000122070312,1379535,2021-04-19
2021-04-26,984.2620849609375,992.75,1075.449951171875,975.0499877929688,1037.0,829563,2021-04-26
2021-05-03,986.2945556640625,994.7999877929688,1034.0,950.0,994.9500122070312,755768,2021-05-03
