Date,Adj Close_LAOPALA.NS,Close_LAOPALA.NS,High_LAOPALA.NS,Low_LAOPALA.NS,Open_LAOPALA.NS,Volume_LAOPALA.NS,Date
2020-07-13,191.94261169433594,196.4499969482422,198.5,191.0500030517578,193.10000610351562,103788,2020-07-13
2020-07-20,186.47108459472656,190.85000610351562,223.39999389648438,189.5,195.0,1709195,2020-07-20
2020-07-27,176.6028289794922,180.75,192.60000610351562,180.10000610351562,191.1999969482422,295482,2020-07-27
2020-08-03,184.0773162841797,188.39999389648438,192.85000610351562,176.35000610351562,182.0,226046,2020-08-03
2020-08-10,190.91668701171875,195.39999389648438,215.0,184.64999389648438,191.5,3462542,2020-08-10
2020-08-17,197.12098693847656,201.75,215.0,191.0500030517578,198.9499969482422,554890,2020-08-17
2020-08-24,219.49557495117188,224.64999389648438,251.85000610351562,200.5500030517578,203.60000610351562,3891780,2020-08-24
2020-08-31,204.10693359375,208.89999389648438,231.0,196.60000610351562,227.60000610351562,881115,2020-08-31
2020-09-07,195.80197143554688,200.39999389648438,214.60000610351562,194.60000610351562,205.64999389648438,490431,2020-09-07
2020-09-14,218.61624145507812,223.75,250.9499969482422,203.0,204.89999389648438,2039516,2020-09-14
2020-09-21,199.66136169433594,204.35000610351562,228.0,196.35000610351562,224.89999389648438,859694,2020-09-21
2020-09-28,215.53851318359375,220.60000610351562,228.39999389648438,205.5,206.89999389648438,533580,2020-09-28
2020-10-05,215.68507385253906,220.75,227.5,217.25,222.8000030517578,569917,2020-10-05
2020-10-12,204.25352478027344,209.0500030517578,223.14999389648438,204.5,221.9499969482422,387487,2020-10-12
2020-10-19,204.05812072753906,208.85000610351562,214.64999389648438,207.3000030517578,211.89999389648438,263469,2020-10-19
2020-10-26,199.51478576660156,204.1999969482422,213.89999389648438,202.10000610351562,209.89999389648438,279253,2020-10-26
2020-11-02,205.2794189453125,210.10000610351562,214.0,203.1999969482422,204.1999969482422,260353,2020-11-02
2020-11-09,213.4378204345703,218.4499969482422,221.85000610351562,205.1999969482422,212.39999389648438,457403,2020-11-09
2020-11-16,208.30828857421875,213.1999969482422,221.85000610351562,211.4499969482422,216.8000030517578,374129,2020-11-16
2020-11-23,227.16546630859375,232.5,242.5,210.0,215.5,1689526,2020-11-23
2020-11-30,222.91526794433594,228.14999389648438,235.89999389648438,225.35000610351562,232.5,316800,2020-11-30
2020-12-07,219.69102478027344,224.85000610351562,244.8000030517578,221.5,228.14999389648438,1089426,2020-12-07
2020-12-14,229.26612854003906,234.64999389648438,243.75,221.0500030517578,225.89999389648438,1613377,2020-12-14
2020-12-21,222.18247985839844,227.39999389648438,234.64999389648438,208.0,233.89999389648438,676995,2020-12-21
2020-12-28,229.46156311035156,234.85000610351562,248.0,223.64999389648438,228.4499969482422,1302822,2020-12-28
2021-01-04,231.26910400390625,236.6999969482422,247.5,228.3000030517578,236.3000030517578,1421507,2021-01-04
2021-01-11,220.57034301757812,225.75,239.64999389648438,222.0,237.0500030517578,904253,2021-01-11
2021-01-18,218.71392822265625,223.85000610351562,235.0,220.89999389648438,226.89999389648438,461280,2021-01-18
2021-01-25,212.41192626953125,217.39999389648438,229.35000610351562,215.5,227.0,236407,2021-01-25
2021-02-01,210.31126403808594,215.25,225.0,212.0,218.4499969482422,763214,2021-02-01
2021-02-08,204.6443328857422,209.4499969482422,219.75,209.0,216.5500030517578,939429,2021-02-08
2021-02-15,215.7827911376953,220.85000610351562,228.75,206.8000030517578,211.60000610351562,2011994,2021-02-15
2021-02-22,213.97520446777344,219.0,229.5,217.75,222.6999969482422,521811,2021-02-22
2021-03-01,221.01002502441406,226.1999969482422,239.0,217.25,221.6999969482422,933520,2021-03-01
2021-03-08,216.61326599121094,221.6999969482422,232.85000610351562,220.5,228.4499969482422,670202,2021-03-08
2021-03-15,210.31126403808594,215.25,224.89999389648438,205.64999389648438,224.0,730290,2021-03-15
2021-03-22,208.94338989257812,213.85000610351562,224.4499969482422,212.0500030517578,216.35000610351562,576215,2021-03-22
2021-03-29,216.0758819580078,221.14999389648438,227.5500030517578,213.85000610351562,213.85000610351562,384978,2021-03-29
2021-04-05,212.5096435546875,217.5,226.10000610351562,212.5,222.0,331589,2021-04-05
2021-04-12,203.61842346191406,208.39999389648438,216.6999969482422,207.0,216.6999969482422,201769,2021-04-12
2021-04-19,199.22166442871094,203.89999389648438,211.85000610351562,200.25,208.5,278561,2021-04-19
2021-04-26,213.24241638183594,218.25,240.0,202.5500030517578,205.0,1175335,2021-04-26
2021-05-03,215.0988311767578,220.14999389648438,232.39999389648438,218.10000610351562,219.0,382372,2021-05-03
2021-05-10,208.84568786621094,213.75,228.6999969482422,211.0,220.5,260146,2021-05-10
2021-05-17,252.5200958251953,258.45001220703125,283.70001220703125,214.0500030517578,216.9499969482422,7308152,2021-05-17
2021-05-24,260.678466796875,266.79998779296875,289.79998779296875,260.0,263.79998779296875,3922345,2021-05-24
2021-05-31,276.6045227050781,283.1000061035156,294.04998779296875,261.1499938964844,268.0,2363089,2021-05-31
2021-06-07,274.8946838378906,281.3500061035156,292.0,272.1000061035156,285.0,1047201,2021-06-07
2021-06-14,272.84283447265625,279.25,288.8999938964844,272.04998779296875,281.3999938964844,757413,2021-06-14
2021-06-21,260.7762145996094,266.8999938964844,285.0,266.1000061035156,279.0,469926,2021-06-21
2021-06-28,263.0722961425781,269.25,296.25,262.1499938964844,267.20001220703125,2598580,2021-06-28
2021-07-05,260.4342041015625,266.54998779296875,274.8999938964844,265.25,272.6000061035156,384967,2021-07-05
2021-07-12,267.6155700683594,273.8999938964844,287.0,267.8999938964844,267.8999938964844,989884,2021-07-12
2021-07-19,267.1270751953125,273.3999938964844,277.25,261.6499938964844,270.54998779296875,532162,2021-07-19
2021-07-26,272.6474304199219,279.04998779296875,283.8999938964844,265.20001220703125,274.70001220703125,788672,2021-07-26
2021-08-02,271.67034912109375,278.04998779296875,314.79998779296875,273.1000061035156,282.29998779296875,6448729,2021-08-02
2021-08-09,266.3942565917969,272.6499938964844,282.95001220703125,260.0,279.0,746686,2021-08-09
2021-08-16,263.3653564453125,269.54998779296875,279.79998779296875,268.0,270.0,429960,2021-08-16
2021-08-23,270.15594482421875,276.5,286.0,260.1499938964844,269.95001220703125,676923,2021-08-23
2021-08-30,300.5912170410156,307.6499938964844,326.0,275.0,281.70001220703125,4521510,2021-08-30
2021-09-06,294.2892150878906,301.20001220703125,315.5,295.54998779296875,308.1499938964844,1150377,2021-09-06
2021-09-13,294.7288818359375,301.6499938964844,314.95001220703125,287.8999938964844,303.04998779296875,1936980,2021-09-13
2021-09-20,287.4964294433594,292.75,304.0,281.1000061035156,295.0,617347,2021-09-20
2021-09-27,301.5888977050781,307.1000061035156,323.0,293.20001220703125,297.95001220703125,2308744,2021-09-27
2021-10-04,304.2895202636719,309.8500061035156,327.45001220703125,305.5,309.70001220703125,1967850,2021-10-04
2021-10-11,301.9817199707031,307.5,320.0,305.0,312.3999938964844,464642,2021-10-11
2021-10-18,297.0714416503906,302.5,317.0,294.6499938964844,308.5,797457,2021-10-18
2021-10-25,286.6125793457031,291.8500061035156,308.0,281.3999938964844,305.5,780365,2021-10-25
2021-11-01,340.38006591796875,346.6000061035156,355.5,292.1000061035156,293.0,4226356,2021-11-01
2021-11-08,345.7813720703125,352.1000061035156,365.70001220703125,336.04998779296875,346.0,1866183,2021-11-08
2021-11-15,316.6142883300781,322.3999938964844,358.70001220703125,319.3500061035156,350.20001220703125,644764,2021-11-15
2021-11-22,325.40374755859375,331.3500061035156,356.70001220703125,300.1000061035156,323.0,2050878,2021-11-22
2021-11-29,360.07025146484375,366.6499938964844,378.0,305.6499938964844,326.0,3395141,2021-11-29
2021-12-06,413.7394714355469,421.29998779296875,450.8999938964844,370.0,380.0,11382658,2021-12-06
2021-12-13,385.2108154296875,392.25,447.0,390.0,424.3999938964844,1819125,2021-12-13
2021-12-20,410.64605712890625,418.1499938964844,434.0,380.04998779296875,387.6000061035156,3115500,2021-12-20
2021-12-27,416.538330078125,424.1499938964844,456.5,419.1499938964844,435.0,3684848,2021-12-27
2022-01-03,416.8330078125,424.45001220703125,442.0,415.1499938964844,428.3500061035156,1626401,2022-01-03
2022-01-10,396.799072265625,404.04998779296875,427.70001220703125,396.25,426.8999938964844,1288538,2022-01-10
2022-01-17,398.5667724609375,405.8500061035156,424.45001220703125,382.3999938964844,404.1000061035156,3059224,2022-01-17
2022-01-24,388.0096740722656,395.1000061035156,426.0,364.29998779296875,400.20001220703125,2262892,2022-01-24
2022-01-31,376.0777587890625,382.95001220703125,409.3999938964844,380.1000061035156,409.3999938964844,1098060,2022-01-31
2022-02-07,371.6597595214844,377.0,394.6000061035156,373.0,381.0,656626,2022-02-07
