Date,Adj Close_LALPATHLAB.NS,Close_LALPATHLAB.NS,High_LALPATHLAB.NS,Low_LALPATHLAB.NS,Open_LALPATHLAB.NS,Volume_LALPATHLAB.NS,Date
2020-07-13,1789.8421630859375,1853.199951171875,1940.0,1838.050048828125,1902.0,412926,2020-07-13
2020-07-20,1859.81494140625,1925.6500244140625,2029.0,1867.699951171875,1867.699951171875,602303,2020-07-20
2020-07-27,1827.0257568359375,1891.699951171875,2010.0,1861.0,1954.9000244140625,765431,2020-07-27
2020-08-03,1837.8909912109375,1902.949951171875,1919.6500244140625,1815.050048828125,1875.0,861632,2020-08-03
2020-08-10,1799.1617431640625,1862.8499755859375,1922.0,1800.050048828125,1912.0,501360,2020-08-10
2020-08-17,1781.6810302734375,1844.75,1942.0,1825.0,1866.5,1043493,2020-08-17
2020-08-24,1777.7210693359375,1840.6500244140625,1889.4000244140625,1831.0,1845.0,646351,2020-08-24
2020-08-31,1782.4534912109375,1845.550048828125,1890.0,1736.5999755859375,1840.6500244140625,462722,2020-08-31
2020-09-07,1776.17578125,1839.050048828125,1864.8499755859375,1767.5,1854.0,339999,2020-09-07
2020-09-14,1918.2467041015625,1986.1500244140625,2010.0,1845.0,1870.0,1349206,2020-09-14
2020-09-21,1766.276123046875,1828.800048828125,2006.1500244140625,1760.0,1995.9000244140625,559985,2020-09-21
2020-09-28,1799.01708984375,1862.699951171875,1950.0,1816.300048828125,1845.0,507619,2020-09-28
2020-10-05,1984.3079833984375,2054.550048828125,2330.0,1859.050048828125,1865.050048828125,2745758,2020-10-05
2020-10-12,1995.80126953125,2066.449951171875,2210.0,2010.949951171875,2040.0,1206480,2020-10-12
2020-10-19,2218.1796875,2296.699951171875,2315.0,2060.10009765625,2075.0,1155636,2020-10-19
2020-10-26,2218.324462890625,2296.85009765625,2394.699951171875,2222.199951171875,2309.699951171875,916411,2020-10-26
2020-11-02,2239.37890625,2318.64990234375,2377.800048828125,2225.800048828125,2324.949951171875,1118319,2020-11-02
2020-11-09,2117.251953125,2192.199951171875,2318.60009765625,2093.0,2302.0,816733,2020-11-09
2020-11-16,2121.83984375,2196.949951171875,2244.39990234375,2119.949951171875,2174.60009765625,684130,2020-11-16
2020-11-23,2218.39599609375,2290.5,2374.699951171875,2186.89990234375,2219.64990234375,703472,2020-11-23
2020-11-30,2166.7255859375,2237.14990234375,2302.25,2220.60009765625,2290.5,362679,2020-11-30
2020-12-07,2118.0087890625,2186.85009765625,2298.0,2163.050048828125,2237.14990234375,987329,2020-12-07
2020-12-14,2113.02099609375,2181.699951171875,2204.0,2118.050048828125,2197.60009765625,625171,2020-12-14
2020-12-21,2200.575439453125,2272.10009765625,2293.0,2108.0,2208.25,850422,2020-12-21
2020-12-28,2331.42236328125,2407.199951171875,2425.0,2275.10009765625,2300.0,962166,2020-12-28
2021-01-04,2331.083740234375,2406.85009765625,2460.0,2327.0,2407.25,1691004,2021-01-04
2021-01-11,2223.190673828125,2295.449951171875,2424.0,2281.64990234375,2418.0,584794,2021-01-11
2021-01-18,2226.337646484375,2298.699951171875,2332.449951171875,2212.0,2285.0,824717,2021-01-18
2021-01-25,2176.749755859375,2247.5,2358.25,2206.89990234375,2310.0,643461,2021-01-25
2021-02-01,2320.9140625,2396.35009765625,2505.0,2198.14990234375,2270.0,1146682,2021-02-01
2021-02-08,2349.679443359375,2426.050048828125,2468.0,2350.550048828125,2425.0,482647,2021-02-08
2021-02-15,2358.3095703125,2428.89990234375,2626.0,2380.050048828125,2426.050048828125,2116548,2021-02-15
2021-02-22,2233.835693359375,2300.699951171875,2542.64990234375,2235.800048828125,2474.800048828125,1570872,2021-02-22
2021-03-01,2236.94287109375,2303.89990234375,2375.0,2286.0,2342.25,597634,2021-03-01
2021-03-08,2272.187255859375,2340.199951171875,2399.949951171875,2291.699951171875,2310.0,483901,2021-03-08
2021-03-15,2444.092041015625,2517.25,2568.050048828125,2312.0,2339.949951171875,1708444,2021-03-15
2021-03-22,2496.668212890625,2571.39990234375,2619.949951171875,2444.14990234375,2540.0,1263279,2021-03-22
2021-03-29,2651.24169921875,2730.60009765625,2750.0,2571.39990234375,2571.39990234375,1164510,2021-03-29
2021-04-05,3045.83056640625,3137.0,3234.0,2720.0,2772.0,4064230,2021-04-05
2021-04-12,2835.3310546875,2920.199951171875,3399.300048828125,2901.0,3154.0,5654425,2021-04-12
2021-04-19,2800.911865234375,2884.75,3044.0,2805.0,2910.0,3195932,2021-04-19
2021-04-26,2847.4677734375,2932.699951171875,2985.0,2800.0,2899.0,2180983,2021-04-26
2021-05-03,2776.88134765625,2860.0,2959.199951171875,2825.0,2941.85009765625,1489546,2021-05-03
2021-05-10,2640.41552734375,2719.449951171875,2924.0,2709.449951171875,2878.949951171875,1165985,2021-05-10
2021-05-17,2748.626708984375,2830.89990234375,2898.25,2632.050048828125,2690.0,2197154,2021-05-17
2021-05-24,2724.255859375,2805.800048828125,2858.0,2740.0,2750.0,1501891,2021-05-24
