Date,Adj Close_LOVABLE.NS,Close_LOVABLE.NS,High_LOVABLE.NS,Low_LOVABLE.NS,Open_LOVABLE.NS,Volume_LOVABLE.NS,Date
2020-07-13,50.66051483154297,51.45000076293945,53.349998474121094,50.5,53.150001525878906,36546,2020-07-13
2020-07-20,50.66051483154297,51.45000076293945,52.79999923706055,50.0,52.349998474121094,101900,2020-07-20
2020-07-27,47.657318115234375,48.400001525878906,51.900001525878906,45.79999923706055,51.900001525878906,84135,2020-07-27
2020-08-03,49.2819938659668,50.04999923706055,52.5,48.29999923706055,50.75,78652,2020-08-03
2020-08-10,61.491722106933594,62.45000076293945,70.0,50.0,50.04999923706055,1287652,2020-08-10
2020-08-17,61.196327209472656,62.150001525878906,66.9000015258789,61.150001525878906,63.0,398260,2020-08-17
2020-08-24,64.51095581054688,65.0,71.80000305175781,62.150001525878906,63.400001525878906,839859,2020-08-24
2020-08-31,62.87336349487305,63.349998474121094,66.69999694824219,58.79999923706055,66.5999984741211,172514,2020-08-31
2020-09-07,58.556095123291016,59.0,64.5,58.04999923706055,64.5,124540,2020-09-07
2020-09-14,58.556095123291016,59.0,62.0,58.400001525878906,58.400001525878906,100883,2020-09-14
2020-09-21,53.39521789550781,53.79999923706055,59.70000076293945,51.25,59.70000076293945,87890,2020-09-21
2020-09-28,55.578670501708984,56.0,58.0,53.79999923706055,53.79999923706055,51410,2020-09-28
2020-10-05,54.983184814453125,55.400001525878906,58.0,55.099998474121094,56.099998474121094,56012,2020-10-05
2020-10-12,51.80725860595703,52.20000076293945,56.349998474121094,51.04999923706055,55.70000076293945,42315,2020-10-12
2020-10-19,54.83430862426758,55.25,56.400001525878906,51.900001525878906,53.5,61598,2020-10-19
2020-10-26,52.79973602294922,53.20000076293945,56.70000076293945,50.849998474121094,55.95000076293945,37180,2020-10-26
2020-11-02,53.643341064453125,54.04999923706055,54.599998474121094,51.900001525878906,53.20000076293945,37704,2020-11-02
2020-11-09,59.747066497802734,60.20000076293945,64.25,53.599998474121094,54.54999923706055,663527,2020-11-09
2020-11-16,61.880889892578125,62.349998474121094,67.44999694824219,59.400001525878906,59.400001525878906,781348,2020-11-16
2020-11-23,72.10340118408203,72.6500015258789,79.69999694824219,61.599998474121094,63.75,2372377,2020-11-23
2020-11-30,98.20552062988281,98.94999694824219,101.19999694824219,68.75,72.6500015258789,3605123,2020-11-30
2020-12-07,97.9573974609375,98.69999694824219,106.69999694824219,94.69999694824219,98.0,1522349,2020-12-07
2020-12-14,105.94683837890625,106.75,114.0,92.0,99.9000015258789,1325762,2020-12-14
2020-12-21,96.07170104980469,96.80000305175781,104.8499984741211,91.5999984741211,101.44999694824219,222014,2020-12-21
2020-12-28,95.42658996582031,96.1500015258789,99.9000015258789,95.0,99.6500015258789,136422,2020-12-28
2021-01-04,90.91081237792969,91.5999984741211,98.0,91.0,93.30000305175781,125051,2021-01-04
2021-01-11,89.1243667602539,89.80000305175781,95.0,89.0,92.4000015258789,97717,2021-01-11
2021-01-18,80.19208526611328,80.80000305175781,92.0,80.5,90.0,109552,2021-01-18
2021-01-25,77.85975646972656,78.44999694824219,81.55000305175781,74.19999694824219,81.55000305175781,65228,2021-01-25
2021-02-01,85.99806213378906,86.6500015258789,93.44999694824219,77.0,78.44999694824219,147911,2021-02-01
2021-02-08,91.5559310913086,92.25,92.25,82.0,88.0,357676,2021-02-08
2021-02-15,91.30780792236328,92.0,103.0,90.5999984741211,98.55000305175781,1353053,2021-02-15
2021-02-22,89.27323150634766,89.94999694824219,93.25,87.0,93.25,152543,2021-02-22
2021-03-01,91.45668029785156,92.1500015258789,96.94999694824219,87.25,91.0,380815,2021-03-01
2021-03-08,92.25066375732422,92.94999694824219,96.44999694824219,90.0,92.94999694824219,176772,2021-03-08
2021-03-15,85.89881896972656,86.55000305175781,94.19999694824219,81.1500015258789,92.5999984741211,141554,2021-03-15
2021-03-22,82.4251480102539,83.05000305175781,88.8499984741211,80.1500015258789,86.55000305175781,134302,2021-03-22
2021-03-29,83.6657485961914,84.30000305175781,85.25,79.44999694824219,83.05000305175781,59146,2021-03-29
2021-04-05,87.18903350830078,87.8499984741211,93.0,82.0,85.05000305175781,212329,2021-04-05
2021-04-12,82.77251434326172,83.4000015258789,86.94999694824219,81.0,83.1500015258789,69664,2021-04-12
2021-04-19,83.8642349243164,84.5,86.8499984741211,80.75,83.0,81666,2021-04-19
