Date,Adj Close_PLATIND.NS,Close_PLATIND.NS,High_PLATIND.NS,Low_PLATIND.NS,Open_PLATIND.NS,Volume_PLATIND.NS,Date
2024-03-04,204.5500030517578,204.5500030517578,236.25,199.64999389648438,225.0,7146681,2024-03-04
2024-03-11,185.5500030517578,185.5500030517578,204.39999389648438,166.75,194.35000610351562,2522330,2024-03-11
2024-03-18,180.0500030517578,180.0500030517578,212.0,176.39999389648438,185.0,3653203,2024-03-18
2024-03-25,171.39999389648438,171.39999389648438,183.0,169.3000030517578,180.0500030517578,1398035,2024-03-25
2024-04-01,200.0,200.0,213.89999389648438,171.10000610351562,171.10000610351562,7567178,2024-04-01
2024-04-08,189.89999389648438,189.89999389648438,204.6999969482422,188.85000610351562,203.0,816519,2024-04-08
2024-04-15,184.5500030517578,184.5500030517578,188.6999969482422,180.10000610351562,180.10000610351562,774268,2024-04-15
2024-04-22,218.9499969482422,218.9499969482422,224.0,187.1999969482422,189.0,5531189,2024-04-22
2024-04-29,221.89999389648438,221.89999389648438,233.10000610351562,213.3000030517578,222.0,4386645,2024-04-29
2024-05-06,213.8000030517578,213.8000030517578,228.9499969482422,204.8000030517578,223.60000610351562,4403219,2024-05-06
2024-05-13,212.0,212.0,231.6999969482422,203.9499969482422,214.39999389648438,7147488,2024-05-13
2024-05-20,203.64999389648438,203.64999389648438,217.35000610351562,203.0,211.39999389648438,1679236,2024-05-20
2024-05-27,189.35000610351562,189.35000610351562,205.89999389648438,187.75,205.89999389648438,1449548,2024-05-27
2024-06-03,194.75,194.75,202.0500030517578,169.6999969482422,197.0,1298848,2024-06-03
2024-06-10,210.19000244140625,210.19000244140625,213.14999389648438,192.85000610351562,194.75,1571597,2024-06-10
2024-06-17,210.47000122070312,210.47000122070312,215.39999389648438,200.3300018310547,212.6999969482422,1311396,2024-06-17
2024-06-24,198.38999938964844,198.38999938964844,220.5,195.25,210.5,3813832,2024-06-24
2024-07-01,225.85000610351562,225.85000610351562,228.39999389648438,198.88999938964844,198.88999938964844,8834315,2024-07-01
2024-07-08,236.5399932861328,236.5399932861328,244.39999389648438,218.22000122070312,228.0,14306690,2024-07-08
2024-07-15,248.60000610351562,248.60000610351562,272.0,234.52999877929688,237.89999389648438,8589269,2024-07-15
2024-07-22,283.9200134277344,283.9200134277344,289.3500061035156,240.10000610351562,248.0,7041311,2024-07-22
2024-07-29,322.3999938964844,322.3999938964844,336.0,272.3599853515625,286.79998779296875,8050635,2024-07-29
2024-08-05,375.95001220703125,375.95001220703125,385.0,295.3500061035156,307.0,10829629,2024-08-05
