Date,Adj Close_SANDUMA.NS,Close_SANDUMA.NS,High_SANDUMA.NS,Low_SANDUMA.NS,Open_SANDUMA.NS,Volume_SANDUMA.NS,Date
2023-09-04,257.9081726074219,259.3083190917969,275.0249938964844,256.9916687011719,271.3333435058594,277734,2023-09-04
2023-09-11,267.978515625,269.4333190917969,276.6666564941406,240.00833129882812,260.8333435058594,1052238,2023-09-11
2023-09-18,254.6310272216797,255.14999389648438,276.3333435058594,251.1666717529297,270.0,503784,2023-09-18
2023-09-25,251.2462615966797,251.75833129882812,256.64166259765625,238.26666259765625,255.1666717529297,585036,2023-09-25
2023-10-02,251.89495849609375,252.40834045410156,256.7166748046875,244.35833740234375,251.75833129882812,321672,2023-10-02
2023-10-09,279.41387939453125,279.98333740234375,294.95001220703125,243.50833129882812,243.50833129882812,2859216,2023-10-09
2023-10-16,268.42791748046875,268.9750061035156,284.14166259765625,267.9083251953125,282.3333435058594,644124,2023-10-16
2023-10-23,253.8243408203125,254.34165954589844,277.3833312988281,243.19166564941406,272.5,920274,2023-10-23
2023-10-30,251.29617309570312,251.80833435058594,261.8166809082031,244.50833129882812,254.1666717529297,597096,2023-10-30
2023-11-06,245.06719970703125,245.56666564941406,272.2833251953125,238.93333435058594,254.14999389648438,1677306,2023-11-06
2023-11-13,253.23388671875,253.75,266.8166809082031,243.0,249.48333740234375,877566,2023-11-13
2023-11-20,259.9784851074219,260.5083312988281,270.8166809082031,250.5,253.75,988758,2023-11-20
2023-11-27,255.71217346191406,256.23333740234375,268.3333435058594,252.01666259765625,260.5083312988281,1017852,2023-11-27
2023-12-04,319.49884033203125,320.1499938964844,323.42498779296875,258.0,258.0,5461050,2023-12-04
2023-12-11,384.8157043457031,385.6000061035156,390.79998779296875,324.1666564941406,324.3333435058594,6158604,2023-12-11
2023-12-18,429.72418212890625,430.6000061035156,466.5666809082031,378.6666564941406,391.6666564941406,7100670,2023-12-18
2023-12-25,483.2234802246094,484.2083435058594,494.9666748046875,426.8666687011719,430.6000061035156,2783388,2023-12-25
2024-01-01,454.45709228515625,455.3833312988281,491.6666564941406,438.5416564941406,488.1666564941406,1760340,2024-01-01
2024-01-08,456.25341796875,457.1833190917969,471.9916687011719,443.6666564941406,463.1583251953125,988836,2024-01-08
2024-01-15,464.79437255859375,465.7416687011719,474.1666564941406,434.1666564941406,457.1833190917969,1277868,2024-01-15
2024-01-22,532.4065551757812,533.4916381835938,543.0,465.7416687011719,465.7416687011719,2396442,2024-01-22
2024-01-29,562.703125,563.8499755859375,582.0750122070312,503.32501220703125,555.5,4019313,2024-01-29
2024-02-05,491.7477722167969,492.75,614.0,491.6499938964844,595.0,1430212,2024-02-05
2024-02-12,453.3759765625,454.29998779296875,553.2000122070312,448.04998779296875,492.75,1623663,2024-02-12
2024-02-19,430.47265625,431.3500061035156,465.1000061035156,406.0,456.95001220703125,1432612,2024-02-19
2024-02-26,404.8748474121094,405.70001220703125,438.79998779296875,402.0,431.3500061035156,1457756,2024-02-26
2024-03-04,397.1405944824219,397.95001220703125,418.8999938964844,386.0,417.5,534572,2024-03-04
2024-03-11,354.72705078125,355.45001220703125,401.3999938964844,330.0,397.95001220703125,1022217,2024-03-11
2024-03-18,380.5743713378906,381.3500061035156,381.3500061035156,345.29998779296875,358.3500061035156,599290,2024-03-18
2024-03-25,358.66900634765625,359.3999938964844,389.0,357.0,381.3500061035156,595649,2024-03-25
2024-04-01,406.57135009765625,407.3999938964844,409.70001220703125,357.0,363.0,1023165,2024-04-01
2024-04-08,447.3382873535156,448.25,448.25,405.04998779296875,410.0,486775,2024-04-08
2024-04-15,469.4931335449219,470.45001220703125,479.8500061035156,425.8500061035156,448.25,1703674,2024-04-15
2024-04-22,523.2335815429688,524.2999877929688,570.0,467.29998779296875,473.0,2753833,2024-04-22
2024-04-29,513.25390625,514.2999877929688,544.8499755859375,504.8999938964844,535.0,1456539,2024-04-29
2024-05-06,486.4086608886719,487.3999938964844,525.2000122070312,479.3999938964844,525.2000122070312,865447,2024-05-06
2024-05-13,539.8497314453125,540.9500122070312,546.0,469.0,487.0,1429683,2024-05-13
2024-05-20,529.37109375,530.4500122070312,542.75,513.5,531.5,838777,2024-05-20
2024-05-27,526.5767822265625,527.6500244140625,556.9500122070312,507.29998779296875,552.0,1443414,2024-05-27
2024-06-03,532.7142944335938,533.7999877929688,554.0,481.0,554.0,1168366,2024-06-03
2024-06-10,538.9016723632812,540.0,572.4000244140625,517.7999877929688,552.5,1725323,2024-06-10
2024-06-17,579.9180297851562,581.0999755859375,634.7999877929688,535.0,540.0,2744527,2024-06-17
2024-06-24,541.5463256835938,542.6500244140625,605.0,538.2000122070312,580.0,1126008,2024-06-24
