Date,Adj Close_SANDUMA.NS,Close_SANDUMA.NS,High_SANDUMA.NS,Low_SANDUMA.NS,Open_SANDUMA.NS,Volume_SANDUMA.NS,Date
2024-07-01,554.1206665039062,555.25,581.9000244140625,542.75,542.75,762345,2024-07-01
2024-07-08,554.0208740234375,555.1500244140625,593.4000244140625,548.1500244140625,559.4500122070312,1106944,2024-07-08
2024-07-15,519.591064453125,520.6500244140625,569.0,513.4500122070312,561.5999755859375,672447,2024-07-15
2024-07-22,562.6532592773438,563.7999877929688,582.0,511.04998779296875,520.0,809307,2024-07-22
2024-07-29,581.9639282226562,583.1500244140625,614.6500244140625,562.5999755859375,580.0,1438478,2024-07-29
2024-08-05,543.6420288085938,544.75,575.0,536.8499755859375,575.0,1082801,2024-08-05
2024-08-12,487.6062316894531,488.6000061035156,550.0,486.95001220703125,550.0,801327,2024-08-12
2024-08-19,505.1205139160156,506.1499938964844,525.3499755859375,486.0,493.3999938964844,1023662,2024-08-19
2024-08-26,501.7274169921875,502.75,515.4000244140625,484.1000061035156,511.70001220703125,727828,2024-08-26
2024-09-02,480.7701416015625,481.75,515.0,476.6000061035156,515.0,792964,2024-09-02
2024-09-09,498.1347351074219,499.1499938964844,509.6000061035156,474.1000061035156,482.8500061035156,950658,2024-09-09
2024-09-16,498.3999938964844,498.3999938964844,507.8500061035156,481.04998779296875,499.5,902786,2024-09-16
2024-09-23,490.0,490.0,503.70001220703125,485.0,498.0,427024,2024-09-23
2024-09-30,480.04998779296875,480.04998779296875,505.8999938964844,476.8999938964844,490.0,475907,2024-09-30
2024-10-07,482.1499938964844,482.1499938964844,495.0,447.29998779296875,484.45001220703125,474528,2024-10-07
2024-10-14,461.1000061035156,461.1000061035156,486.0,451.20001220703125,482.54998779296875,335414,2024-10-14
2024-10-21,407.3500061035156,407.3500061035156,465.0,403.1499938964844,460.0,563920,2024-10-21
2024-10-28,457.54998779296875,457.54998779296875,469.95001220703125,392.75,408.0,398822,2024-10-28
2024-11-04,450.0,450.0,477.20001220703125,440.8999938964844,458.8999938964844,495526,2024-11-04
2024-11-11,444.29998779296875,444.29998779296875,450.0,404.3500061035156,445.8999938964844,445993,2024-11-11
2024-11-18,425.3500061035156,425.3500061035156,457.54998779296875,416.6000061035156,443.8999938964844,265295,2024-11-18
2024-11-25,505.20001220703125,505.20001220703125,523.8499755859375,430.0,432.0,1789232,2024-11-25
2024-12-02,527.5,527.5,548.0,498.04998779296875,505.95001220703125,1139937,2024-12-02
2024-12-09,486.3999938964844,486.3999938964844,540.0,483.75,530.0,752016,2024-12-09
2024-12-16,408.0,408.0,502.1499938964844,402.54998779296875,486.1000061035156,1698791,2024-12-16
2024-12-23,406.8500061035156,406.8500061035156,428.3999938964844,400.04998779296875,413.0,670260,2024-12-23
2024-12-30,433.5,433.5,441.04998779296875,396.20001220703125,405.0,879079,2024-12-30
2025-01-06,385.1499938964844,385.1499938964844,436.04998779296875,384.0,434.0,570293,2025-01-06
2025-01-13,393.45001220703125,393.45001220703125,397.1499938964844,364.8999938964844,386.0,465680,2025-01-13
2025-01-20,401.1000061035156,401.1000061035156,428.04998779296875,376.0,396.70001220703125,607535,2025-01-20
2025-01-27,391.8999938964844,391.8999938964844,401.1000061035156,373.04998779296875,399.3500061035156,602159,2025-01-27
2025-02-03,383.95001220703125,383.95001220703125,393.3500061035156,375.75,385.0,353190,2025-02-03
2025-02-10,345.5,345.5,385.0,337.20001220703125,383.95001220703125,621147,2025-02-10
2025-02-17,427.5,427.5,465.0,372.25,380.0,8242914,2025-02-17
2025-02-24,386.8999938964844,386.8999938964844,435.0,376.5,423.1499938964844,807592,2025-02-24
2025-03-03,479.25,479.25,499.95001220703125,360.29998779296875,393.1000061035156,3048520,2025-03-03
2025-03-10,464.6499938964844,464.6499938964844,499.95001220703125,458.0,477.0,1322489,2025-03-10
2025-03-17,463.29998779296875,463.29998779296875,487.75,451.6000061035156,464.0,916007,2025-03-17
2025-03-24,440.04998779296875,440.04998779296875,482.79998779296875,423.3500061035156,470.0,1645845,2025-03-24
2025-03-31,424.45001220703125,424.45001220703125,457.79998779296875,421.6000061035156,440.04998779296875,743407,2025-03-31
2025-04-07,405.1000061035156,405.1000061035156,414.1000061035156,377.29998779296875,385.0,920678,2025-04-07
2025-04-14,466.79998779296875,466.79998779296875,479.8999938964844,405.1000061035156,405.1000061035156,1449174,2025-04-14
2025-04-21,457.6499938964844,457.6499938964844,492.29998779296875,447.0,464.04998779296875,898574,2025-04-21
2025-04-28,477.5,477.5,483.8999938964844,443.6499938964844,458.8999938964844,1003361,2025-04-28
2025-05-05,504.6000061035156,504.6000061035156,522.7999877929688,471.0,484.95001220703125,4349494,2025-05-05
2025-05-12,520.0,520.0,542.0,515.5499877929688,517.0,2266227,2025-05-12
2025-05-19,529.9000244140625,529.9000244140625,544.0,513.25,523.0,1666842,2025-05-19
2025-05-26,482.6499938964844,482.6499938964844,557.75,478.0,536.0,6819610,2025-05-26
2025-06-02,464.3999938964844,464.3999938964844,486.95001220703125,456.3999938964844,483.75,2118275,2025-06-02
2025-06-09,469.0,469.0,492.1000061035156,462.79998779296875,468.6499938964844,1484533,2025-06-09
2025-06-16,460.0,460.0,478.0,445.6000061035156,471.29998779296875,883642,2025-06-16
2025-06-23,484.6000061035156,484.6000061035156,492.0,453.8500061035156,458.0,1190926,2025-06-23
2025-06-30,494.5,494.5,506.25,467.29998779296875,484.8999938964844,1770996,2025-06-30
2025-07-07,474.95001220703125,474.95001220703125,496.5,471.04998779296875,495.3999938964844,689204,2025-07-07
2025-07-14,473.3500061035156,473.3500061035156,481.5,467.0,473.1000061035156,323770,2025-07-14
