Date,Adj Close_DYNAMATECH.NS,Close_DYNAMATECH.NS,High_DYNAMATECH.NS,Low_DYNAMATECH.NS,Open_DYNAMATECH.NS,Volume_DYNAMATECH.NS,Date
2020-07-13,541.2449340820312,544.0999755859375,559.7999877929688,528.7999877929688,553.2000122070312,11308,2020-07-13
2020-07-20,520.8524780273438,523.5999755859375,558.0,522.0499877929688,545.5999755859375,19155,2020-07-20
2020-07-27,528.0147705078125,530.7999877929688,548.0,499.95001220703125,535.0,15393,2020-07-27
2020-08-03,538.5591430664062,541.4000244140625,554.75,525.5499877929688,530.75,14516,2020-08-03
2020-08-10,730.0988159179688,733.9500122070312,733.9500122070312,575.0,595.5,437582,2020-08-10
2020-08-17,931.6853637695312,936.5999755859375,936.5999755859375,760.5999755859375,770.5999755859375,538928,2020-08-17
2020-08-24,880.7042236328125,885.3499755859375,1032.550048828125,815.0,983.4000244140625,186925,2020-08-24
2020-08-31,791.02734375,795.2000122070312,929.5999755859375,766.0,929.5999755859375,183055,2020-08-31
2020-09-07,750.6403198242188,754.5999755859375,809.9000244140625,710.0999755859375,805.25,72712,2020-09-07
2020-09-14,729.651123046875,733.5,779.0,725.8499755859375,767.0,40532,2020-09-14
2020-09-21,710.2037353515625,713.9500122070312,742.9500122070312,665.0,742.9500122070312,80791,2020-09-21
2020-09-28,704.9812622070312,708.7000122070312,740.2000122070312,700.0999755859375,717.0999755859375,20206,2020-09-28
2020-10-05,719.9522094726562,723.75,781.0,712.0,718.4000244140625,72133,2020-10-05
2020-10-12,675.1883544921875,678.75,736.1500244140625,672.25,716.0499877929688,28761,2020-10-12
2020-10-19,705.1802368164062,708.9000244140625,737.9000244140625,642.5999755859375,678.75,38860,2020-10-19
2020-10-26,659.0733642578125,662.5499877929688,719.9500122070312,657.0,716.6500244140625,19435,2020-10-26
2020-11-02,707.6670532226562,711.4000244140625,733.5999755859375,656.0,669.3499755859375,103961,2020-11-02
2020-11-09,722.041259765625,725.8499755859375,737.0,679.7000122070312,725.75,94375,2020-11-09
2020-11-16,686.32958984375,689.9500122070312,737.9000244140625,679.9500122070312,722.3499755859375,36348,2020-11-16
2020-11-23,690.7562255859375,694.4000244140625,708.9500122070312,682.25,698.0,31521,2020-11-23
2020-11-30,751.2371826171875,755.2000122070312,778.0,693.9500122070312,694.4000244140625,100129,2020-11-30
2020-12-07,812.2653198242188,816.5499877929688,900.0,760.0999755859375,780.0,359493,2020-12-07
2020-12-14,785.3572998046875,789.5,848.2000122070312,775.0,820.0,56155,2020-12-14
2020-12-21,771.0825805664062,775.1500244140625,815.0,626.2999877929688,809.0,51378,2020-12-21
2020-12-28,829.07666015625,833.4500122070312,868.0,761.0,798.0,114417,2020-12-28
2021-01-04,804.0088500976562,808.25,864.0,804.9500122070312,826.0,55747,2021-01-04
2021-01-11,826.2913208007812,830.6500244140625,890.0,775.0,819.7000122070312,142013,2021-01-11
2021-01-18,789.5849609375,793.75,850.0,775.0,821.7999877929688,33579,2021-01-18
2021-01-25,772.4254760742188,776.5,823.7999877929688,763.0999755859375,783.3499755859375,29579,2021-01-25
2021-02-01,820.37255859375,824.7000122070312,845.0,760.5999755859375,776.5,54429,2021-02-01
2021-02-08,859.5159912109375,864.0499877929688,880.9500122070312,813.0,821.0499877929688,62280,2021-02-08
2021-02-15,826.8384399414062,831.2000122070312,898.0,826.9000244140625,865.0,110868,2021-02-15
2021-02-22,896.7197875976562,901.4500122070312,971.0,688.5,832.0,152276,2021-02-22
2021-03-01,928.9497680664062,933.8499755859375,965.8499755859375,909.0,928.0,94359,2021-03-01
2021-03-08,927.358154296875,932.25,952.9000244140625,923.0499877929688,934.0,40661,2021-03-08
2021-03-15,856.6810302734375,861.2000122070312,940.7000122070312,834.5999755859375,932.25,43741,2021-03-15
2021-03-22,970.5802001953125,975.7000122070312,975.7000122070312,804.75,877.5499877929688,154930,2021-03-22
2021-03-29,1049.2154541015625,1054.75,1111.0,928.8499755859375,975.7000122070312,163508,2021-03-29
2021-04-05,1039.81494140625,1045.300048828125,1074.0,1007.5,1051.0,58984,2021-04-05
2021-04-12,988.8836059570312,994.0999755859375,1039.800048828125,965.7999877929688,1039.800048828125,27146,2021-04-12
2021-04-19,971.6743774414062,976.7999877929688,1006.25,949.0,984.0499877929688,24677,2021-04-19
2021-04-26,1024.197265625,1029.5999755859375,1100.0,977.9500122070312,985.4000244140625,103552,2021-04-26
2021-05-03,1015.9906616210938,1021.3499755859375,1080.0,1014.5499877929688,1045.0,21997,2021-05-03
2021-05-10,1006.1923828125,1011.5,1081.3499755859375,970.0499877929688,1035.449951171875,39384,2021-05-10
2021-05-17,1392.952392578125,1400.300048828125,1484.449951171875,998.0,1022.2999877929688,303164,2021-05-17
2021-05-24,1296.113037109375,1302.949951171875,1407.0,1267.949951171875,1396.0,97285,2021-05-24
2021-05-31,1482.828125,1490.6500244140625,1581.0999755859375,1284.949951171875,1325.0,91249,2021-05-31
2021-06-07,1475.019287109375,1482.800048828125,1581.0,1382.050048828125,1520.0,111423,2021-06-07
2021-06-14,1427.271240234375,1434.800048828125,1500.0,1338.4000244140625,1500.0,34454,2021-06-14
2021-06-21,1402.6510009765625,1410.050048828125,1466.3499755859375,1388.0999755859375,1420.050048828125,36274,2021-06-21
2021-06-28,1455.3231201171875,1463.0,1483.4000244140625,1395.0,1410.050048828125,35535,2021-06-28
2021-07-05,1591.05712890625,1599.449951171875,1744.0,1446.550048828125,1466.0999755859375,421328,2021-07-05
