Date,Adj Close_WABAG.NS,Close_WABAG.NS,High_WABAG.NS,Low_WABAG.NS,Open_WABAG.NS,Volume_WABAG.NS,Date
2020-07-13,108.0999984741211,108.0999984741211,112.8499984741211,106.4000015258789,109.6500015258789,282248,2020-07-13
2020-07-20,137.89999389648438,137.89999389648438,137.89999389648438,108.0999984741211,108.0999984741211,627344,2020-07-20
2020-07-27,114.44999694824219,114.44999694824219,134.0,113.69999694824219,134.0,1132836,2020-07-27
2020-08-03,126.3499984741211,126.3499984741211,131.5,118.0,120.0,1821971,2020-08-03
2020-08-10,135.5500030517578,135.5500030517578,151.60000610351562,126.5,127.30000305175781,3871575,2020-08-10
2020-08-17,217.35000610351562,217.35000610351562,220.10000610351562,133.39999389648438,136.8000030517578,12269455,2020-08-17
2020-08-24,207.85000610351562,207.85000610351562,231.6999969482422,198.5,219.39999389648438,12636602,2020-08-24
2020-08-31,198.8000030517578,198.8000030517578,212.60000610351562,174.1999969482422,210.1999969482422,4027607,2020-08-31
2020-09-07,193.9499969482422,193.9499969482422,203.39999389648438,184.0500030517578,199.39999389648438,2165106,2020-09-07
2020-09-14,209.6999969482422,209.6999969482422,224.5,196.0,196.0,4734841,2020-09-14
2020-09-21,190.5500030517578,190.5500030517578,212.0,172.3000030517578,208.0,2647371,2020-09-21
2020-09-28,193.35000610351562,193.35000610351562,204.8000030517578,188.0,193.89999389648438,2371103,2020-09-28
2020-10-05,187.14999389648438,187.14999389648438,203.0,186.0,194.1999969482422,1430714,2020-10-05
2020-10-12,187.10000610351562,187.10000610351562,196.60000610351562,179.5500030517578,186.1999969482422,1032648,2020-10-12
2020-10-19,190.9499969482422,190.9499969482422,196.14999389648438,185.0,188.1999969482422,823618,2020-10-19
2020-10-26,182.5500030517578,182.5500030517578,193.1999969482422,181.35000610351562,193.1999969482422,732183,2020-10-26
2020-11-02,181.85000610351562,181.85000610351562,187.35000610351562,174.8000030517578,183.5,782859,2020-11-02
2020-11-09,185.35000610351562,185.35000610351562,194.75,181.1999969482422,184.0,1391020,2020-11-09
2020-11-16,187.10000610351562,187.10000610351562,197.6999969482422,182.75,182.75,1427742,2020-11-16
2020-11-23,198.89999389648438,198.89999389648438,205.5500030517578,184.64999389648438,188.5500030517578,3642838,2020-11-23
2020-11-30,202.75,202.75,212.0,195.0,198.89999389648438,2528106,2020-11-30
2020-12-07,199.3000030517578,199.3000030517578,206.60000610351562,192.1999969482422,203.89999389648438,2079442,2020-12-07
2020-12-14,205.60000610351562,205.60000610351562,223.6999969482422,200.89999389648438,200.89999389648438,4828144,2020-12-14
2020-12-21,207.14999389648438,207.14999389648438,216.89999389648438,186.75,206.9499969482422,2180665,2020-12-21
2020-12-28,211.60000610351562,211.60000610351562,215.0,198.60000610351562,208.8000030517578,2286109,2020-12-28
2021-01-04,209.9499969482422,209.9499969482422,219.0,203.10000610351562,212.0,2116067,2021-01-04
2021-01-11,211.0,211.0,231.1999969482422,205.60000610351562,211.0,4590399,2021-01-11
