Date,Adj Close_MAMATA.NS,Close_MAMATA.NS,High_MAMATA.NS,Low_MAMATA.NS,Open_MAMATA.NS,Volume_MAMATA.NS,Date
2024-12-23,630.0,630.0,630.0,600.0,600.0,2646195,2024-12-23
2024-12-30,547.9000244140625,547.9000244140625,630.0,513.2000122070312,628.0,2825638,2024-12-30
2025-01-06,447.79998779296875,447.79998779296875,538.8499755859375,437.04998779296875,534.0,2421281,2025-01-06
2025-01-13,520.2000122070312,520.2000122070312,552.9500122070312,412.79998779296875,435.5,12694917,2025-01-13
2025-01-20,421.29998779296875,421.29998779296875,491.6000061035156,402.3500061035156,471.54998779296875,5263022,2025-01-20
2025-01-27,421.95001220703125,421.95001220703125,427.0,373.5,418.0,2695651,2025-01-27
2025-02-03,448.3999938964844,448.3999938964844,473.0,396.6000061035156,418.0,3134951,2025-02-03
2025-02-10,387.1000061035156,387.1000061035156,448.3999938964844,381.70001220703125,448.3999938964844,2110934,2025-02-10
2025-02-17,388.0,388.0,408.70001220703125,364.29998779296875,387.1499938964844,1160347,2025-02-17
2025-02-24,364.0,364.0,391.95001220703125,358.25,380.0,591991,2025-02-24
2025-03-03,377.8999938964844,377.8999938964844,387.5,335.1000061035156,369.0,1704781,2025-03-03
2025-03-10,346.04998779296875,346.04998779296875,379.79998779296875,342.0,377.8999938964844,971712,2025-03-10
2025-03-17,393.70001220703125,393.70001220703125,422.79998779296875,339.1000061035156,348.6000061035156,3600354,2025-03-17
2025-03-24,361.79998779296875,361.79998779296875,406.0,347.0,389.04998779296875,3056837,2025-03-24
2025-03-31,351.5,351.5,376.70001220703125,347.8999938964844,361.79998779296875,1083240,2025-03-31
2025-04-07,343.6499938964844,343.6499938964844,349.75,311.54998779296875,321.0,666807,2025-04-07
2025-04-14,376.6499938964844,376.6499938964844,383.95001220703125,343.6499938964844,343.6499938964844,1231634,2025-04-14
2025-04-21,377.95001220703125,377.95001220703125,395.04998779296875,362.25,378.1499938964844,1254146,2025-04-21
2025-04-28,358.79998779296875,358.79998779296875,387.95001220703125,357.20001220703125,375.20001220703125,461759,2025-04-28
2025-05-05,338.8500061035156,338.8500061035156,369.95001220703125,332.0,361.75,791789,2025-05-05
2025-05-12,377.25,377.25,381.8999938964844,349.04998779296875,349.04998779296875,848224,2025-05-12
2025-05-19,384.25,384.25,387.0,362.6000061035156,377.25,881398,2025-05-19
2025-05-26,441.0,441.0,474.1499938964844,381.54998779296875,385.04998779296875,7596619,2025-05-26
2025-06-02,450.04998779296875,450.04998779296875,472.54998779296875,432.04998779296875,440.0,3038879,2025-06-02
2025-06-09,426.5,426.5,484.20001220703125,416.1000061035156,453.25,2565852,2025-06-09
2025-06-16,417.29998779296875,417.29998779296875,435.8500061035156,403.0,426.5,883416,2025-06-16
2025-06-23,395.1499938964844,395.1499938964844,428.8999938964844,392.5,417.79998779296875,1160364,2025-06-23
2025-06-30,411.0,411.0,424.0,386.54998779296875,395.04998779296875,2042947,2025-06-30
2025-07-07,490.5,490.5,524.7999877929688,411.1000061035156,418.0,41096878,2025-07-07
2025-07-14,460.25,460.25,483.3500061035156,458.0,475.70001220703125,4349288,2025-07-14
