Date,Adj Close_CARRARO.NS,Close_CARRARO.NS,High_CARRARO.NS,Low_CARRARO.NS,Open_CARRARO.NS,Volume_CARRARO.NS,Date
2024-12-30,662.0999755859375,662.0999755859375,692.4000244140625,631.0,651.0,5462866,2024-12-30
2025-01-06,614.0499877929688,614.0499877929688,659.4500122070312,586.0499877929688,651.0999755859375,1290690,2025-01-06
2025-01-13,572.4000244140625,572.4000244140625,603.75,538.0,599.8499755859375,1211621,2025-01-13
2025-01-20,532.2999877929688,532.2999877929688,578.9500122070312,510.3999938964844,570.2000122070312,616456,2025-01-20
2025-01-27,565.2999877929688,565.2999877929688,590.0,495.0,517.0,1238011,2025-01-27
2025-02-03,433.5,433.5,553.75,433.5,549.9000244140625,929947,2025-02-03
2025-02-10,353.6499938964844,353.6499938964844,428.6499938964844,351.0,413.70001220703125,4979550,2025-02-10
2025-02-17,351.70001220703125,351.70001220703125,365.79998779296875,325.0,353.6499938964844,548117,2025-02-17
2025-02-24,322.1000061035156,322.1000061035156,350.8500061035156,320.95001220703125,350.04998779296875,263776,2025-02-24
2025-03-03,349.45001220703125,349.45001220703125,354.5,302.1000061035156,318.0,383590,2025-03-03
2025-03-10,315.25,315.25,352.8500061035156,314.0,351.0,240598,2025-03-10
2025-03-17,333.54998779296875,333.54998779296875,335.20001220703125,302.3999938964844,312.8999938964844,540806,2025-03-17
2025-03-24,309.04998779296875,309.04998779296875,366.8999938964844,307.0,338.0,1462860,2025-03-24
2025-03-31,308.20001220703125,308.20001220703125,326.29998779296875,304.1499938964844,309.04998779296875,604266,2025-03-31
2025-04-07,276.6000061035156,276.6000061035156,294.95001220703125,253.14999389648438,292.04998779296875,1876337,2025-04-07
2025-04-14,306.0,306.0,309.20001220703125,274.20001220703125,276.6000061035156,939369,2025-04-14
2025-04-21,386.54998779296875,386.54998779296875,397.6499938964844,305.0,305.0,2490601,2025-04-21
2025-04-28,380.95001220703125,380.95001220703125,400.6499938964844,357.5,386.45001220703125,1685487,2025-04-28
2025-05-05,394.5,394.5,415.0,377.3999938964844,386.95001220703125,1103788,2025-05-05
2025-05-12,434.0,434.0,444.0,406.0,406.0,585704,2025-05-12
2025-05-19,443.3999938964844,443.3999938964844,455.0,428.8500061035156,440.75,404163,2025-05-19
2025-05-26,457.0,457.0,467.20001220703125,440.70001220703125,446.79998779296875,539927,2025-05-26
2025-06-02,431.45001220703125,431.45001220703125,463.45001220703125,416.0,452.0,484504,2025-06-02
2025-06-09,450.04998779296875,450.04998779296875,470.0,430.3999938964844,437.95001220703125,654422,2025-06-09
2025-06-16,405.75,405.75,457.0,401.04998779296875,449.8999938964844,294369,2025-06-16
2025-06-23,435.29998779296875,435.29998779296875,442.5,402.79998779296875,411.0,290998,2025-06-23
2025-06-30,456.79998779296875,456.79998779296875,465.0,435.04998779296875,435.29998779296875,475670,2025-06-30
2025-07-07,450.6499938964844,450.6499938964844,460.5,448.0,458.0,191220,2025-07-07
2025-07-14,440.79998779296875,440.79998779296875,453.95001220703125,437.6499938964844,452.0,75568,2025-07-14
