Date,Adj Close_BLSE.NS,Close_BLSE.NS,High_BLSE.NS,Low_BLSE.NS,Open_BLSE.NS,Volume_BLSE.NS,Date
2024-02-05,344.3500061035156,344.3500061035156,423.70001220703125,303.1000061035156,305.0,73965035,2024-02-05
2024-02-12,364.25,364.25,379.45001220703125,300.0,350.95001220703125,19498206,2024-02-12
2024-02-19,388.6499938964844,388.6499938964844,418.3500061035156,356.3999938964844,359.04998779296875,15117330,2024-02-19
2024-02-26,379.95001220703125,379.95001220703125,406.8999938964844,356.1000061035156,388.5,9918513,2024-02-26
2024-03-04,321.3500061035156,321.3500061035156,388.3500061035156,318.1499938964844,383.29998779296875,9644462,2024-03-04
2024-03-11,325.5,325.5,336.20001220703125,266.70001220703125,323.79998779296875,11167620,2024-03-11
2024-03-18,315.29998779296875,315.29998779296875,332.95001220703125,303.45001220703125,327.79998779296875,9504764,2024-03-18
2024-03-25,310.0,310.0,324.70001220703125,306.5,317.0,5980631,2024-03-25
2024-04-01,327.20001220703125,327.20001220703125,337.0,314.3500061035156,316.5,4976945,2024-04-01
2024-04-08,319.8500061035156,319.8500061035156,343.29998779296875,316.8500061035156,329.75,2706820,2024-04-08
2024-04-15,298.6000061035156,298.6000061035156,320.3500061035156,291.0,306.6000061035156,2112560,2024-04-15
2024-04-22,299.0,299.0,308.0,297.0,302.70001220703125,1377344,2024-04-22
2024-04-29,299.8999938964844,299.8999938964844,312.0,298.04998779296875,301.5,1780786,2024-04-29
2024-05-06,271.29998779296875,271.29998779296875,303.1000061035156,262.54998779296875,301.8999938964844,2381104,2024-05-06
2024-05-13,278.1499938964844,278.1499938964844,289.45001220703125,259.1000061035156,272.5,2600834,2024-05-13
2024-05-20,269.70001220703125,269.70001220703125,280.20001220703125,268.0,278.1499938964844,663471,2024-05-20
2024-05-27,246.0,246.0,273.8500061035156,243.9499969482422,270.29998779296875,1637577,2024-05-27
2024-06-03,256.70001220703125,256.70001220703125,280.0,221.25,280.0,1863392,2024-06-03
2024-06-10,264.5400085449219,264.5400085449219,272.0,254.0,256.95001220703125,1434258,2024-06-10
2024-06-17,269.510009765625,269.510009765625,291.0,264.5400085449219,264.5400085449219,3839845,2024-06-17
2024-06-24,251.58999633789062,251.58999633789062,270.3699951171875,249.0,269.45001220703125,2568524,2024-06-24
2024-07-01,245.5500030517578,245.5500030517578,259.1000061035156,244.75,251.5,2366141,2024-07-01
2024-07-08,241.5500030517578,241.5500030517578,249.4499969482422,229.10000610351562,248.9499969482422,1983534,2024-07-08
2024-07-15,223.9499969482422,223.9499969482422,243.39999389648438,223.0,243.1999969482422,1937622,2024-07-15
2024-07-22,228.3000030517578,228.3000030517578,237.8000030517578,216.0,222.89999389648438,2022614,2024-07-22
2024-07-29,222.55999755859375,222.55999755859375,234.75,221.5,231.0,1818024,2024-07-29
2024-08-05,210.74000549316406,210.74000549316406,235.0,208.10000610351562,218.10000610351562,4624340,2024-08-05
2024-08-12,216.5399932861328,216.5399932861328,220.0,205.0,210.0,2146318,2024-08-12
2024-08-19,238.10000610351562,238.10000610351562,254.0,220.0,221.2899932861328,11429248,2024-08-19
2024-08-26,242.89999389648438,242.89999389648438,254.8000030517578,238.27999877929688,239.75,5601986,2024-08-26
2024-09-02,235.99000549316406,235.99000549316406,245.0,231.80999755859375,243.9499969482422,2451348,2024-09-02
2024-09-09,256.7099914550781,256.7099914550781,263.29998779296875,229.25999450683594,234.9600067138672,5638622,2024-09-09
2024-09-16,238.35000610351562,238.35000610351562,267.989990234375,233.3000030517578,259.3900146484375,3547324,2024-09-16
2024-09-23,228.00999450683594,228.00999450683594,244.69000244140625,227.14999389648438,239.9499969482422,2681478,2024-09-23
2024-09-30,217.80999755859375,217.80999755859375,234.08999633789062,215.8000030517578,225.0,2698236,2024-09-30
