Date,Adj Close_EIFFL.NS,Close_EIFFL.NS,High_EIFFL.NS,Low_EIFFL.NS,Open_EIFFL.NS,Volume_EIFFL.NS,Date
2020-07-13,95.5,95.5,96.80000305175781,86.0,96.6500015258789,16800,2020-07-13
2020-07-20,91.75,91.75,95.25,90.0,95.0,36800,2020-07-20
2020-07-27,93.5999984741211,93.5999984741211,94.0,92.1500015258789,92.1500015258789,19200,2020-07-27
2020-08-03,91.0,91.0,94.0,82.05000305175781,94.0,14400,2020-08-03
2020-08-10,91.80000305175781,91.80000305175781,91.80000305175781,90.25,90.9000015258789,36000,2020-08-10
2020-08-17,94.0,94.0,94.5,90.0,91.5,24000,2020-08-17
2020-08-24,94.75,94.75,95.0,94.0,94.5,14400,2020-08-24
2020-08-31,92.5,92.5,93.0,83.0,83.0,12000,2020-08-31
2020-09-07,92.0,92.0,93.0,82.0,92.0,29600,2020-09-07
2020-09-14,92.0,92.0,92.0,91.0,91.5,16800,2020-09-14
2020-09-21,92.0,92.0,92.5,91.0,92.5,11200,2020-09-21
2020-09-28,92.0,92.0,92.25,91.5,92.0,8800,2020-09-28
2020-10-05,92.0,92.0,92.25,91.5,91.75,10400,2020-10-05
2020-10-12,93.75,93.75,94.0,91.0,91.5,20800,2020-10-12
2020-10-19,95.0,95.0,95.0,93.75,93.75,12800,2020-10-19
2020-10-26,94.0,94.0,94.5,94.0,94.5,4800,2020-10-26
2020-11-02,93.5,93.5,94.0,93.5,94.0,800,2020-11-02
2020-11-09,95.0,95.0,95.0,95.0,95.0,800,2020-11-09
2020-11-16,95.0,95.0,95.0,95.0,95.0,0,2020-11-16
2020-11-23,95.0,95.0,95.0,95.0,95.0,0,2020-11-23
2020-11-30,92.5,92.5,95.0,87.0,95.0,5600,2020-11-30
2020-12-07,95.5,95.5,95.5,92.75,93.0,17600,2020-12-07
2020-12-14,88.5,88.5,95.0,83.0,95.0,9600,2020-12-14
2020-12-21,90.0,90.0,90.5,84.0,90.0,8000,2020-12-21
2020-12-28,91.0,91.0,91.0,85.5,85.5,4800,2020-12-28
2021-01-04,87.0,87.0,92.0,82.0,91.0,8000,2021-01-04
2021-01-11,91.0,91.0,91.0,84.0999984741211,88.0,9600,2021-01-11
2021-01-18,74.19999694824219,74.19999694824219,85.0,64.80000305175781,73.0,128000,2021-01-18
2021-01-25,74.55000305175781,74.55000305175781,80.0,70.0,78.0,24000,2021-01-25
2021-02-01,74.1500015258789,74.1500015258789,76.5,73.3499984741211,75.0,36800,2021-02-01
2021-02-08,92.80000305175781,92.80000305175781,97.19999694824219,74.5,74.5,32000,2021-02-08
2021-02-15,125.0,125.0,129.39999389648438,80.5,83.0999984741211,46400,2021-02-15
2021-02-22,108.44999694824219,108.44999694824219,125.0,107.1500015258789,125.0,17600,2021-02-22
2021-03-01,92.75,92.75,108.44999694824219,86.25,108.44999694824219,24800,2021-03-01
2021-03-08,97.94999694824219,97.94999694824219,97.94999694824219,82.55000305175781,85.1500015258789,49600,2021-03-08
2021-03-15,84.5,84.5,100.44999694824219,83.25,88.69999694824219,40000,2021-03-15
2021-03-22,79.5,79.5,86.3499984741211,79.5,82.25,5600,2021-03-22
2021-03-29,81.0,81.0,83.0,77.25,79.5,4800,2021-03-29
2021-04-05,75.9000015258789,75.9000015258789,81.0,75.9000015258789,81.0,2400,2021-04-05
2021-04-12,75.0,75.0,76.8499984741211,73.19999694824219,73.19999694824219,3200,2021-04-12
2021-04-19,75.0,75.0,75.0,75.0,75.0,0,2021-04-19
2021-04-26,75.0,75.0,75.0,75.0,75.0,0,2021-04-26
