Date,Adj Close_GLOBUSSPR.NS,Close_GLOBUSSPR.NS,High_GLOBUSSPR.NS,Low_GLOBUSSPR.NS,Open_GLOBUSSPR.NS,Volume_GLOBUSSPR.NS,Date
2020-07-13,139.5858154296875,142.0500030517578,144.89999389648438,135.1999969482422,139.0,269514,2020-07-13
2020-07-20,131.8719940185547,134.1999969482422,145.64999389648438,133.0,142.0,394292,2020-07-20
2020-07-27,122.7824478149414,124.94999694824219,136.0,118.4000015258789,136.0,632694,2020-07-27
2020-08-03,132.1667938232422,134.5,140.64999389648438,121.5999984741211,125.5999984741211,663803,2020-08-03
2020-08-10,155.6521759033203,158.39999389648438,170.0,134.25,135.9499969482422,3157647,2020-08-10
2020-08-17,156.09439086914062,158.85000610351562,164.0,150.5,157.5,861824,2020-08-17
2020-08-24,186.99880981445312,190.3000030517578,196.10000610351562,159.5,161.0,2235756,2020-08-24
2020-08-31,203.1634521484375,206.75,207.10000610351562,172.5,194.10000610351562,2006310,2020-08-31
2020-09-07,242.8626251220703,247.14999389648438,247.14999389648438,201.0,207.0,1994734,2020-09-07
2020-09-14,261.0908508300781,265.70001220703125,285.79998779296875,251.10000610351562,255.5500030517578,1470253,2020-09-14
2020-09-21,286.391357421875,290.29998779296875,300.0,256.0,278.95001220703125,1773450,2020-09-21
2020-09-28,278.8443908691406,282.6499938964844,299.3999938964844,267.0,299.3999938964844,642118,2020-09-28
2020-10-05,324.6689758300781,329.1000061035156,341.8999938964844,272.1000061035156,284.0,3156399,2020-10-05
2020-10-12,314.5570068359375,318.8500061035156,339.3999938964844,303.0,330.0,2237433,2020-10-12
2020-10-19,329.1083984375,333.6000061035156,355.0,307.54998779296875,321.95001220703125,2670699,2020-10-19
2020-10-26,285.2568359375,289.1499938964844,338.5,269.3999938964844,331.20001220703125,1666754,2020-10-26
2020-11-02,300.54815673828125,304.6499938964844,311.0,278.04998779296875,292.75,914542,2020-11-02
