Date,Adj Close_OLECTRA.NS,Close_OLECTRA.NS,High_OLECTRA.NS,Low_OLECTRA.NS,Open_OLECTRA.NS,Volume_OLECTRA.NS,Date
2020-07-13,63.77216339111328,63.849998474121094,63.900001525878906,59.95000076293945,63.349998474121094,97083,2020-07-13
2020-07-20,62.92320251464844,63.0,70.0,62.0,67.0,395194,2020-07-20
2020-07-27,58.62844467163086,58.70000076293945,64.30000305175781,57.95000076293945,64.30000305175781,253915,2020-07-27
2020-08-03,63.77216339111328,63.849998474121094,68.80000305175781,56.25,58.0,426098,2020-08-03
2020-08-10,70.41405487060547,70.5,73.9000015258789,61.5,64.6500015258789,708356,2020-08-10
2020-08-17,70.71369934082031,70.80000305175781,75.4000015258789,67.0,73.80000305175781,852760,2020-08-17
2020-08-24,72.01211547851562,72.0999984741211,74.4000015258789,69.05000305175781,70.5,543499,2020-08-24
2020-08-31,68.86593627929688,68.94999694824219,73.4000015258789,65.0999984741211,72.0,304366,2020-08-31
2020-09-07,66.76850891113281,66.8499984741211,70.94999694824219,64.19999694824219,70.94999694824219,182495,2020-09-07
2020-09-14,69.8147964477539,69.9000015258789,78.44999694824219,64.30000305175781,66.80000305175781,856629,2020-09-14
2020-09-21,65.42015075683594,65.5,73.4000015258789,60.25,73.4000015258789,452431,2020-09-21
2020-09-28,63.27277374267578,63.349998474121094,68.1500015258789,62.54999923706055,66.5,211207,2020-09-28
2020-10-05,62.074241638183594,62.150001525878906,65.0,61.849998474121094,64.1500015258789,244465,2020-10-05
2020-10-12,59.876922607421875,59.95000076293945,63.25,59.5,62.5,213850,2020-10-12
2020-10-19,59.277652740478516,59.349998474121094,63.0,56.54999923706055,60.150001525878906,282194,2020-10-19
2020-10-26,58.82820510864258,58.900001525878906,61.70000076293945,56.599998474121094,61.70000076293945,141371,2020-10-26
2020-11-02,59.027957916259766,59.099998474121094,59.95000076293945,57.0,59.849998474121094,162021,2020-11-02
2020-11-09,61.07545852661133,61.150001525878906,70.9000015258789,58.20000076293945,59.75,446320,2020-11-09
2020-11-16,62.12417984008789,62.20000076293945,68.5,60.150001525878906,61.20000076293945,619536,2020-11-16
2020-11-23,67.86715698242188,67.94999694824219,68.9000015258789,62.79999923706055,64.0,807528,2020-11-23
2020-11-30,107.0193862915039,107.1500015258789,107.1500015258789,55.0,67.94999694824219,4960408,2020-11-30
