Date,Adj Close_STANLEY.NS,Close_STANLEY.NS,High_STANLEY.NS,Low_STANLEY.NS,Open_STANLEY.NS,Volume_STANLEY.NS,Date
2024-06-24,474.75,474.75,509.3999938964844,470.20001220703125,494.95001220703125,21611175,2024-06-24
2024-07-01,487.1499938964844,487.1499938964844,518.7000122070312,484.6000061035156,485.1000061035156,9352465,2024-07-01
2024-07-08,590.0499877929688,590.0499877929688,627.5,505.5,513.0,10633262,2024-07-08
2024-07-15,557.9500122070312,557.9500122070312,602.9500122070312,555.0,598.0,1856574,2024-07-15
2024-07-22,575.5999755859375,575.5999755859375,607.5999755859375,535.0999755859375,565.0,2848026,2024-07-22
2024-07-29,587.9500122070312,587.9500122070312,624.2999877929688,575.2000122070312,580.0499877929688,2999459,2024-07-29
2024-08-05,562.6500244140625,562.6500244140625,573.0,540.0,550.0,1228747,2024-08-05
2024-08-12,524.25,524.25,566.0,517.9500122070312,564.6500244140625,780930,2024-08-12
2024-08-19,529.7999877929688,529.7999877929688,546.2999877929688,519.2000122070312,526.9000244140625,827949,2024-08-19
2024-08-26,510.75,510.75,538.4500122070312,504.0,534.9500122070312,964647,2024-08-26
2024-09-02,497.95001220703125,497.95001220703125,532.0,495.3500061035156,520.75,729621,2024-09-02
2024-09-09,510.8500061035156,510.8500061035156,521.7000122070312,486.75,497.3999938964844,674402,2024-09-09
2024-09-16,490.79998779296875,490.79998779296875,513.9500122070312,486.5,511.25,454608,2024-09-16
2024-09-23,486.79998779296875,486.79998779296875,499.0,477.0,495.04998779296875,650568,2024-09-23
2024-09-30,472.04998779296875,472.04998779296875,498.0,464.1000061035156,487.0,340279,2024-09-30
2024-10-07,467.8500061035156,467.8500061035156,485.20001220703125,439.20001220703125,477.0,635645,2024-10-07
2024-10-14,486.5,486.5,500.0,465.04998779296875,471.0,366768,2024-10-14
2024-10-21,471.3500061035156,471.3500061035156,519.4000244140625,467.0,486.5,1154783,2024-10-21
2024-10-28,491.54998779296875,491.54998779296875,498.0,461.29998779296875,474.95001220703125,398078,2024-10-28
2024-11-04,479.75,479.75,493.95001220703125,472.1499938964844,490.6000061035156,312573,2024-11-04
2024-11-11,444.20001220703125,444.20001220703125,483.20001220703125,432.3500061035156,472.54998779296875,344881,2024-11-11
2024-11-18,415.6499938964844,415.6499938964844,452.95001220703125,407.1000061035156,448.0,330760,2024-11-18
2024-11-25,433.3500061035156,433.3500061035156,439.6000061035156,413.0,418.0,427844,2024-11-25
2024-12-02,441.20001220703125,441.20001220703125,448.3999938964844,426.79998779296875,432.0,282704,2024-12-02
2024-12-09,444.8500061035156,444.8500061035156,462.0,429.5,441.5,425618,2024-12-09
2024-12-16,422.29998779296875,422.29998779296875,455.0,420.20001220703125,438.20001220703125,322245,2024-12-16
2024-12-23,419.1499938964844,419.1499938964844,436.6499938964844,418.0,425.29998779296875,157636,2024-12-23
2024-12-30,420.8500061035156,420.8500061035156,426.8999938964844,409.0,415.04998779296875,304520,2024-12-30
2025-01-06,383.70001220703125,383.70001220703125,427.0,380.20001220703125,427.0,311072,2025-01-06
2025-01-13,373.54998779296875,373.54998779296875,382.6499938964844,355.0,379.04998779296875,476537,2025-01-13
2025-01-20,337.25,337.25,377.6499938964844,336.0,373.54998779296875,320252,2025-01-20
2025-01-27,353.20001220703125,353.20001220703125,377.04998779296875,316.3999938964844,335.0,583403,2025-01-27
